row_spec,seed_id,stage,cache_key,wall_time_s,gpu_warmup,repeat_count,wall_time_min_s,wall_time_max_s
R2:L2:I7:T6,S00,simulate_imu_prior,L2:I7,0.8976334210019559,,,,
R2:L2:I7:T6,S00,build_track_tensors,L2:I7,14.250907886002096,,,,
R2:L2:I7:T6,S00,torch_gpu,,4.35940583699994,0,1,4.35940583699994,4.35940583699994
R2:L2:I7:T8,S00,torch_gpu,,15.052352046001033,0,1,15.052352046001033,15.052352046001033
R2:L2:I8:T6,S00,simulate_imu_prior,L2:I8,0.555812631999288,,,,
R2:L2:I8:T6,S00,build_track_tensors,L2:I8,11.0583539750005,,,,
R2:L2:I8:T6,S00,torch_gpu,,9.575038282000605,0,1,9.575038282000605,9.575038282000605
R2:L2:I8:T8,S00,torch_gpu,,4.720968213998276,0,1,4.720968213998276,4.720968213998276
R2:L2:I1+I3+I7:T6,S00,simulate_imu_prior,L2:I1+I3+I7,0.5220487919978041,,,,
R2:L2:I1+I3+I7:T6,S00,build_track_tensors,L2:I1+I3+I7,13.642836946997704,,,,
R2:L2:I1+I3+I7:T6,S00,torch_gpu,,16.651687964000303,0,1,16.651687964000303,16.651687964000303
R2:L2:I1+I3+I7:T8,S00,torch_gpu,,11.00776505199974,0,1,11.00776505199974,11.00776505199974
R2:L2:I1+I2+I3+I8:T6,S00,simulate_imu_prior,L2:I1+I2+I3+I8,0.5855559079973318,,,,
R2:L2:I1+I2+I3+I8:T6,S00,build_track_tensors,L2:I1+I2+I3+I8,15.060313644997223,,,,
R2:L2:I1+I2+I3+I8:T6,S00,torch_gpu,,14.217404303999501,0,1,14.217404303999501,14.217404303999501
R2:L2:I1+I2+I3+I8:T8,S00,torch_gpu,,14.534133819001,0,1,14.534133819001,14.534133819001
