row_spec,seed_id,stage,cache_key,wall_time_s,gpu_warmup,repeat_count,wall_time_min_s,wall_time_max_s,chunk_id,gpu_device,child_run_id
R2:L0:I3:T6,S00,simulate_imu_prior,L0:I3,0.2433908999992127,,,,,partial_raw_0000,cuda:0,phase4_BALANCE_CUDA_R2_S00_5090D_20260606T221157Z_partial_raw_0000_cuda0
R2:L0:I3:T6,S00,build_track_tensors,L0:I3,16.922202060000018,,,,,partial_raw_0000,cuda:0,phase4_BALANCE_CUDA_R2_S00_5090D_20260606T221157Z_partial_raw_0000_cuda0
R2:L0:I3:T6,S00,torch_gpu,,10.52836830400065,0.0,1.0,10.52836830400065,10.52836830400065,partial_raw_0000,cuda:0,phase4_BALANCE_CUDA_R2_S00_5090D_20260606T221157Z_partial_raw_0000_cuda0
R2:L0:I3:T8,S00,torch_gpu,,7.815808729999844,0.0,1.0,7.815808729999844,7.815808729999844,partial_raw_0000,cuda:0,phase4_BALANCE_CUDA_R2_S00_5090D_20260606T221157Z_partial_raw_0000_cuda0
R2:L0:I4:T6,S00,simulate_imu_prior,L0:I4,0.095074874000602,,,,,partial_raw_0000,cuda:0,phase4_BALANCE_CUDA_R2_S00_5090D_20260606T221157Z_partial_raw_0000_cuda0
R2:L0:I4:T6,S00,build_track_tensors,L0:I4,15.971129622999795,,,,,partial_raw_0000,cuda:0,phase4_BALANCE_CUDA_R2_S00_5090D_20260606T221157Z_partial_raw_0000_cuda0
R2:L0:I4:T6,S00,torch_gpu,,3.688597031000427,0.0,1.0,3.688597031000427,3.688597031000427,partial_raw_0000,cuda:0,phase4_BALANCE_CUDA_R2_S00_5090D_20260606T221157Z_partial_raw_0000_cuda0
R2:L0:I4:T8,S00,torch_gpu,,4.619688589999896,0.0,1.0,4.619688589999896,4.619688589999896,partial_raw_0000,cuda:0,phase4_BALANCE_CUDA_R2_S00_5090D_20260606T221157Z_partial_raw_0000_cuda0
R2:L0:I7:T6,S00,simulate_imu_prior,L0:I7,0.3132488820001526,,,,,partial_raw_0001,cuda:0,phase4_BALANCE_CUDA_R2_S00_5090D_20260606T221157Z_partial_raw_0001_cuda0
R2:L0:I7:T6,S00,build_track_tensors,L0:I7,16.954994841999905,,,,,partial_raw_0001,cuda:0,phase4_BALANCE_CUDA_R2_S00_5090D_20260606T221157Z_partial_raw_0001_cuda0
R2:L0:I7:T6,S00,torch_gpu,,11.07603451400064,0.0,1.0,11.07603451400064,11.07603451400064,partial_raw_0001,cuda:0,phase4_BALANCE_CUDA_R2_S00_5090D_20260606T221157Z_partial_raw_0001_cuda0
