capture_id,tag,frames,finite_frames,xyz_diff_rmse_mm,xyz_diff_p95_mm,xyz_diff_max_mm,cpu_accept_rate,gpu_accept_rate,row_spec,R,L,I,T,prior_sigma_mm,range_sigma_scale,robust,chunk_id,gpu_device,child_run_id
R01,BS2DCE,200,200,0.0004377388422305,0.0007366196262483,0.000957758573424,1.0,1.0,R2:L2:I3:T6,R2,L2,I3,T6,100.88,1.0,False,agreement_0000,cuda:0,l2_singleI_seed0_nominal_1080ti_20260605T101314Z_agreement_0000_cuda0
R01,BSDC91,200,200,0.0004365419593982,0.0008310263845743,0.0009594510480296,1.0,1.0,R2:L2:I3:T6,R2,L2,I3,T6,100.88,1.0,False,agreement_0000,cuda:0,l2_singleI_seed0_nominal_1080ti_20260605T101314Z_agreement_0000_cuda0
R01,BS2DCE,1201,1201,0.000648918198133,0.0014186398397407,0.0030201329931542,1.0,1.0,R2:L2:I0:T6,R2,L2,I0,T6,287.62500000000006,1.0,False,partial_raw_0000,cuda:0,l2_singleI_seed0_nominal_1080ti_20260605T101314Z_partial_raw_0000_cuda0
R01,BSDC91,1200,1200,0.0004910237054851,0.0010237900680967,0.0020322209391788,1.0,1.0,R2:L2:I0:T6,R2,L2,I0,T6,287.62500000000006,1.0,False,partial_raw_0000,cuda:0,l2_singleI_seed0_nominal_1080ti_20260605T101314Z_partial_raw_0000_cuda0
R02,BS2DCE,1201,1201,0.000865017844679,0.0017933953592772,0.004822790175372,1.0,1.0,R2:L2:I0:T6,R2,L2,I0,T6,287.62500000000006,1.0,False,partial_raw_0000,cuda:0,l2_singleI_seed0_nominal_1080ti_20260605T101314Z_partial_raw_0000_cuda0
R02,BSDC91,1200,1200,0.0006859695594941,0.0014445389838713,0.0032613423958877,1.0,1.0,R2:L2:I0:T6,R2,L2,I0,T6,287.62500000000006,1.0,False,partial_raw_0000,cuda:0,l2_singleI_seed0_nominal_1080ti_20260605T101314Z_partial_raw_0000_cuda0
R03,BS2DCE,1200,1200,0.0003959585231952,0.0007065327135699,0.0019445732611289,1.0,1.0,R2:L2:I0:T6,R2,L2,I0,T6,287.62500000000006,1.0,False,partial_raw_0000,cuda:0,l2_singleI_seed0_nominal_1080ti_20260605T101314Z_partial_raw_0000_cuda0
R03,BSDC91,1200,1200,0.0004105585709149,0.0007193812593374,0.0012808403893041,1.0,1.0,R2:L2:I0:T6,R2,L2,I0,T6,287.62500000000006,1.0,False,partial_raw_0000,cuda:0,l2_singleI_seed0_nominal_1080ti_20260605T101314Z_partial_raw_0000_cuda0
R04,BS2DCE,1200,1200,0.0004326019035318,0.0008176740667148,0.0015391480666077,1.0,1.0,R2:L2:I0:T6,R2,L2,I0,T6,287.62500000000006,1.0,False,partial_raw_0000,cuda:0,l2_singleI_seed0_nominal_1080ti_20260605T101314Z_partial_raw_0000_cuda0
R04,BSDC91,1200,1200,0.0004540504636585,0.0008620852460283,0.0017209068449651,1.0,1.0,R2:L2:I0:T6,R2,L2,I0,T6,287.62500000000006,1.0,False,partial_raw_0000,cuda:0,l2_singleI_seed0_nominal_1080ti_20260605T101314Z_partial_raw_0000_cuda0
R05,BS2DCE,1200,1200,0.0005979442666577,0.0011941031502136,0.0016874444992586,1.0,1.0,R2:L2:I0:T6,R2,L2,I0,T6,287.62500000000006,1.0,False,partial_raw_0000,cuda:0,l2_singleI_seed0_nominal_1080ti_20260605T101314Z_partial_raw_0000_cuda0
R05,BSDC91,1201,1201,0.0006901496762373,0.0014053717714802,0.0027491368440832,1.0,1.0,R2:L2:I0:T6,R2,L2,I0,T6,287.62500000000006,1.0,False,partial_raw_0000,cuda:0,l2_singleI_seed0_nominal_1080ti_20260605T101314Z_partial_raw_0000_cuda0
R06,BS2DCE,1200,1200,0.0005252498039908,0.0011397736707418,0.0026354767822228,1.0,1.0,R2:L2:I0:T6,R2,L2,I0,T6,287.62500000000006,1.0,False,partial_raw_0000,cuda:0,l2_singleI_seed0_nominal_1080ti_20260605T101314Z_partial_raw_0000_cuda0
R06,BSDC91,1201,1201,0.0008432203777347,0.0017797225785959,0.0048849453992422,1.0,1.0,R2:L2:I0:T6,R2,L2,I0,T6,287.62500000000006,1.0,False,partial_raw_0000,cuda:0,l2_singleI_seed0_nominal_1080ti_20260605T101314Z_partial_raw_0000_cuda0
R07,BS2DCE,1200,1200,0.0004685153181874,0.0008432895534374,0.0019000462142402,1.0,1.0,R2:L2:I0:T6,R2,L2,I0,T6,287.62500000000006,1.0,False,partial_raw_0000,cuda:0,l2_singleI_seed0_nominal_1080ti_20260605T101314Z_partial_raw_0000_cuda0
R07,BSDC91,1201,1201,0.0004756485604345,0.000912146448202,0.0016201718081441,1.0,1.0,R2:L2:I0:T6,R2,L2,I0,T6,287.62500000000006,1.0,False,partial_raw_0000,cuda:0,l2_singleI_seed0_nominal_1080ti_20260605T101314Z_partial_raw_0000_cuda0
R08,BS2DCE,1201,1201,0.0002982602890334,0.0004385941734057,0.0008023268847309,1.0,1.0,R2:L2:I0:T6,R2,L2,I0,T6,287.62500000000006,1.0,False,partial_raw_0000,cuda:0,l2_singleI_seed0_nominal_1080ti_20260605T101314Z_partial_raw_0000_cuda0
R08,BSDC91,1200,1200,0.0004053641068162,0.0007461815840593,0.0017822541060674,1.0,1.0,R2:L2:I0:T6,R2,L2,I0,T6,287.62500000000006,1.0,False,partial_raw_0000,cuda:0,l2_singleI_seed0_nominal_1080ti_20260605T101314Z_partial_raw_0000_cuda0
R09,BS2DCE,1200,1200,0.0005203105185092,0.0009558236533093,0.0023250196310913,1.0,1.0,R2:L2:I0:T6,R2,L2,I0,T6,287.62500000000006,1.0,False,partial_raw_0000,cuda:0,l2_singleI_seed0_nominal_1080ti_20260605T101314Z_partial_raw_0000_cuda0
R09,BSDC91,1200,1200,0.0006917929144127,0.0013351551214308,0.0032674871524265,1.0,1.0,R2:L2:I0:T6,R2,L2,I0,T6,287.62500000000006,1.0,False,partial_raw_0000,cuda:0,l2_singleI_seed0_nominal_1080ti_20260605T101314Z_partial_raw_0000_cuda0
R10,BS2DCE,1200,1200,0.0006116473967879,0.0012619814089902,0.0029032147564901,1.0,1.0,R2:L2:I0:T6,R2,L2,I0,T6,287.62500000000006,1.0,False,partial_raw_0000,cuda:0,l2_singleI_seed0_nominal_1080ti_20260605T101314Z_partial_raw_0000_cuda0
R10,BSDC91,1200,1200,0.0005338638856947,0.0011563882915251,0.0021980884305679,1.0,1.0,R2:L2:I0:T6,R2,L2,I0,T6,287.62500000000006,1.0,False,partial_raw_0000,cuda:0,l2_singleI_seed0_nominal_1080ti_20260605T101314Z_partial_raw_0000_cuda0
R11,BS2DCE,1201,1201,0.0004418655904023,0.0007935472234349,0.0014390708015749,1.0,1.0,R2:L2:I0:T6,R2,L2,I0,T6,287.62500000000006,1.0,False,partial_raw_0000,cuda:0,l2_singleI_seed0_nominal_1080ti_20260605T101314Z_partial_raw_0000_cuda0
R11,BSDC91,1200,1200,0.0005660646700141,0.0010824216169913,0.0025246580474162,1.0,1.0,R2:L2:I0:T6,R2,L2,I0,T6,287.62500000000006,1.0,False,partial_raw_0000,cuda:0,l2_singleI_seed0_nominal_1080ti_20260605T101314Z_partial_raw_0000_cuda0
R12,BS2DCE,1200,1200,0.0007244034369558,0.0016017788300351,0.0036449237084155,1.0,1.0,R2:L2:I0:T6,R2,L2,I0,T6,287.62500000000006,1.0,False,partial_raw_0000,cuda:0,l2_singleI_seed0_nominal_1080ti_20260605T101314Z_partial_raw_0000_cuda0
