gate_id,status,blocking_next_phase,evidence
G11_two_gpu_dynamic_balance,FAIL,False,"devices=['cuda:0', 'cuda:1']; partial_chunks_by_gpu={'cuda:0': 8, 'cuda:1': 8}; gpu0 max_util=0%, gpu1 max_util=0%; failed=0"
G12_cpu_parallel_execution,PASS,True,"workers_per_device=3; total_workers=6; cpu_golden_mean=19.86s, simulate_imu_prior_mean=0.62s, torch_gpu_mean=2.35s"
G13_thread_oversubscription_control,PASS,True,checked_logs=17; torch_threads_1_in_sample=True; workers_per_device=3
