chunk_id,stage,row_spec,R,L,I,T,status,max_tracks,max_frames
agreement_0000,agreement,R2:L2:I3:T6,R2,L2,I3,T6,done,2,200
partial_raw_0000,partial_raw,R2:L2:I0:T6,R2,L2,I0,T6,done,0,0
partial_raw_0000,partial_raw,R2:L2:I0:T8,R2,L2,I0,T8,done,0,0
partial_raw_0001,partial_raw,R2:L2:I1:T6,R2,L2,I1,T6,done,0,0
partial_raw_0001,partial_raw,R2:L2:I1:T8,R2,L2,I1,T8,done,0,0
partial_raw_0002,partial_raw,R2:L2:I3:T6,R2,L2,I3,T6,done,0,0
partial_raw_0002,partial_raw,R2:L2:I3:T8,R2,L2,I3,T8,done,0,0
partial_raw_0003,partial_raw,R2:L2:I4:T6,R2,L2,I4,T6,done,0,0
partial_raw_0003,partial_raw,R2:L2:I4:T8,R2,L2,I4,T8,done,0,0
partial_raw_0004,partial_raw,R2:L2:I7:T6,R2,L2,I7,T6,done,0,0
partial_raw_0004,partial_raw,R2:L2:I7:T8,R2,L2,I7,T8,done,0,0
partial_raw_0005,partial_raw,R2:L2:I8:T6,R2,L2,I8,T6,done,0,0
partial_raw_0005,partial_raw,R2:L2:I8:T8,R2,L2,I8,T8,done,0,0
partial_raw_0006,partial_raw,R2:L2:I1+I3+I7:T6,R2,L2,I1+I3+I7,T6,done,0,0
partial_raw_0006,partial_raw,R2:L2:I1+I3+I7:T8,R2,L2,I1+I3+I7,T8,done,0,0
partial_raw_0007,partial_raw,R2:L2:I1+I2+I3+I8:T6,R2,L2,I1+I2+I3+I8,T6,done,0,0
partial_raw_0007,partial_raw,R2:L2:I1+I2+I3+I8:T8,R2,L2,I1+I2+I3+I8,T8,done,0,0
partial_raw_0008,partial_raw,R4:L2:I0:T6,R4,L2,I0,T6,done,0,0
partial_raw_0008,partial_raw,R4:L2:I0:T8,R4,L2,I0,T8,done,0,0
partial_raw_0009,partial_raw,R4:L2:I1:T6,R4,L2,I1,T6,done,0,0
partial_raw_0009,partial_raw,R4:L2:I1:T8,R4,L2,I1,T8,done,0,0
partial_raw_0010,partial_raw,R4:L2:I3:T6,R4,L2,I3,T6,done,0,0
partial_raw_0010,partial_raw,R4:L2:I3:T8,R4,L2,I3,T8,done,0,0
partial_raw_0011,partial_raw,R4:L2:I4:T6,R4,L2,I4,T6,done,0,0
partial_raw_0011,partial_raw,R4:L2:I4:T8,R4,L2,I4,T8,done,0,0
partial_raw_0012,partial_raw,R4:L2:I7:T6,R4,L2,I7,T6,done,0,0
partial_raw_0012,partial_raw,R4:L2:I7:T8,R4,L2,I7,T8,done,0,0
partial_raw_0013,partial_raw,R4:L2:I8:T6,R4,L2,I8,T6,done,0,0
partial_raw_0013,partial_raw,R4:L2:I8:T8,R4,L2,I8,T8,done,0,0
partial_raw_0014,partial_raw,R4:L2:I1+I3+I7:T6,R4,L2,I1+I3+I7,T6,done,0,0
partial_raw_0014,partial_raw,R4:L2:I1+I3+I7:T8,R4,L2,I1+I3+I7,T8,done,0,0
partial_raw_0015,partial_raw,R4:L2:I1+I2+I3+I8:T6,R4,L2,I1+I2+I3+I8,T6,done,0,0
partial_raw_0015,partial_raw,R4:L2:I1+I2+I3+I8:T8,R4,L2,I1+I2+I3+I8,T8,done,0,0
