case_id,label,source_kind,n_sessions,err_3d_median_mm,err_3d_p95_mm,err_3d_rmse_mm
production_T1_current,production_T1_current,official_production_static_all_captures,24,73.96289045329976,282.12949495641834,139.55059600371152
production_style_T1_mean,production_style_T1_mean,production_style_probe,24,73.96288827986834,282.12949214973435,139.55059565784254
production_style_T1_median,production_style_T1_median,production_style_probe,24,70.77883673503024,283.6781819641526,139.32040900394446
production_style_T4_mean,production_style_T4_mean,production_style_probe,24,72.6891193204547,171.49736845476423,109.84509967728258
production_style_T4_median,production_style_T4_median,production_style_probe,24,69.69166345867296,173.9256534240159,108.90907731948187
raw_replay_T1_median,raw_replay_T1_median,existing_raw_replay_matrix,24,70.77883673503024,283.6781819641526,139.32040900394446
raw_replay_T4_median,raw_replay_T4_median,existing_raw_replay_matrix,24,69.69166345867296,173.9256534240159,108.90907731948187
