anchor_label,shapley_3d,shapley_vert,shapley_p95,shapley_gdop
A,1233.510282834371,1237.3932915369667,1225.6653201693584,1249.726347255139
B,1237.8064393815541,1241.4101604915802,1236.562352770851,1250.1261340845194
C,1236.91071663811,1235.3577999205816,1238.1206103915267,1249.7447259817795
D,1242.8861577806022,1248.499612127032,1220.4460595085511,1250.0732856250947
E,1240.091922823589,1241.1584047862473,1214.5484898703444,1249.2360406569069
F,1229.4412957418533,1228.7624879292084,1215.8318831489212,1249.5880965113633
G,1241.007514672052,1239.357464481536,1216.5236542293007,1249.2788100980572
H,1246.189175987244,1246.4554930823188,1225.0694064004083,1249.6012155107096
