subset_mask,n_anchors,anchor_labels,median_3d,rmse_3d,p95_3d,median_vert,gdop_condition,fail_rate
00000000,0,,nan,nan,nan,nan,nan,1.0
00000001,1,A,nan,nan,nan,nan,nan,1.0
00000010,1,B,nan,nan,nan,nan,nan,1.0
00000011,2,AB,nan,nan,nan,nan,nan,1.0
00000100,1,C,nan,nan,nan,nan,nan,1.0
00000101,2,AC,nan,nan,nan,nan,nan,1.0
00000110,2,BC,nan,nan,nan,nan,nan,1.0
00000111,3,ABC,nan,nan,nan,nan,nan,1.0
00001000,1,D,nan,nan,nan,nan,nan,1.0
00001001,2,AD,nan,nan,nan,nan,nan,1.0
00001010,2,BD,nan,nan,nan,nan,nan,1.0
00001011,3,ABD,nan,nan,nan,nan,nan,1.0
00001100,2,CD,nan,nan,nan,nan,nan,1.0
00001101,3,ACD,nan,nan,nan,nan,nan,1.0
00001110,3,BCD,nan,nan,nan,nan,nan,1.0
00001111,4,ABCD,109.08223724365234,158.08005166489224,265.9359436035156,73.95318603515625,2.3562355041503906,0.0
00010000,1,E,nan,nan,nan,nan,nan,1.0
00010001,2,AE,nan,nan,nan,nan,nan,1.0
00010010,2,BE,nan,nan,nan,nan,nan,1.0
00010011,3,ABE,nan,nan,nan,nan,nan,1.0
00010100,2,CE,nan,nan,nan,nan,nan,1.0
00010101,3,ACE,nan,nan,nan,nan,nan,1.0
00010110,3,BCE,nan,nan,nan,nan,nan,1.0
00010111,4,ABCE,167.5916748046875,251.42882317864832,384.7515563964844,129.31240844726562,7.522210121154785,0.0
00011000,2,DE,nan,nan,nan,nan,nan,1.0
00011001,3,ADE,nan,nan,nan,nan,nan,1.0
00011010,3,BDE,nan,nan,nan,nan,nan,1.0
00011011,4,ABDE,124.95263671875,209.51354557939683,376.50909423828125,73.30316162109375,3.4738245010375977,0.0
00011100,3,CDE,nan,nan,nan,nan,nan,1.0
00011101,4,ACDE,196.38584899902344,283.48664816442414,565.9414672851562,134.29327392578125,8.814947128295898,0.0
00011110,4,BCDE,125.19718933105469,164.97320450038242,298.70330810546875,76.76345825195312,6.315079689025879,0.0
00011111,5,ABCDE,111.86212921142578,142.6145989305618,218.4844970703125,76.7703857421875,3.2316031455993652,0.0
00100000,1,F,nan,nan,nan,nan,nan,1.0
00100001,2,AF,nan,nan,nan,nan,nan,1.0
00100010,2,BF,nan,nan,nan,nan,nan,1.0
00100011,3,ABF,nan,nan,nan,nan,nan,1.0
00100100,2,CF,nan,nan,nan,nan,nan,1.0
00100101,3,ACF,nan,nan,nan,nan,nan,1.0
00100110,3,BCF,nan,nan,nan,nan,nan,1.0
00100111,4,ABCF,151.25186157226562,210.67485500469675,362.5850830078125,114.760986328125,3.177565574645996,0.0
00101000,2,DF,nan,nan,nan,nan,nan,1.0
00101001,3,ADF,nan,nan,nan,nan,nan,1.0
00101010,3,BDF,nan,nan,nan,nan,nan,1.0
00101011,4,ABDF,184.15078735351562,284.5553137133447,498.20074462890625,120.5438003540039,7.776325225830078,0.0
00101100,3,CDF,nan,nan,nan,nan,nan,1.0
00101101,4,ACDF,139.95541381835938,242.62312434875204,474.6517028808594,98.79730224609375,6.985803604125977,0.0
00101110,4,BCDF,198.76077270507812,304.55732475594806,549.3622436523438,109.25604248046875,7.952345848083496,0.0
00101111,5,ABCDF,95.9234619140625,161.6238942827607,280.97515869140625,81.36676025390625,3.231065034866333,0.0
00110000,2,EF,nan,nan,nan,nan,nan,1.0
00110001,3,AEF,nan,nan,nan,nan,nan,1.0
00110010,3,BEF,nan,nan,nan,nan,nan,1.0
00110011,4,ABEF,188.1790008544922,215.3805861144407,352.2378845214844,101.00113677978516,5.5707879066467285,0.0
00110100,3,CEF,nan,nan,nan,nan,nan,1.0
00110101,4,ACEF,166.16343688964844,228.41806517874193,420.2085266113281,138.37472534179688,8.112093925476074,0.0
00110110,4,BCEF,165.9468994140625,199.5002251721787,370.5076599121094,129.7220458984375,5.518215179443359,0.0
00110111,5,ABCEF,144.9619140625,180.1968053875401,307.9248962402344,115.25164794921875,3.8117809295654297,0.0
00111000,3,DEF,nan,nan,nan,nan,nan,1.0
00111001,4,ADEF,188.59683227539062,247.9203816248273,479.9884948730469,148.52880859375,6.511346817016602,0.0
00111010,4,BDEF,175.21746826171875,233.7955837906268,462.82452392578125,111.11811828613281,6.459904670715332,0.0
00111011,5,ABDEF,163.69439697265625,201.6304342882046,342.89483642578125,78.99020385742188,4.021848678588867,0.0
00111100,4,CDEF,380.0906677246094,780.2691843203856,1395.116455078125,335.12042236328125,7.115675926208496,0.0
00111101,5,ACDEF,164.69268798828125,193.21389539833825,328.22540283203125,122.97792053222656,5.01157283782959,0.0
00111110,5,BCDEF,139.68191528320312,161.39654799011348,262.9181823730469,106.4114990234375,4.548702239990234,0.0
00111111,6,ABCDEF,112.43081665039062,140.93590631027993,227.65628051757812,85.97216796875,3.6039459705352783,0.0
01000000,1,G,nan,nan,nan,nan,nan,1.0
01000001,2,AG,nan,nan,nan,nan,nan,1.0
01000010,2,BG,nan,nan,nan,nan,nan,1.0
01000011,3,ABG,nan,nan,nan,nan,nan,1.0
01000100,2,CG,nan,nan,nan,nan,nan,1.0
01000101,3,ACG,nan,nan,nan,nan,nan,1.0
