model,cv_median_3d,cv_rmse_3d,p95_3d
AA_current,94.76152038574219,121.5297875329851,210.4085235595703
AT_oracle,112.50205993652344,131.98398192347054,231.68682861328125
AA_plus_global_AT_offset,95.2088623046875,121.8254226085426,210.87210083007812
AA_plus_per_anchor_AT_correction,112.50205993652344,131.98398192347054,231.68682861328125
