eigenvector_rank,eigenvalue,projection_on_Dtag,projection_on_common_mode,projection_on_scale,projection_on_z
1,9.999999999968249e-07,2.010544513536635e-09,3.5617113599379097e-09,0.9674547136629082,0.1378485167851048
2,9.99999999998467e-07,3.3065763713408177e-09,4.279983943950808e-09,0.9736425896813515,0.19211488766392393
3,1.000000000000075e-06,2.0370688819218009e-10,1.0749415168976527e-09,0.9814111831700519,0.14510017925422758
4,1.000000000000123e-06,4.265875608027388e-09,4.084687957055094e-09,0.9814284693072965,0.13048066748554063
5,1.0000000000021883e-06,1.9896058425904404e-09,6.810229283979569e-11,0.9748667293224322,0.004282665677938231
6,1.000000000003274e-06,1.14201618378861e-09,1.1060685182893989e-10,0.951688152422224,0.13118264569334517
7,1.7652706235688257e-05,0.000719009269921121,0.0031588539927486954,0.775819513592641,0.009681045994277417
8,4.649539882228346e-05,0.0012202846050200016,0.003463135325934539,0.7830089524911658,0.002601355552841002
9,5.183249647783429e-05,0.0015417042879901915,0.0024564495996342584,0.784844037918512,0.005707929232293622
10,6.495724403912555e-05,0.0008108509056415985,0.0006634190556693911,0.7782613692808847,0.043758312830036075
