room_id,L_mm,W_mm,H_mm,noise_std_mm,nlos_prob,nlos_bias_mean_mm,V4_median_3d,V5_median_3d,V4_dtag_opt,V5_dtag_opt,V4_dtag_height_spread,V5_dtag_height_spread,v5_minus_v4
0,9661.195033663324,6156.526200049439,3677.208117954966,26.748091648533556,0.17945670682121223,140.18934016953992,470.9454345703125,64.71516418457031,136.0,40.0,0.0,48.0,-406.2302703857422
1,7046.335580880033,4708.22373110137,3355.73072635686,28.29847356205786,0.21732228142477095,114.15577290898564,316.83349609375,68.3687744140625,136.0,64.0,0.0,40.0,-248.4647216796875
2,5706.171778328852,4642.151667211939,3360.0441826944457,19.059144028276172,0.10425701080410042,142.62904462152662,97.9161148071289,38.89164733886719,136.0,64.0,0.0,24.0,-59.02446746826172
3,8199.64270641708,8727.876854669834,3884.2438183033464,27.060651355446044,0.14995149853689688,137.84860319611883,341.72991943359375,73.41554260253906,136.0,64.0,0.0,32.0,-268.3143768310547
4,4111.856492096445,7306.655052568303,3790.9591443253003,22.706210918376073,0.19432879262330532,120.13698183200923,427.8232421875,74.55548095703125,136.0,104.0,0.0,56.0,-353.26776123046875
5,6834.515517561829,8469.397924305784,3529.546456855056,32.32136085773793,0.2670932551368987,86.43106218973705,537.0934448242188,70.17182922363281,136.0,48.0,0.0,88.0,-466.92161560058594
6,6440.4967655006,4452.560586086567,2999.156135544805,35.62604245161919,0.1359496859915974,93.3439215885086,367.00152587890625,67.72085571289062,136.0,72.0,0.0,32.0,-299.2806701660156
7,8777.542356288002,7101.881356713184,3644.2091697749975,20.868556298873905,0.2011846472558842,143.3838469451336,362.32647705078125,76.53231811523438,136.0,56.0,0.0,16.0,-285.7941589355469
8,9179.183091132725,4437.601294687986,3915.6133127671837,38.55105158459095,0.26274891590571897,107.56240419812565,495.36602783203125,83.21573638916016,136.0,96.0,0.0,24.0,-412.1502914428711
9,4524.825788503059,5519.559161345685,3020.024459378611,36.359831593521044,0.2859198113895368,77.95789720557343,207.62557983398438,53.7495002746582,136.0,48.0,0.0,24.0,-153.87607955932617
10,4496.176632895219,5883.209042700047,3396.0972834657123,36.08858914072947,0.13704856501858942,70.87434401370838,301.941162109375,52.7926139831543,136.0,56.0,0.0,24.0,-249.1485481262207
11,9333.399015917175,4404.033817714724,2772.3832230405533,39.37901421514944,0.15096314602476446,117.84435771048858,446.50408935546875,69.62640380859375,136.0,64.0,0.0,72.0,-376.877685546875
12,7257.670877344194,6101.993900089487,2570.1146886651145,29.374072088679984,0.07932199212440459,134.60466169161646,1160.401123046875,59.839317321777344,136.0,72.0,0.0,8.0,-1100.5618057250977
13,6800.170382504406,8095.516129543703,3773.703751562053,17.362313896471036,0.24343656210001985,106.20607477102664,401.405517578125,61.42334747314453,136.0,48.0,0.0,32.0,-339.98217010498047
14,9733.257498779269,6754.455841041759,3115.055800685625,34.426996511532124,0.13146081831753548,88.91046324650603,995.958251953125,73.9471435546875,136.0,96.0,0.0,72.0,-922.0111083984375
15,9465.389528517731,8649.665885557206,3119.216689912985,35.65744489843903,0.07123512182866003,55.60254257218965,425.43212890625,66.83051300048828,136.0,0.0,0.0,40.0,-358.6016159057617
