model,pr_auc,nlos_recall_at_fpr10,accuracy,n_train,n_test
torch_logistic,0.9501840726772977,0.8888888888888888,0.9368421052631579,95,95
torch_mlp,0.9524877219763759,0.8888888888888888,0.9578947368421052,95,95
