bibkey,authors,year,title,venue,doi_or_url,cluster,read_status,relevance_1to5,addresses_coupling,addresses_identifiability,uses_ground_truth,shows_wrong_cal_wins
ferner_2008_cooperative_anchor_less_localiza,Ulric J. Ferner; Henk Wymeersch; Moe Z. Win,2008,Cooperative anchor-less localization for large dynamic networks,2008 IEEE International Conference on Ultra-Wideband,https://doi.org/10.1109/icuwb.2008.4653381,A,abstract_read_via_openalex,5,no,no,no,no
batstone_2016_robust_time_of_arrival_self_cali,Kenneth Batstone; Magnus Oskarsson; Kalle Åström,2016,Robust time-of-arrival self calibration and indoor localization using Wi-Fi round-trip time measurements,2016 IEEE International Conference on Communications Workshops (ICC),https://doi.org/10.1109/iccw.2016.7503759,A,abstract_read_via_openalex,5,no,no,yes,no
vashistha_2018_self_calibration_of_the,Ankush Vashistha; Ankur Kumar Gupta; Choi Look Law,2018,Self calibration of the anchor nodes for UWB-IR TDOA based indoor positioning system,2018 IEEE 4th World Forum on Internet of Things (WF-IoT),https://doi.org/10.1109/wf-iot.2018.8355163,A,abstract_read_via_openalex,5,no,no,no,no
duong_2019_robust_self_calibration_for_rect,Huu Toan Duong; Sukyeong Yoon; Duc Cong Dang; Young Soo Suh,2019,Robust Self-Calibration for Rectangle Shape UWB Anchor Locations,2019 IEEE SENSORS,https://doi.org/10.1109/sensors43011.2019.8956906,A,abstract_read_via_openalex,5,no,no,no,no
shi_2019_anchor_self_localization_algorit,Qin Shi; Sihao Zhao; Xiaowei Cui; Mingquan Lu; Mengdi Jia,2019,Anchor self-localization algorithm based on UWB ranging and inertial measurements,Tsinghua Science & Technology,https://doi.org/10.26599/tst.2018.9010102,A,FULL_TEXT_READ,5,no,no,no,no
theussl_2019_measurement_of_relative_position,Ernst-Johann Theussl; Dimitar Ninevski; Paul O'Leary,2019,Measurement of Relative Position and Orientation using UWB,2019 IEEE International Instrumentation and Measurement Technology Conference (I2MTC),https://doi.org/10.1109/i2mtc.2019.8827149,A,abstract_read_via_openalex,5,no,yes,no,no
queralta_2020_uwb_based_system_for_uav,Jorge Peña Queralta; Carmen Martínez Almansa; Fabrizio Schiano; Dario Floreano; Tomi Westerlund,2020,UWB-based System for UAV Localization in GNSS-Denied Environments: Characterization and Dataset,2020 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),https://doi.org/10.1109/iros45743.2020.9341042,A,FULL_TEXT_READ,5,no,no,yes,no
ridolfi_2021_self_calibration_and_collaborati,Matteo Ridolfi; Abdil Kaya; Rafael Berkvens; Maarten Weyn; Wout Joseph; Eli De Poorter,2021,Self-calibration and Collaborative Localization for UWB Positioning Systems,ACM Computing Surveys,https://doi.org/10.1145/3448303,A,abstract_read_via_openalex,5,no,no,no,no
ahmad_2024_a_novel_self_calibrated_uwb_base,Tanveer Ahmad; Muhammad Usman; Marryam Murtaza; Ian B. Benitez; Asim Anwar; Vasos Vassiliou; Azeem Irshad; Xue Jun Li; Essam A. Al‐Ammar,2024,A Novel Self-Calibrated UWB-Based Indoor Localization Systems for Context-Aware Applications,IEEE Transactions on Consumer Electronics,https://doi.org/10.1109/tce.2024.3369193,A,FULL_TEXT_READ,5,no,no,no,no
kim_2024_uwb_based_localization_system_co,Taekyun Kim; Byoungkwon Yoon; Dongjun Lee,2024,UWB-Based Localization System Considering Antenna Anisotropy and NLOS/Multipath Conditions,2024 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),https://doi.org/10.1109/iros58592.2024.10802170,A,abstract_read_via_openalex,5,no,no,no,no
zhan_2024_fast_self_calibration_method_for,Yiding Zhan; Zongqi Yu; Xiaowei Cui; Gang Liu; Mingquan Lu,2024,Fast Self-calibration Method for Massive UWB Anchors Aided by Odometry,Proceedings of the Institute of Navigation ... International Technical Meeting/Proceedings of the ... International Technical Meeting of The Institute of Navigation,https://doi.org/10.33012/2024.19574,A,abstract_read_via_openalex,5,no,no,no,no
yang_2025_two_stage_uwb_anchors_self_calib,Zijun Yang; Xia You; Yan Jiang; Hao Wang; Xiaolong Wu; Qingxi Zeng,2025,Two-Stage UWB Anchors’ Self-Calibration and Trajectory Localization,IEEE Sensors Journal,https://doi.org/10.1109/jsen.2025.3630330,A,abstract_read_via_openalex,5,no,no,yes,no
zhao_2025_multiepoch_least_squares_joint_s,Lelong Zhao; Xiaochen Guo; Haitao Wu; Jian Ge,2025,Multiepoch Least-Squares Joint Solution for Anchor Self-Localization: Exemplified With UWB,IEEE Internet of Things Journal,https://doi.org/10.1109/jiot.2025.3587892,A,abstract_read_via_openalex,5,no,no,no,no
