figure_path,figure_kind,phase,experiment_id,capture_id,tag,metric_context,baseline_id,comparison_id,notes
runs/phase0_baseline/20260604T161756Z/figs/full/B0_A0_U4_P0_T1/B0_A0_U4_P0_T1__R01__BS2DCE__xz.png,trajectory_xz_overlay,phase0,B0_A0_U4_P0_T1,R01,BS2DCE,Opti/UWB/output top-view,,B0_A0_U4_P0_T1,full per-track PNG
runs/phase0_baseline/20260604T161756Z/figs/full/B0_A0_U4_P0_T1/B0_A0_U4_P0_T1__R01__BSDC91__xz.png,trajectory_xz_overlay,phase0,B0_A0_U4_P0_T1,R01,BSDC91,Opti/UWB/output top-view,,B0_A0_U4_P0_T1,full per-track PNG
runs/phase0_baseline/20260604T161756Z/figs/full/B0_A0_U4_P0_T1/B0_A0_U4_P0_T1__R02__BS2DCE__xz.png,trajectory_xz_overlay,phase0,B0_A0_U4_P0_T1,R02,BS2DCE,Opti/UWB/output top-view,,B0_A0_U4_P0_T1,full per-track PNG
runs/phase0_baseline/20260604T161756Z/figs/full/B0_A0_U4_P0_T1/B0_A0_U4_P0_T1__R02__BSDC91__xz.png,trajectory_xz_overlay,phase0,B0_A0_U4_P0_T1,R02,BSDC91,Opti/UWB/output top-view,,B0_A0_U4_P0_T1,full per-track PNG
runs/phase0_baseline/20260604T161756Z/figs/full/B0_A0_U4_P0_T1/B0_A0_U4_P0_T1__R03__BS2DCE__xz.png,trajectory_xz_overlay,phase0,B0_A0_U4_P0_T1,R03,BS2DCE,Opti/UWB/output top-view,,B0_A0_U4_P0_T1,full per-track PNG
runs/phase0_baseline/20260604T161756Z/figs/full/B0_A0_U4_P0_T1/B0_A0_U4_P0_T1__R03__BSDC91__xz.png,trajectory_xz_overlay,phase0,B0_A0_U4_P0_T1,R03,BSDC91,Opti/UWB/output top-view,,B0_A0_U4_P0_T1,full per-track PNG
runs/phase0_baseline/20260604T161756Z/figs/full/B0_A0_U4_P0_T1/B0_A0_U4_P0_T1__R04__BS2DCE__xz.png,trajectory_xz_overlay,phase0,B0_A0_U4_P0_T1,R04,BS2DCE,Opti/UWB/output top-view,,B0_A0_U4_P0_T1,full per-track PNG
runs/phase0_baseline/20260604T161756Z/figs/full/B0_A0_U4_P0_T1/B0_A0_U4_P0_T1__R04__BSDC91__xz.png,trajectory_xz_overlay,phase0,B0_A0_U4_P0_T1,R04,BSDC91,Opti/UWB/output top-view,,B0_A0_U4_P0_T1,full per-track PNG
runs/phase0_baseline/20260604T161756Z/figs/full/B0_A0_U4_P0_T1/B0_A0_U4_P0_T1__R05__BS2DCE__xz.png,trajectory_xz_overlay,phase0,B0_A0_U4_P0_T1,R05,BS2DCE,Opti/UWB/output top-view,,B0_A0_U4_P0_T1,full per-track PNG
runs/phase0_baseline/20260604T161756Z/figs/full/B0_A0_U4_P0_T1/B0_A0_U4_P0_T1__R05__BSDC91__xz.png,trajectory_xz_overlay,phase0,B0_A0_U4_P0_T1,R05,BSDC91,Opti/UWB/output top-view,,B0_A0_U4_P0_T1,full per-track PNG
runs/phase0_baseline/20260604T161756Z/figs/full/B0_A0_U4_P0_T1/B0_A0_U4_P0_T1__R06__BS2DCE__xz.png,trajectory_xz_overlay,phase0,B0_A0_U4_P0_T1,R06,BS2DCE,Opti/UWB/output top-view,,B0_A0_U4_P0_T1,full per-track PNG
runs/phase0_baseline/20260604T161756Z/figs/full/B0_A0_U4_P0_T1/B0_A0_U4_P0_T1__R06__BSDC91__xz.png,trajectory_xz_overlay,phase0,B0_A0_U4_P0_T1,R06,BSDC91,Opti/UWB/output top-view,,B0_A0_U4_P0_T1,full per-track PNG
runs/phase0_baseline/20260604T161756Z/figs/full/B0_A0_U4_P0_T1/B0_A0_U4_P0_T1__R07__BS2DCE__xz.png,trajectory_xz_overlay,phase0,B0_A0_U4_P0_T1,R07,BS2DCE,Opti/UWB/output top-view,,B0_A0_U4_P0_T1,full per-track PNG
runs/phase0_baseline/20260604T161756Z/figs/full/B0_A0_U4_P0_T1/B0_A0_U4_P0_T1__R07__BSDC91__xz.png,trajectory_xz_overlay,phase0,B0_A0_U4_P0_T1,R07,BSDC91,Opti/UWB/output top-view,,B0_A0_U4_P0_T1,full per-track PNG
runs/phase0_baseline/20260604T161756Z/figs/full/B0_A0_U4_P0_T1/B0_A0_U4_P0_T1__R08__BS2DCE__xz.png,trajectory_xz_overlay,phase0,B0_A0_U4_P0_T1,R08,BS2DCE,Opti/UWB/output top-view,,B0_A0_U4_P0_T1,full per-track PNG
runs/phase0_baseline/20260604T161756Z/figs/full/B0_A0_U4_P0_T1/B0_A0_U4_P0_T1__R08__BSDC91__xz.png,trajectory_xz_overlay,phase0,B0_A0_U4_P0_T1,R08,BSDC91,Opti/UWB/output top-view,,B0_A0_U4_P0_T1,full per-track PNG
runs/phase0_baseline/20260604T161756Z/figs/full/B0_A0_U4_P0_T1/B0_A0_U4_P0_T1__R09__BS2DCE__xz.png,trajectory_xz_overlay,phase0,B0_A0_U4_P0_T1,R09,BS2DCE,Opti/UWB/output top-view,,B0_A0_U4_P0_T1,full per-track PNG
runs/phase0_baseline/20260604T161756Z/figs/full/B0_A0_U4_P0_T1/B0_A0_U4_P0_T1__R09__BSDC91__xz.png,trajectory_xz_overlay,phase0,B0_A0_U4_P0_T1,R09,BSDC91,Opti/UWB/output top-view,,B0_A0_U4_P0_T1,full per-track PNG
runs/phase0_baseline/20260604T161756Z/figs/full/B0_A0_U4_P0_T1/B0_A0_U4_P0_T1__R10__BS2DCE__xz.png,trajectory_xz_overlay,phase0,B0_A0_U4_P0_T1,R10,BS2DCE,Opti/UWB/output top-view,,B0_A0_U4_P0_T1,full per-track PNG
runs/phase0_baseline/20260604T161756Z/figs/full/B0_A0_U4_P0_T1/B0_A0_U4_P0_T1__R10__BSDC91__xz.png,trajectory_xz_overlay,phase0,B0_A0_U4_P0_T1,R10,BSDC91,Opti/UWB/output top-view,,B0_A0_U4_P0_T1,full per-track PNG
