listener,azimuth_deg,excess_delay_ns,bistatic_range_m,power_dB
LB,-125.0,15.024,4.504,-5.73
LB,-120.5,15.024,4.504,-5.24
LB,-115.5,15.024,4.504,-5.2
LB,-110.0,15.024,4.504,-4.18
LB,-104.5,15.024,4.504,-2.81
LB,-97.0,15.024,4.504,-2.97
LB,-88.5,15.024,4.504,-2.23
LB,-79.5,15.024,4.504,-2.2
LB,-76.0,15.024,4.504,-0.89
LB,-71.5,15.024,4.504,-3.02
LB,-67.0,15.024,4.504,-5.48
LB,-62.5,15.024,4.504,-5.4
LB,-58.0,15.024,4.504,-2.67
LB,-53.5,15.024,4.504,0.0
LB,-49.5,15.024,4.504,-0.39
LB,-41.5,15.024,4.504,-2.53
LB,-38.0,15.024,4.504,-0.78
LB,-31.0,15.024,4.504,-0.47
LB,-24.0,15.024,4.504,-3.02
LB,-19.5,15.024,4.504,-0.97
LB,-13.5,15.024,4.504,-5.68
LB,-8.5,15.024,4.504,-2.39
LB,-4.0,15.024,4.504,-1.36
LB,0.0,15.024,4.504,-1.08
LB,4.5,15.024,4.504,-1.27
LB,8.5,15.024,4.504,-2.21
LB,12.5,15.024,4.504,-4.9
LB,16.5,15.024,4.504,-3.83
LB,20.5,15.024,4.504,-0.63
LB,24.0,15.024,4.504,-3.85
LB,28.5,15.024,4.504,-1.65
LB,32.0,15.024,4.504,-2.7
LB,36.5,15.024,4.504,-1.05
LB,40.0,15.024,4.504,-4.65
LB,44.0,15.024,4.504,-1.5
LB,48.5,15.024,4.504,-0.83
LB,53.0,15.024,4.504,-1.63
LB,58.0,15.024,4.504,-2.2
LB,62.5,15.024,4.504,-2.03
LB,67.5,15.024,4.504,-1.71
LB,72.5,15.024,4.504,-2.67
LB,79.5,15.024,4.504,-3.12
LB,85.5,15.024,4.504,-4.83
LB,87.5,15.024,4.504,-4.63
LB,96.0,15.024,4.504,-4.14
LB,-177.5,16.026,4.804,-5.06
LB,-173.0,16.026,4.804,-4.3
LB,-169.0,16.026,4.804,-3.6
LB,-165.0,16.026,4.804,-3.98
LB,-161.0,16.026,4.804,-4.8
LB,-157.0,16.026,4.804,-3.53
LB,-153.0,16.026,4.804,-4.18
LB,-149.0,16.026,4.804,-4.25
LB,-145.0,16.026,4.804,-4.72
LB,-141.0,16.026,4.804,-4.34
LB,-128.0,16.026,4.804,-5.56
LB,-123.5,16.026,4.804,-5.65
LB,-119.0,16.026,4.804,-5.96
LB,-57.5,16.026,4.804,-5.99
LB,-53.0,16.026,4.804,-3.71
LB,-49.0,16.026,4.804,-3.98
LB,-41.5,16.026,4.804,-3.88
LB,-37.5,16.026,4.804,-2.93
LB,-30.5,16.026,4.804,-1.51
LB,-26.0,16.026,4.804,-5.36
LB,-23.5,16.026,4.804,-3.6
LB,-19.0,16.026,4.804,-0.64
LB,-14.0,16.026,4.804,-5.11
LB,-8.0,16.026,4.804,-2.58
LB,-3.5,16.026,4.804,-1.57
LB,1.0,16.026,4.804,-1.75
LB,5.0,16.026,4.804,-2.49
LB,9.0,16.026,4.804,-4.92
LB,17.0,16.026,4.804,-4.07
LB,21.0,16.026,4.804,-2.68
LB,28.5,16.026,4.804,-2.93
LB,36.5,16.026,4.804,-2.84
LB,48.5,16.026,4.804,-3.9
LB,53.0,16.026,4.804,-3.69
LB,58.0,16.026,4.804,-4.09
LB,62.5,16.026,4.804,-4.33
LB,67.0,16.026,4.804,-5.48
LB,78.5,16.026,4.804,-5.71
LB,94.0,16.026,4.804,-5.54
LB,106.0,16.026,4.804,-5.83
LB,110.0,16.026,4.804,-5.2
LB,114.5,16.026,4.804,-5.3
LB,119.0,16.026,4.804,-5.22
LB,123.5,16.026,4.804,-5.49
LB,169.0,16.026,4.804,-5.57
LB,173.5,16.026,4.804,-5.71
LB,178.0,16.026,4.804,-5.66
LB,-97.5,17.027,5.105,-5.76
LB,-89.5,17.027,5.105,-5.74
LB,-78.0,17.027,5.105,-5.84
LB,-73.5,17.027,5.105,-5.8
LB,12.0,17.027,5.105,-5.55
LB,16.0,17.027,5.105,-4.94
LB,40.0,17.027,5.105,-5.6
LB,56.5,17.027,5.105,-5.19
LB,61.0,17.027,5.105,-5.17
LB,78.0,17.027,5.105,-3.91
LB,86.0,17.027,5.105,-3.84
LB,93.5,17.027,5.105,-4.02
LB,109.5,17.027,5.105,-5.1
LB,114.0,17.027,5.105,-4.9
LB,118.0,17.027,5.105,-5.46
LB,134.0,17.027,5.105,-5.84
LB,145.0,17.027,5.105,-5.99
LB,163.5,17.027,5.105,-5.18
LB,167.5,17.027,5.105,-4.8
LB,172.0,17.027,5.105,-5.63
LB,-180.0,18.029,5.405,-5.31
LB,-175.5,18.029,5.405,-5.23
LB,-171.5,18.029,5.405,-4.55
LB,-167.5,18.029,5.405,-5.57
LB,-156.0,18.029,5.405,-5.19
LB,-148.0,18.029,5.405,-5.14
LB,-135.5,18.029,5.405,-5.73
LB,16.0,18.029,5.405,-5.13
LB,20.5,18.029,5.405,-4.4
LB,28.0,18.029,5.405,-3.43
LB,36.0,18.029,5.405,-3.36
LB,40.5,18.029,5.405,-5.26
LB,44.5,18.029,5.405,-5.75
LB,48.5,18.029,5.405,-4.53
LB,53.0,18.029,5.405,-4.49
LB,57.5,18.029,5.405,-5.03
LB,62.5,18.029,5.405,-5.82
LB,103.0,18.029,5.405,-5.39
LB,121.0,18.029,5.405,-5.24
LB,125.5,18.029,5.405,-2.96
LB,129.5,18.029,5.405,-2.38
LB,137.0,18.029,5.405,-5.33
LB,141.0,18.029,5.405,-1.73
LB,148.0,18.029,5.405,-1.56
LB,155.5,18.029,5.405,-1.97
LB,160.0,18.029,5.405,-5.08
LB,167.0,18.029,5.405,-3.65
LB,171.0,18.029,5.405,-3.05
LB,175.5,18.029,5.405,-4.25
LB,-156.5,19.03,5.705,-5.48
LB,-148.5,19.03,5.705,-5.29
LB,-140.5,19.03,5.705,-5.93
LB,-136.0,19.03,5.705,-5.7
LB,55.0,19.03,5.705,-5.22
LB,59.5,19.03,5.705,-4.51
LB,64.5,19.03,5.705,-4.62
LB,76.5,19.03,5.705,-3.1
LB,84.0,19.03,5.705,-4.62
LB,92.5,19.03,5.705,-3.15
LB,101.0,19.03,5.705,-5.11
LB,104.5,19.03,5.705,-2.75
LB,108.0,19.03,5.705,-3.77
LB,112.5,19.03,5.705,-5.47
LB,117.0,19.03,5.705,-5.84
LB,121.0,19.03,5.705,-4.62
LB,125.5,19.03,5.705,-3.49
LB,129.0,19.03,5.705,-4.98
LB,140.5,19.03,5.705,-5.21
LB,148.0,19.03,5.705,-5.24
LE,-176.0,15.024,4.504,-5.72
LE,-172.0,15.024,4.504,-5.65
LE,-167.5,15.024,4.504,-5.27
LE,-163.5,15.024,4.504,-5.09
LE,-159.5,15.024,4.504,-5.58
LE,-155.0,15.024,4.504,-4.86
LE,-151.0,15.024,4.504,-4.67
LE,-147.0,15.024,4.504,-4.28
LE,-143.0,15.024,4.504,-4.22
LE,-138.5,15.024,4.504,-3.51
LE,-134.5,15.024,4.504,-3.68
LE,-130.0,15.024,4.504,-3.75
LE,-125.5,15.024,4.504,-3.55
LE,-120.5,15.024,4.504,-3.48
LE,-115.5,15.024,4.504,-3.45
LE,-110.0,15.024,4.504,-3.02
LE,-104.0,15.024,4.504,-2.84
LE,-97.0,15.024,4.504,-2.7
LE,-88.0,15.024,4.504,-2.71
LE,-74.0,15.024,4.504,-2.68
LE,-70.5,15.024,4.504,-2.98
LE,-65.5,15.024,4.504,-3.71
LE,-61.0,15.024,4.504,-3.47
LE,-56.5,15.024,4.504,-2.91
LE,-53.0,15.024,4.504,-3.91
LE,-41.0,15.024,4.504,-3.88
LE,-33.5,15.024,4.504,-5.64
LE,-26.0,15.024,4.504,-5.99
LE,17.0,15.024,4.504,-5.3
LE,25.0,15.024,4.504,-5.1
LE,29.0,15.024,4.504,-5.72
LE,33.0,15.024,4.504,-4.7
LE,37.0,15.024,4.504,-5.83
LE,41.0,15.024,4.504,-3.47
LE,45.5,15.024,4.504,-4.12
LE,49.5,15.024,4.504,-4.86
LE,54.0,15.024,4.504,-4.31
LE,58.5,15.024,4.504,-3.97
LE,63.5,15.024,4.504,-3.75
LE,69.0,15.024,4.504,-3.12
LE,75.0,15.024,4.504,-2.92
LE,81.5,15.024,4.504,-3.02
LE,89.5,15.024,4.504,-3.14
LE,101.0,15.024,4.504,-3.29
LE,104.5,15.024,4.504,-3.36
LE,123.5,15.024,4.504,-3.85
LE,127.0,15.024,4.504,-2.94
LE,139.0,15.024,4.504,-3.05
LE,147.5,15.024,4.504,-3.54
LE,154.0,15.024,4.504,-3.38
LE,160.0,15.024,4.504,-4.09
LE,165.5,15.024,4.504,-3.85
LE,170.5,15.024,4.504,-4.58
LE,175.0,15.024,4.504,-5.16
LE,179.5,15.024,4.504,-5.5
LE,-176.0,16.026,4.804,-3.06
LE,-171.5,16.026,4.804,-2.64
LE,-167.5,16.026,4.804,-1.82
LE,-163.5,16.026,4.804,-1.24
LE,-159.5,16.026,4.804,-1.27
LE,-155.5,16.026,4.804,-0.92
LE,-151.0,16.026,4.804,-0.65
LE,-147.0,16.026,4.804,-0.46
LE,-143.0,16.026,4.804,-0.28
LE,-139.0,16.026,4.804,-0.07
LE,-134.5,16.026,4.804,-0.17
LE,-130.5,16.026,4.804,-0.11
LE,-126.0,16.026,4.804,-0.11
LE,-121.0,16.026,4.804,-0.13
LE,-116.0,16.026,4.804,-0.17
LE,-111.0,16.026,4.804,-0.48
LE,-104.5,16.026,4.804,-1.07
LE,-98.5,16.026,4.804,-1.12
LE,-91.0,16.026,4.804,-1.47
LE,-79.5,16.026,4.804,-1.42
LE,-75.0,16.026,4.804,-1.31
LE,-70.5,16.026,4.804,-3.56
LE,-66.0,16.026,4.804,-5.13
LE,-61.5,16.026,4.804,-4.22
LE,-57.0,16.026,4.804,-1.91
LE,-53.0,16.026,4.804,-0.76
LE,-49.0,16.026,4.804,-3.4
LE,-41.0,16.026,4.804,-0.98
LE,-37.5,16.026,4.804,-4.8
LE,-33.5,16.026,4.804,-2.89
LE,-30.0,16.026,4.804,-3.98
LE,-26.0,16.026,4.804,-2.02
LE,-18.5,16.026,4.804,-1.93
LE,-14.0,16.026,4.804,-2.7
LE,18.0,16.026,4.804,-4.91
LE,26.5,16.026,4.804,-5.53
LE,34.5,16.026,4.804,-5.22
LE,42.0,16.026,4.804,-4.05
LE,47.0,16.026,4.804,-4.54
LE,66.0,16.026,4.804,-4.76
LE,71.0,16.026,4.804,-2.58
LE,76.0,16.026,4.804,-4.1
LE,83.5,16.026,4.804,-2.17
LE,91.5,16.026,4.804,-2.51
LE,95.0,16.026,4.804,-3.45
LE,104.0,16.026,4.804,-3.6
LE,107.5,16.026,4.804,-1.92
LE,112.0,16.026,4.804,-1.9
LE,116.0,16.026,4.804,-2.05
LE,120.5,16.026,4.804,-2.12
LE,137.0,16.026,4.804,-3.1
LE,145.5,16.026,4.804,-3.57
LE,153.0,16.026,4.804,-3.9
LE,159.0,16.026,4.804,-4.57
LE,164.5,16.026,4.804,-4.12
LE,170.0,16.026,4.804,-4.38
LE,175.0,16.026,4.804,-4.12
LE,179.5,16.026,4.804,-3.57
LE,-176.0,17.027,5.105,-4.51
LE,-171.5,17.027,5.105,-4.52
LE,-167.5,17.027,5.105,-5.29
LE,-163.5,17.027,5.105,-5.82
LE,-159.5,17.027,5.105,-4.27
LE,-155.5,17.027,5.105,-5.44
LE,-151.5,17.027,5.105,-5.28
LE,-147.5,17.027,5.105,-5.67
LE,-143.0,17.027,5.105,-4.99
LE,-135.0,17.027,5.105,-5.77
LE,-130.5,17.027,5.105,-4.65
LE,-126.0,17.027,5.105,-4.71
LE,-121.0,17.027,5.105,-4.56
LE,-116.5,17.027,5.105,-4.25
LE,-111.5,17.027,5.105,-4.71
LE,-104.0,17.027,5.105,-4.17
LE,-99.5,17.027,5.105,-3.53
LE,-95.5,17.027,5.105,-4.15
LE,-91.5,17.027,5.105,-2.85
LE,-87.5,17.027,5.105,-3.01
LE,-83.5,17.027,5.105,-3.49
LE,-79.5,17.027,5.105,-1.96
LE,-75.5,17.027,5.105,-1.95
LE,-71.5,17.027,5.105,-2.88
LE,-67.0,17.027,5.105,-3.55
LE,-62.5,17.027,5.105,-3.91
LE,-58.0,17.027,5.105,-3.41
LE,-53.0,17.027,5.105,-1.44
LE,-48.5,17.027,5.105,-1.13
LE,-41.0,17.027,5.105,-3.46
LE,-37.5,17.027,5.105,-1.16
LE,-30.0,17.027,5.105,-0.43
LE,-23.5,17.027,5.105,-1.7
LE,-18.0,17.027,5.105,0.0
LE,-13.0,17.027,5.105,-1.54
LE,-7.5,17.027,5.105,-1.11
LE,-3.0,17.027,5.105,-0.61
LE,1.5,17.027,5.105,-0.72
LE,6.0,17.027,5.105,-1.37
LE,10.0,17.027,5.105,-2.41
LE,14.0,17.027,5.105,-2.54
LE,18.5,17.027,5.105,-1.31
LE,22.5,17.027,5.105,-2.73
LE,26.5,17.027,5.105,-3.13
LE,30.5,17.027,5.105,-2.57
LE,35.0,17.027,5.105,-3.22
LE,38.5,17.027,5.105,-4.57
LE,43.0,17.027,5.105,-2.25
LE,48.0,17.027,5.105,-2.44
LE,53.0,17.027,5.105,-2.95
LE,58.0,17.027,5.105,-3.0
LE,62.5,17.027,5.105,-2.54
LE,67.0,17.027,5.105,-1.86
LE,71.5,17.027,5.105,-1.83
LE,75.5,17.027,5.105,-3.39
LE,79.5,17.027,5.105,-2.31
LE,83.5,17.027,5.105,-2.76
LE,87.5,17.027,5.105,-2.99
LE,91.5,17.027,5.105,-3.67
LE,95.5,17.027,5.105,-2.64
LE,99.5,17.027,5.105,-4.67
LE,103.5,17.027,5.105,-5.38
LE,107.5,17.027,5.105,-4.76
LE,112.0,17.027,5.105,-4.67
LE,116.0,17.027,5.105,-5.23
LE,170.5,17.027,5.105,-5.91
LE,175.0,17.027,5.105,-5.12
LE,179.5,17.027,5.105,-4.78
LE,-165.5,18.029,5.405,-4.62
LE,-30.5,18.029,5.405,-5.52
LE,-23.5,18.029,5.405,-4.55
LE,-18.0,18.029,5.405,-3.88
LE,-12.5,18.029,5.405,-2.9
LE,-7.5,18.029,5.405,-2.03
LE,-3.0,18.029,5.405,-1.57
LE,1.5,18.029,5.405,-1.2
LE,6.0,18.029,5.405,-0.91
LE,10.0,18.029,5.405,-0.9
LE,14.5,18.029,5.405,-1.09
LE,18.5,18.029,5.405,-1.01
LE,22.5,18.029,5.405,-0.87
LE,26.5,18.029,5.405,-1.37
LE,30.5,18.029,5.405,-1.25
LE,34.5,18.029,5.405,-1.96
LE,38.5,18.029,5.405,-2.19
LE,43.0,18.029,5.405,-2.35
LE,47.0,18.029,5.405,-3.3
LE,51.5,18.029,5.405,-4.2
LE,56.0,18.029,5.405,-5.16
LE,71.5,18.029,5.405,-5.9
LE,128.5,18.029,5.405,-4.87
LE,132.5,18.029,5.405,-4.3
LE,140.5,18.029,5.405,-4.43
LE,144.0,18.029,5.405,-4.03
LE,148.0,18.029,5.405,-5.63
LE,151.5,18.029,5.405,-3.4
LE,155.5,18.029,5.405,-3.53
LE,163.0,18.029,5.405,-2.03
LE,167.5,18.029,5.405,-2.71
LE,172.0,18.029,5.405,-5.55
LE,53.5,19.03,5.705,-5.94
LE,58.5,19.03,5.705,-5.57
LE,63.5,19.03,5.705,-5.52
LE,68.5,19.03,5.705,-5.41
LE,74.5,19.03,5.705,-4.44
LE,81.0,19.03,5.705,-4.48
LE,89.5,19.03,5.705,-3.88
LE,101.5,19.03,5.705,-3.24
LE,129.0,19.03,5.705,-2.7
LE,132.5,19.03,5.705,-2.18
LE,140.5,19.03,5.705,-3.81
LE,144.0,19.03,5.705,-3.52
LE,151.0,19.03,5.705,-3.82
LE,155.5,19.03,5.705,-5.05
LE,163.0,19.03,5.705,-4.03
LE,167.0,19.03,5.705,-5.8
LE,49.0,20.032,6.005,-5.5
LE,54.0,20.032,6.005,-4.77
LE,58.5,20.032,6.005,-4.26
LE,63.5,20.032,6.005,-4.18
LE,68.5,20.032,6.005,-4.7
LE,74.5,20.032,6.005,-4.25
LE,80.5,20.032,6.005,-4.65
LE,88.5,20.032,6.005,-4.82
LE,99.0,20.032,6.005,-4.92
LF,-152.0,15.024,4.504,-4.19
LF,-144.0,15.024,4.504,-3.38
LF,-131.5,15.024,4.504,-3.84
LF,-127.5,15.024,4.504,-2.1
LF,-122.5,15.024,4.504,-1.75
LF,-118.0,15.024,4.504,-1.88
LF,-113.5,15.024,4.504,-3.65
LF,-105.5,15.024,4.504,-4.84
LF,-101.0,15.024,4.504,-2.25
LF,-93.5,15.024,4.504,-2.08
LF,-85.5,15.024,4.504,-3.67
LF,-81.5,15.024,4.504,-3.31
LF,-69.5,15.024,4.504,-5.38
LF,-65.5,15.024,4.504,-4.16
LF,-61.0,15.024,4.504,-4.4
LF,-45.0,15.024,4.504,-3.27
LF,-34.0,15.024,4.504,-4.33
LF,-26.5,15.024,4.504,-5.75
LF,10.5,15.024,4.504,-4.92
LF,15.0,15.024,4.504,-5.04
LF,22.5,15.024,4.504,-5.87
LF,26.5,15.024,4.504,-5.81
LF,105.5,15.024,4.504,-5.87
LF,109.5,15.024,4.504,-5.68
LF,114.0,15.024,4.504,-5.94
LF,118.5,15.024,4.504,-5.81
LF,123.0,15.024,4.504,-5.23
LF,127.0,15.024,4.504,-5.33
LF,138.5,15.024,4.504,-4.53
LF,146.0,15.024,4.504,-5.23
LF,153.5,15.024,4.504,-4.74
LF,161.0,15.024,4.504,-5.02
LF,165.0,15.024,4.504,-5.23
LF,-179.5,16.026,4.804,-5.61
LF,-175.0,16.026,4.804,-4.8
LF,-170.5,16.026,4.804,-4.29
LF,-165.5,16.026,4.804,-4.81
LF,-159.0,16.026,4.804,-4.24
LF,-152.5,16.026,4.804,-5.56
LF,-44.5,16.026,4.804,-4.13
LF,-37.0,16.026,4.804,-4.03
LF,-29.5,16.026,4.804,-3.69
LF,-22.0,16.026,4.804,-1.91
LF,-10.5,16.026,4.804,-2.91
LF,-6.5,16.026,4.804,-2.44
LF,-2.0,16.026,4.804,-3.02
LF,2.5,16.026,4.804,-3.59
LF,7.0,16.026,4.804,-4.16
LF,11.0,16.026,4.804,-5.77
LF,22.5,16.026,4.804,-5.22
LF,30.5,16.026,4.804,-5.43
LF,38.0,16.026,4.804,-4.61
LF,55.0,16.026,4.804,-5.43
LF,60.0,16.026,4.804,-5.67
LF,-6.0,17.027,5.105,-6.0
LF,-1.5,17.027,5.105,-5.44
LF,3.0,17.027,5.105,-4.97
LF,7.5,17.027,5.105,-4.63
LF,12.0,17.027,5.105,-5.24
LF,24.0,17.027,5.105,-5.82
LF,159.5,17.027,5.105,-5.57
LF,175.0,17.027,5.105,-5.47
LF,179.5,17.027,5.105,-5.54
LF,-176.5,18.029,5.405,-3.05
LF,-172.5,18.029,5.405,-3.81
LF,-159.5,18.029,5.405,-3.95
LF,-149.0,18.029,5.405,-4.5
LF,-142.5,18.029,5.405,-5.55
LF,-136.5,18.029,5.405,-4.55
LF,46.5,18.029,5.405,-5.87
LF,96.0,18.029,5.405,-5.48
LF,107.5,18.029,5.405,-4.66
LF,112.0,18.029,5.405,-3.26
LF,116.5,18.029,5.405,-2.68
LF,120.5,18.029,5.405,-2.54
LF,125.0,18.029,5.405,-3.9
LF,132.5,18.029,5.405,-5.46
LF,136.5,18.029,5.405,-0.81
LF,144.0,18.029,5.405,-2.52
LF,147.5,18.029,5.405,-3.67
LF,151.5,18.029,5.405,-2.68
LF,159.0,18.029,5.405,-1.08
LF,164.0,18.029,5.405,-5.67
LF,170.0,18.029,5.405,-3.52
LF,174.5,18.029,5.405,-2.55
LF,179.0,18.029,5.405,-2.71
LF,-177.0,19.03,5.705,-1.97
LF,-173.0,19.03,5.705,-1.97
LF,-169.0,19.03,5.705,-3.13
LF,-160.5,19.03,5.705,-3.49
LF,-157.0,19.03,5.705,-1.59
LF,-153.0,19.03,5.705,-5.95
LF,-149.0,19.03,5.705,-1.09
LF,-145.0,19.03,5.705,-5.19
LF,-141.5,19.03,5.705,-1.33
LF,-136.5,19.03,5.705,-1.29
LF,-131.5,19.03,5.705,-3.4
LF,-125.0,19.03,5.705,-2.69
LF,-120.0,19.03,5.705,-2.8
LF,-116.0,19.03,5.705,-3.79
LF,-112.5,19.03,5.705,-3.14
LF,-108.0,19.03,5.705,-1.62
LF,-103.0,19.03,5.705,-2.48
LF,-99.5,19.03,5.705,-4.64
LF,-95.5,19.03,5.705,-2.29
LF,-91.5,19.03,5.705,-5.78
LF,-87.0,19.03,5.705,-3.44
LF,-83.5,19.03,5.705,-4.43
LF,-75.0,19.03,5.705,-5.86
LF,-71.0,19.03,5.705,-4.76
LF,-66.5,19.03,5.705,-4.9
LF,-62.0,19.03,5.705,-5.34
LF,47.5,19.03,5.705,-5.88
LF,52.5,19.03,5.705,-4.9
LF,57.0,19.03,5.705,-4.41
LF,62.0,19.03,5.705,-3.64
LF,66.5,19.03,5.705,-2.7
