facing_direction,anchor_id,anchor_label,n,median_residual_mm,median_abs_residual_mm,max_abs_residual_mm,median_incidence_angle_deg
BCGF,0,A,6,87.96100490194158,122.44603655510434,381.672373584418,151.38085923471996
CDHG,1,B,6,19.628016488455728,112.83056812328812,291.8501582661447,137.10978061492833
CDHG,2,C,6,-104.09196250884816,104.09196250884816,140.13262356092082,56.96337649040687
ABEF,3,D,6,100.54300581952134,100.54300581952134,397.8588320301769,137.59069284255594
ABEF,2,C,6,-88.5879736737644,88.5879736737644,112.46244849268487,132.09219282771744
ADHE,2,C,6,48.79244322117097,78.35565873198732,438.40973988134283,150.45301313066193
CDHG,3,D,6,68.7481353940118,68.7481353940118,267.10772081951836,58.698930670800664
BCGF,2,C,6,-6.2588805099595675,62.44053659518545,155.47399806596263,47.99563527912323
ADHE,5,F,6,62.319288026006575,62.319288026006575,279.22059786621867,148.58549402289796
BCGF,5,F,6,59.43159330043238,59.43159330043238,295.76626072030854,43.87446070947446
ADHE,4,E,6,17.17550602416884,45.974684871532986,77.09105625521624,52.15364119127545
ABEF,4,E,6,45.617232009087616,45.617232009087616,246.20617711028035,54.822556693323456
ABEF,5,F,6,-39.50055087618159,44.969470043484876,74.89236181772321,63.90821342469552
ABEF,1,B,6,0.8572698162164443,43.69433266037629,279.87022937770644,58.34236152212297
ADHE,0,A,6,42.069219608865524,42.069219608865524,131.17720200946565,47.55810226718995
BCGF,1,B,6,-39.02006110319917,41.40715938299559,66.49041497346684,49.80906535746087
CDHG,6,G,6,12.095491162401686,40.97645385180988,398.96495469776573,50.99990669616319
BCGF,4,E,6,3.873701204330132,39.72225375760377,89.46833280931696,148.6409206677258
CDHG,4,E,6,3.8803926159023376,39.168835525807594,359.24661040925366,132.84825182530136
CDHG,5,F,6,6.867168319551524,37.78342663726869,89.17492768398415,132.54312414726525
CDHG,7,H,6,-22.899744448807724,36.696046795144866,93.1474509451632,64.02470749544491
ADHE,7,H,6,23.018941147972214,33.69036801288462,102.31385542517864,46.86678369981465
CDHG,0,A,6,-32.899106255513516,32.899106255513516,67.57286839732751,129.7761802138223
ABEF,6,G,6,-1.143356293066745,31.65665267058273,51.27121967166022,136.33419794963436
ADHE,3,D,6,17.75084849967095,30.810885231692396,75.81874645704761,53.5920258771715
ADHE,6,G,6,-27.940611222010148,30.321584942689242,72.17438067179091,145.97151962117195
ADHE,1,B,6,-27.953376039611385,27.953376039611385,42.450017077372195,144.06425575487364
BCGF,6,G,6,-9.348301303208927,26.52605810928958,45.133067116144275,52.760185968725466
ABEF,0,A,6,-23.202150314637493,23.202150314637493,69.9465534058811,58.33877942393542
ABEF,7,H,6,-22.375418364533175,22.375418364533175,178.20187371931252,132.4776071556019
BCGF,7,H,6,13.319257981442433,19.83098955115065,136.95875821723757,145.80078191055586
BCGF,3,D,6,8.866654745459641,16.12913240733701,65.33877507165516,141.27489404583886
