position_id,baseline_error_3d_mm,excluded_anchor_id,excluded_anchor_label,error_3d_mm,error_reduction_mm,d_tag_train_mm,is_best_exclusion,best_excluded_anchor_id,best_excluded_anchor_label,best_error_3d_mm,best_reduction_mm
ID01,164.46769385155918,0,A,219.92917692585587,-55.461483074296694,7.41953430218291,False,4,E,35.61804201905851,128.84965183250068
ID01,164.46769385155918,1,B,179.04052913358564,-14.57283528202646,8.154825947434034,False,4,E,35.61804201905851,128.84965183250068
ID01,164.46769385155918,2,C,85.64489747064307,78.8227963809161,10.864438855739905,False,4,E,35.61804201905851,128.84965183250068
ID01,164.46769385155918,3,D,149.90454405491897,14.563149796640204,2.624339434996358,False,4,E,35.61804201905851,128.84965183250068
ID01,164.46769385155918,4,E,35.61804201905851,128.84965183250068,5.7913588759248,True,4,E,35.61804201905851,128.84965183250068
ID01,164.46769385155918,5,F,193.95028164703706,-29.482587795477883,5.696336196316992,False,4,E,35.61804201905851,128.84965183250068
ID01,164.46769385155918,6,G,156.36227600270584,8.105417848853335,6.935637359749677,False,4,E,35.61804201905851,128.84965183250068
ID01,164.46769385155918,7,H,220.45068694967046,-55.98299309811128,6.58125672340708,False,4,E,35.61804201905851,128.84965183250068
ID02,48.029634661426414,0,A,66.46329278131988,-18.433658119893465,9.898760571251287,False,1,B,48.02084868889809,0.008785972528322361
ID02,48.029634661426414,1,B,48.02084868889809,0.008785972528322361,9.898760571251287,True,1,B,48.02084868889809,0.008785972528322361
ID02,48.029634661426414,2,C,48.66098151142872,-0.6313468500023092,13.19674205293137,False,1,B,48.02084868889809,0.008785972528322361
ID02,48.029634661426414,3,D,81.67814534747767,-33.64851068605125,5.696336196316992,False,1,B,48.02084868889809,0.008785972528322361
ID02,48.029634661426414,4,E,52.889461325581784,-4.859826664155371,6.935637359749677,False,1,B,48.02084868889809,0.008785972528322361
ID02,48.029634661426414,5,F,71.22309142138127,-23.193456759954856,5.7913588759248,False,1,B,48.02084868889809,0.008785972528322361
ID02,48.029634661426414,6,G,49.26380561343254,-1.2341709520061244,8.154825947434034,False,1,B,48.02084868889809,0.008785972528322361
ID02,48.029634661426414,7,H,53.33258995377399,-5.302955292347576,9.898760571251287,False,1,B,48.02084868889809,0.008785972528322361
ID03,35.61977169522973,0,A,366.787604286562,-331.1678325913323,9.898760571251287,False,3,D,8.29431816259411,27.32545353263562
ID03,35.61977169522973,1,B,47.61526892219391,-11.995497226964183,10.864438855739905,False,3,D,8.29431816259411,27.32545353263562
ID03,35.61977169522973,2,C,325.33421965131856,-289.71444795608886,13.19674205293137,False,3,D,8.29431816259411,27.32545353263562
