position_id,anchor_id,anchor_label,raw_frame_count,segment_index,segment_start,segment_end,segment_n,segment_mean_mm,segment_median_mm,segment_mad_mm,regime_label
ID01,0,A,1199,0,0,1199,1199,1512.8190158465388,1514.0,19.0,LOS-like
ID01,1,B,1199,0,0,1199,1199,1768.3227689741452,1768.0,14.0,LOS-like
ID01,2,C,1197,0,0,1197,1197,2177.8345864661655,2177.0,21.0,LOS-like
ID01,3,D,1198,0,0,1198,1198,2110.4373956594322,2111.0,15.0,LOS-like
ID01,4,E,1201,0,0,1201,1201,2315.767693588676,2314.0,14.0,LOS-like
ID01,5,F,1192,0,0,1192,1192,2415.3439597315437,2407.5,27.5,LOS-like
ID01,6,G,1141,0,0,1141,1141,2798.413672217353,2769.0,17.0,LOS-like
ID01,7,H,1179,0,0,1179,1179,2458.2926208651397,2472.0,28.0,LOS-like
ID02,0,A,1200,0,0,1200,1200,1873.7616666666668,1874.0,12.0,LOS-like
ID02,1,B,1201,0,0,1201,1201,1830.9450457951707,1830.0,14.0,LOS-like
ID02,2,C,1196,0,0,1196,1196,2249.346989966555,2245.0,20.0,LOS-like
ID02,3,D,1201,0,0,1201,1201,2448.89342214821,2450.0,11.0,LOS-like
ID02,4,E,1201,0,0,1201,1201,1698.353039134055,1699.0,15.0,LOS-like
ID02,5,F,1195,0,0,1195,1195,1748.8560669456067,1736.0,48.0,LOS-like
ID02,6,G,1174,0,0,1174,1174,2287.0885860306644,2269.0,19.0,LOS-like
ID02,7,H,1187,0,0,1187,1187,2198.82898062342,2199.0,28.0,LOS-like
ID03,0,A,1200,0,0,1200,1200,2208.2225,2209.0,24.0,LOS-like
ID03,1,B,1201,0,0,1201,1201,2435.606161532057,2435.0,16.0,LOS-like
ID03,2,C,1198,0,0,1198,1198,2545.033388981636,2544.0,15.0,LOS-like
ID03,3,D,1201,0,0,1201,1201,2977.9966694421314,2978.0,15.0,LOS-like
ID03,4,E,1198,0,0,1198,1198,1554.0317195325542,1555.0,17.0,LOS-like
ID03,5,F,1188,0,0,1188,1188,1607.1565656565656,1594.0,25.0,LOS-like
ID03,6,G,1156,0,0,1156,1156,2261.1167820069204,2240.0,16.0,LOS-like
ID03,7,H,1173,0,0,1173,1173,2139.391304347826,2140.0,19.0,LOS-like
ID04,0,A,1199,0,0,1199,1199,2462.699749791493,2464.0,12.0,LOS-like
ID04,1,B,1200,0,0,1200,1200,1336.935,1336.0,16.0,LOS-like
ID04,2,C,1198,0,0,1198,1198,1451.661101836394,1450.0,13.0,LOS-like
ID04,3,D,1201,0,0,1201,1201,2570.9691923397168,2568.0,14.0,LOS-like
ID04,4,E,1200,0,0,1200,1200,2810.1725,2810.0,18.0,LOS-like
ID04,5,F,1178,0,0,1178,1178,2288.1782682512735,2276.0,29.0,LOS-like
ID04,6,G,1171,0,0,1171,1171,2227.189581554227,2205.0,17.0,LOS-like
ID04,7,H,1187,0,0,1187,1187,3094.379949452401,3093.0,17.0,LOS-like
ID05,0,A,1196,0,0,1196,1196,3063.823578595318,3074.0,23.0,LOS-like
ID05,1,B,1197,0,0,1197,1197,1617.8563074352548,1617.0,17.0,LOS-like
ID05,2,C,1199,0,0,1199,1199,1741.630525437865,1741.0,14.0,LOS-like
ID05,3,D,1200,0,0,1200,1200,2588.383333333333,2588.0,15.0,LOS-like
ID05,4,E,1200,0,0,1200,1200,2478.7458333333334,2478.0,17.0,LOS-like
ID05,5,F,1189,0,0,1189,1189,1502.2565180824222,1481.0,36.0,LOS-like
ID05,6,G,1121,0,0,1121,1121,1601.7297056199823,1586.0,22.0,LOS-like
ID05,7,H,1193,0,0,1193,1193,2563.751047778709,2565.0,16.0,LOS-like
ID06,0,A,1198,0,0,1198,1198,3017.9858096828048,3018.5,16.5,LOS-like
ID06,1,B,1200,0,0,1200,1200,1997.4075,1996.0,16.0,LOS-like
ID06,2,C,1200,0,0,1200,1200,2238.9616666666666,2239.0,19.0,LOS-like
ID06,3,D,1200,0,0,1200,1200,2868.7566666666667,2869.0,19.0,LOS-like
ID06,4,E,1200,0,0,1200,1200,2492.3441666666668,2493.0,19.0,LOS-like
ID06,5,F,1194,0,0,1194,1194,1383.7294807370183,1373.0,21.0,LOS-like
ID06,6,G,1152,0,0,1152,1152,1570.0086805555557,1553.0,19.0,LOS-like
ID06,7,H,1176,0,0,1176,1176,2470.154761904762,2469.0,20.0,LOS-like
ID07,0,A,1201,0,0,1201,1201,2365.4104912572857,2365.0,19.0,LOS-like
ID07,1,B,1197,0,0,1197,1197,1997.6499582289057,1993.0,19.0,LOS-like
ID07,2,C,1200,0,0,1200,1200,1284.4758333333334,1284.0,18.5,LOS-like
ID07,3,D,1199,0,0,1199,1199,1806.7014178482068,1806.0,13.0,LOS-like
ID07,4,E,1201,0,0,1201,1201,2955.3105745212324,2955.0,15.0,LOS-like
ID07,5,F,1193,0,0,1193,1193,2532.637049455155,2527.0,70.0,LOS-like
ID07,6,G,1120,0,0,1120,1120,2258.1776785714287,2232.0,18.0,LOS-like
ID07,7,H,1187,0,0,1187,1187,2393.2594776748106,2391.0,22.0,LOS-like
ID08,0,A,1198,0,0,1198,1198,2507.3497495826377,2510.0,23.0,LOS-like
ID08,1,B,1201,0,0,1201,1201,2654.851790174854,2657.0,19.0,LOS-like
ID08,2,C,1201,0,0,1201,1201,1685.504579517069,1684.0,15.0,LOS-like
ID08,3,D,1200,0,0,1200,1200,2000.9775,2000.0,12.0,LOS-like
ID08,4,E,1201,0,0,1201,1201,2321.917568692756,2321.0,15.0,LOS-like
ID08,5,F,1188,0,0,98,98,2307.816326530612,2227.5,46.0,NLOS-like
ID08,5,F,1188,1,98,1188,1090,2221.688990825688,2217.0,41.0,LOS-like
ID08,6,G,1131,0,0,1131,1131,1657.3333333333333,1640.0,16.0,LOS-like
ID08,7,H,1171,0,0,1171,1171,1747.6327924850555,1746.0,20.0,LOS-like
ID09,0,A,1194,0,0,1194,1194,2671.8475711892797,2671.5,13.5,LOS-like
ID09,1,B,1199,0,0,1199,1199,2592.0375312760634,2590.0,15.0,LOS-like
ID09,2,C,1197,0,0,1197,1197,1986.172096908939,1984.0,15.0,LOS-like
ID09,3,D,1200,0,0,1200,1200,2415.375,2414.0,14.0,LOS-like
ID09,4,E,1198,0,0,1198,1198,2262.2846410684474,2263.0,25.0,LOS-like
ID09,5,F,1195,0,0,1195,1195,2304.1673640167364,2311.0,61.0,LOS-like
ID09,6,G,1161,0,0,1161,1161,1491.024978466839,1474.0,21.0,LOS-like
ID09,7,H,1184,0,0,1184,1184,1757.9138513513512,1756.0,17.0,LOS-like
ID10,0,A,1200,0,0,1200,1200,1512.8516666666667,1513.0,12.0,LOS-like
ID10,1,B,1201,0,0,1201,1201,2574.96835970025,2574.0,17.0,LOS-like
ID10,2,C,1201,0,0,1201,1201,2461.99417152373,2462.0,18.0,LOS-like
ID10,3,D,1199,0,0,1199,1199,1300.7739783152626,1299.0,15.0,LOS-like
ID10,4,E,1201,0,0,1201,1201,2101.2389675270606,2102.0,15.0,LOS-like
ID10,5,F,1173,0,0,1173,1173,3121.046888320546,3108.0,24.0,LOS-like
ID10,6,G,1139,0,0,1139,1139,2836.2071992976294,2820.0,22.0,LOS-like
ID10,7,H,1182,0,0,1182,1182,1986.7208121827412,1989.0,23.0,LOS-like
ID11,0,A,1201,0,0,1201,1201,1723.6119900083263,1724.0,15.0,LOS-like
ID11,1,B,1199,0,0,1199,1199,2609.6680567139283,2610.0,12.0,LOS-like
ID11,2,C,1198,0,0,1198,1198,2767.400667779633,2767.0,12.0,LOS-like
ID11,3,D,1201,0,0,1201,1201,1735.4679433805163,1736.0,13.0,LOS-like
ID11,4,E,1201,0,0,1201,1201,1531.0241465445463,1531.0,13.0,LOS-like
ID11,5,F,1194,0,0,1194,1194,2585.5544388609715,2572.0,19.0,LOS-like
ID11,6,G,1137,0,0,1137,1137,2635.1618293755496,2620.0,16.0,LOS-like
ID11,7,H,1179,0,0,1179,1179,1477.0330788804072,1474.0,19.0,LOS-like
ID12,0,A,1199,0,0,1199,1199,2117.4528773978313,2117.0,11.0,LOS-like
ID12,1,B,1201,0,0,1201,1201,2815.322231473772,2820.0,21.0,LOS-like
ID12,2,C,1199,0,0,1199,1199,3010.698081734779,3010.0,14.0,LOS-like
ID12,3,D,1201,0,0,1201,1201,1968.5661948376353,1966.0,16.0,LOS-like
ID12,4,E,1201,0,0,1201,1201,1473.8776019983347,1474.0,14.0,LOS-like
ID12,5,F,1190,0,0,1190,1190,2549.295798319328,2538.0,25.0,LOS-like
ID12,6,G,1136,0,0,1136,1136,2513.87588028169,2496.0,18.0,LOS-like
ID12,7,H,1177,0,0,1177,1177,1271.052676295667,1270.0,25.0,LOS-like
