position_id,error_3d_mm,d_tag_train_mm,facing_direction,height_tier,spatial_quadrant,location,x_mm,y_mm,z_mm,p90_threshold_mm,tail_gt_p90
ID01,164.46769385155918,6.695290084178154,ABEF,low,SW,edge,-542.215344349341,182.54280058407934,-383.3240609304319,150.58956475521023,True
ID02,48.029634661426414,7.787180124808472,ABEF,mid,SW,edge,-543.22998,1105.589,-259.92136,150.58956475521023,False
ID03,35.61977169522973,7.787180124808472,ABEF,high,SW,edge,-554.00287,1625.5614500000001,-256.2951,150.58956475521023,False
ID04,162.25183275796982,5.7622659454732315,BCGF,low,NW,edge,-321.178815,182.16379,479.93381999999997,150.58956475521023,True
ID05,38.42950820723156,6.18630779966594,BCGF,mid,NW,edge,-184.9818897969324,1103.5866165595767,473.70402893394925,150.58956475521023,False
ID06,192.40182765551933,5.7622659454732315,BCGF,high,NW,edge,-193.231255,1684.95255,476.52297999999996,150.58956475521023,True
ID07,95.8621008033365,7.177585830966294,CDHG,low,NE,edge,352.14755,211.565355,53.795866000000004,150.58956475521023,False
ID08,60.5555348896421,6.872480402349453,CDHG,mid,NE,edge,391.90054,1132.2804,-71.53192899999999,150.58956475521023,False
ID09,56.20018999086801,6.872480402349453,CDHG,high,NE,edge,408.80994,1568.1853500000002,-62.425788499999996,150.58956475521023,False
ID10,57.37811155050123,6.18630779966594,ADHE,low,SE,edge,65.499245,238.64973,-938.19342,150.58956475521023,False
ID11,75.37242772952652,5.7622659454732315,ADHE,mid,SE,edge,-63.9057945,1133.4998500000002,-956.9902950000001,150.58956475521023,False
ID12,123.37760608210466,6.695290084178154,ADHE,high,SE,edge,-43.6886845,1590.1300500000002,-956.35754,150.58956475521023,False
ID13,37.273722407354164,7.177585830966294,ABEF,mid,NW,center,-189.628155,1139.0976,-197.96616,150.58956475521023,False
ID14,68.10481393791733,7.177585830966294,BCGF,mid,NW,center,-198.69532,1132.6278,-194.690585,150.58956475521023,False
ID15,40.94067514965518,7.177585830966294,CDHG,mid,NW,center,-200.165335,1132.2551,-184.312585,150.58956475521023,False
ID16,37.795609857213684,6.872480402349453,ADHE,mid,NW,center,-184.85465499999998,1122.0572,-185.78015499999998,150.58956475521023,False
ID17,90.42945757380272,7.787180124808472,ABEF,low,SW,center,-180.39839999999998,209.45865500000002,-328.203235,150.58956475521023,False
ID18,38.2491183735532,7.5452316535918555,BCGF,low,SW,center,-295.4243,206.90585,-224.00141000000002,150.58956475521023,False
ID19,34.31845513763424,7.177585830966294,CDHG,low,NW,center,-188.530555,205.96057000000002,-114.135095,150.58956475521023,False
ID20,27.03112135710006,7.787180124808472,ADHE,low,SE,center,-80.19599149999999,202.56013000000002,-220.692665,150.58956475521023,False
ID21,28.186359485922296,7.177585830966294,ABEF,high,SW,center,-212.053465,1598.6443,-226.93474500000002,150.58956475521023,False
ID22,30.582907868555047,6.872480402349453,BCGF,high,SW,center,-232.83767,1599.3211999999999,-235.17408,150.58956475521023,False
ID23,34.76452812108995,7.177585830966294,CDHG,high,SW,center,-230.87733,1599.6642499999998,-223.24148,150.58956475521023,False
ID24,16.798701111294797,6.695290084178154,ADHE,high,SW,center,-218.202475,1599.5815,-226.071175,150.58956475521023,False
