position_id,anchor_id,anchor_label,raw_frame_count,clean_window_available,clean_window_start,clean_window_end,clean_window_median_mm,clean_window_mad_mm,clean_window_range_mm,clean_window_count,clean_window_fraction,clean_window_fallback,lower_trim_20_range_mm,p50_range_mm
ID01,0,A,1199,True,822,872,1502.0,20.5,1502.0,1150,1.0,,1476.8791666666666,1514.0
ID01,1,B,1199,True,426,476,1758.5,13.5,1758.5,1150,1.0,,1738.6375,1768.0
ID01,2,C,1197,True,711,761,2162.0,19.0,2162.0,1148,1.0,,2139.8,2177.0
ID01,3,D,1198,True,951,1001,2101.5,16.0,2101.5,1149,1.0,,2078.75,2111.0
ID01,4,E,1201,True,507,557,2306.0,13.5,2306.0,1152,1.0,,2285.908713692946,2314.0
ID01,5,F,1192,True,462,512,2389.0,26.0,2389.0,853,0.7462817147856518,,2356.7907949790797,2407.5
ID01,6,G,1141,True,676,726,2758.5,17.0,2758.5,1036,0.9487179487179487,,2735.764192139738,2769.0
ID01,7,H,1179,True,262,312,2459.0,27.5,2459.0,717,0.6345132743362832,,2337.826271186441,2472.0
ID02,0,A,1200,True,776,826,1866.5,12.5,1866.5,1151,1.0,,1848.475,1874.0
ID02,1,B,1201,True,97,147,1819.5,14.0,1819.5,1152,1.0,,1804.1825726141078,1830.0
ID02,2,C,1196,True,610,660,2235.5,14.5,2235.5,1147,1.0,,2212.4708333333333,2245.0
ID02,3,D,1201,True,870,920,2441.0,12.0,2441.0,1152,1.0,,2423.298755186722,2450.0
ID02,4,E,1201,True,465,515,1689.0,18.0,1689.0,1152,1.0,,1668.1908713692947,1699.0
ID02,5,F,1195,False,181,231,1724.0,32.0,1651.2468619246863,0,0.0,lower_trim_20,1651.2468619246863,1736.0
ID02,6,G,1174,True,159,209,2256.0,21.5,2256.0,1018,0.9048888888888889,,2232.885106382979,2269.0
ID02,7,H,1187,True,1137,1187,2184.0,21.5,2184.0,688,0.6045694200351494,,2141.8529411764707,2199.0
ID03,0,A,1200,True,362,412,2193.0,20.0,2193.0,1021,0.8870547350130321,,2162.05,2209.0
ID03,1,B,1201,True,1118,1168,2421.0,16.0,2421.0,1152,1.0,,2404.46887966805,2435.0
ID03,2,C,1198,True,76,126,2532.0,12.0,2532.0,1149,1.0,,2515.2208333333333,2544.0
ID03,3,D,1201,True,315,365,2966.0,11.5,2966.0,1152,1.0,,2945.9377593360996,2978.0
ID03,4,E,1198,True,57,107,1543.0,14.0,1543.0,1149,1.0,,1518.8666666666666,1555.0
ID03,5,F,1188,True,551,601,1575.0,28.5,1575.0,949,0.8331870061457419,,1543.390756302521,1594.0
ID03,6,G,1156,True,921,971,2231.0,14.5,2231.0,1016,0.9177958446251129,,2205.387931034483,2240.0
ID03,7,H,1173,True,957,1007,2130.0,17.5,2130.0,1124,1.0,,2094.0297872340425,2140.0
ID04,0,A,1199,True,318,368,2455.5,14.0,2455.5,1150,1.0,,2436.1041666666665,2464.0
ID04,1,B,1200,True,162,212,1326.0,17.5,1326.0,1151,1.0,,1303.1625,1336.0
ID04,2,C,1198,True,3,53,1440.5,19.5,1440.5,1149,1.0,,1425.7458333333334,1450.0
ID04,3,D,1201,True,168,218,2560.0,10.0,2560.0,1152,1.0,,2544.244813278008,2568.0
ID04,4,E,1200,True,190,240,2801.5,15.5,2801.5,1151,1.0,,2774.7,2810.0
ID04,5,F,1178,True,340,390,2261.5,16.5,2261.5,679,0.6014171833480957,,2217.101694915254,2276.0
ID04,6,G,1171,True,662,712,2192.5,16.5,2192.5,1047,0.9331550802139037,,2172.744680851064,2205.0
ID04,7,H,1187,True,1132,1182,3082.0,12.0,3082.0,1138,1.0,,3055.8361344537816,3093.0
ID05,0,A,1196,True,414,464,3053.0,28.0,3053.0,1045,0.9110723626852659,,2985.0875,3074.0
ID05,1,B,1197,True,419,469,1603.0,14.5,1603.0,1148,1.0,,1582.2583333333334,1617.0
ID05,2,C,1199,True,179,229,1731.0,17.5,1731.0,1150,1.0,,1712.2416666666666,1741.0
ID05,3,D,1200,True,759,809,2577.5,13.5,2577.5,1151,1.0,,2558.7208333333333,2588.0
ID05,4,E,1200,True,624,674,2467.0,17.5,2467.0,1151,1.0,,2443.9875,2478.0
ID05,5,F,1189,True,267,317,1459.0,26.0,1459.0,275,0.2412280701754386,,1417.327731092437,1481.0
ID05,6,G,1121,True,471,521,1569.0,16.0,1569.0,1010,0.9421641791044776,,1543.2088888888889,1586.0
ID05,7,H,1193,True,316,366,2552.0,17.5,2552.0,1144,1.0,,2521.054393305439,2565.0
ID06,0,A,1198,True,6,56,3005.0,13.0,3005.0,1149,1.0,,2986.4666666666667,3018.5
ID06,1,B,1200,True,225,275,1985.0,15.5,1985.0,1151,1.0,,1966.7166666666667,1996.0
ID06,2,C,1200,True,862,912,2220.5,16.0,2220.5,1151,1.0,,2203.233333333333,2239.0
ID06,3,D,1200,True,427,477,2856.0,13.5,2856.0,1149,0.998262380538662,,2829.975,2869.0
ID06,4,E,1200,True,535,585,2479.0,18.5,2479.0,1151,1.0,,2454.275,2493.0
ID06,5,F,1194,True,56,106,1360.5,16.5,1360.5,1088,0.9502183406113537,,1329.6820083682007,1373.0
ID06,6,G,1152,True,1085,1135,1538.0,18.0,1538.0,1071,0.970988213961922,,1515.982683982684,1553.0
ID06,7,H,1176,True,614,664,2453.5,18.0,2453.5,1094,0.9707187222715173,,2427.665254237288,2469.0
ID07,0,A,1201,True,781,831,2354.5,15.0,2354.5,1152,1.0,,2328.7634854771786,2365.0
ID07,1,B,1197,True,1038,1088,1980.5,13.5,1980.5,1147,0.9991289198606271,,1959.7333333333333,1993.0
ID07,2,C,1200,True,543,593,1271.5,13.5,1271.5,1151,1.0,,1252.0666666666666,1284.0
ID07,3,D,1199,True,106,156,1798.5,13.0,1798.5,1150,1.0,,1781.875,1806.0
ID07,4,E,1201,True,59,109,2940.0,15.0,2940.0,1152,1.0,,2925.319502074689,2955.0
ID07,5,F,1193,False,845,895,2484.0,41.5,2415.560669456067,0,0.0,lower_trim_20,2415.560669456067,2527.0
ID07,6,G,1120,True,690,740,2219.0,14.5,2219.0,1008,0.9411764705882353,,2194.620535714286,2232.0
ID07,7,H,1187,True,843,893,2375.5,22.0,2375.5,1122,0.9859402460456942,,2344.9453781512607,2391.0
ID08,0,A,1198,True,977,1027,2491.5,25.5,2491.5,1110,0.9660574412532638,,2459.241666666667,2510.0
ID08,1,B,1201,True,574,624,2643.0,20.0,2643.0,1152,1.0,,2614.655601659751,2657.0
ID08,2,C,1201,True,759,809,1675.0,11.0,1675.0,1152,1.0,,1654.6970954356846,1684.0
ID08,3,D,1200,True,218,268,1991.0,14.0,1991.0,1151,1.0,,1976.9916666666666,2000.0
ID08,4,E,1201,True,843,893,2313.0,11.5,2313.0,1152,1.0,,2290.8008298755185,2321.0
ID08,5,F,1188,True,244,294,2207.0,27.5,2207.0,74,0.0649692712906058,,2145.638655462185,2218.5
ID08,6,G,1131,True,112,162,1624.0,9.5,1624.0,1076,0.9944547134935305,,1607.8370044052863,1640.0
