timestamp_s,stage,resource,device_index,utilization_percent,memory_used_mb,memory_total_mb,memory_utilization_percent
1781974581.914665,sample,cpu,-1,0.0,14659.346432,33496.322048,
1781974581.914665,sample,gpu,0,0.0,190.0,11264.0,0.0
1781974581.914665,sample,gpu,1,0.0,10.0,11264.0,0.0
1781974583.9582257,sample,cpu,-1,11.9,14757.548032,33496.322048,
1781974583.9582257,sample,gpu,0,0.0,190.0,11264.0,0.0
1781974583.9582257,sample,gpu,1,0.0,10.0,11264.0,0.0
1781974585.979322,sample,cpu,-1,16.0,15077.76512,33496.322048,
1781974585.979322,sample,gpu,0,26.0,412.0,11264.0,0.0
1781974585.979322,sample,gpu,1,0.0,10.0,11264.0,0.0
1781974588.000221,sample,cpu,-1,11.9,15082.483712,33496.322048,
1781974588.000221,sample,gpu,0,0.0,412.0,11264.0,0.0
1781974588.000221,sample,gpu,1,0.0,10.0,11264.0,0.0
1781974590.0269945,sample,cpu,-1,11.8,15076.458496,33496.322048,
1781974590.0269945,sample,gpu,0,25.0,412.0,11264.0,0.0
1781974590.0269945,sample,gpu,1,0.0,10.0,11264.0,0.0
1781974592.0477178,sample,cpu,-1,11.7,15109.230592,33496.322048,
1781974592.0477178,sample,gpu,0,0.0,412.0,11264.0,0.0
1781974592.0477178,sample,gpu,1,0.0,10.0,11264.0,0.0
1781974594.0691361,sample,cpu,-1,11.6,15193.489408,33496.322048,
1781974594.0691361,sample,gpu,0,0.0,412.0,11264.0,0.0
1781974594.0691361,sample,gpu,1,0.0,10.0,11264.0,0.0
1781974596.0917087,sample,cpu,-1,11.8,15204.716544,33496.322048,
1781974596.0917087,sample,gpu,0,26.0,412.0,11264.0,0.0
1781974596.0917087,sample,gpu,1,0.0,10.0,11264.0,0.0
1781974596.6598892,final,cpu,-1,12.4,15200.493568,33496.322048,
1781974596.6598892,final,gpu,0,26.0,412.0,11264.0,0.0
1781974596.6598892,final,gpu,1,0.0,10.0,11264.0,0.0
