check,status,detail
facing_direction_data_found,PASS,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/work/field_dataset_staged/FULL-COMPARE-1000-production-T4-real/tables/static_all_captures.csv
t1_t3_tail_attribution,PASS,CSV tables written
t4_facing_incidence,PASS,CSV and PNG written
t5_anchor_exclusion,PASS,CSV tables written
t6_t8_temporal,PASS,"autocorrelation, clean-window, changepoint complete"
t9_t11_quality,PASS,quality exploration and positioning complete
t12_master_comparison,PASS,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_three_dimensions/tables/t12_master_comparison.csv
t13_report,PASS,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/Analysis/official_extra_analysis/FULL_V5_three_dimensions/reports/THREE_DIMENSIONS_COMPLETION.md
figures_png,PASS,15 PNG figures
tables_csv,PASS,25 CSV tables
