rank,position_id,anchor_id,anchor_label,error_3d_mm,facing,height,distance_mm,range_residual_mm,abs_residual_mm,contribution_score
1,ID04,5,F,162.25183275796982,BCGF,low,1804.2112823995976,295.76626072030854,295.76626072030854,47988.6178698416
2,ID01,4,E,164.46769385155918,ABEF,low,1923.3819415514977,246.20617711028035,246.20617711028035,40492.96216133634
3,ID06,2,C,192.40182765551933,BCGF,high,1914.6593195304597,155.47399806596263,155.47399806596263,29913.481380801888
4,ID01,7,H,164.46769385155918,ABEF,low,2399.6542361970082,-178.20187371931252,178.20187371931252,29308.4512106421
5,ID06,0,A,192.40182765551933,BCGF,high,2750.1720757031053,130.89824985064115,130.89824985064115,25185.062508172166
6,ID04,7,H,162.25183275796982,BCGF,low,2803.4364916665036,136.95875821723757,136.95875821723757,22221.809533002455
7,ID06,4,E,192.40182765551933,BCGF,high,2249.41909629822,89.46833280931696,89.46833280931696,17213.870749804846
8,ID01,2,C,164.46769385155918,ABEF,low,2103.49989095445,-97.73293083006547,97.73293083006547,16073.909746974818
9,ID06,5,F,192.40182765551933,BCGF,high,1146.7917692877518,65.7660872851011,65.7660872851011,12653.515391405861
10,ID01,5,F,164.46769385155918,ABEF,low,2165.021271964457,73.71234708057,73.71234708057,12123.299732727059
