candidate,matrix_source,target_device,dataset,bias_treatment,samples,pose_count,rmse_g,median_abs_g,p95_abs_g,p99_abs_g,worst_pose_rmse_g,maximum_systematic_per_pose_abs_g,identity_rmse_g,rmse_gain_vs_identity_g,poses_improved_vs_identity,poses_materially_degraded_vs_identity,maximum_systematic_per_pose_degradation_vs_identity_g,matrix_condition,distance_from_identity_fro,off_diagonal_fro,maximum_abs_off_diagonal
IDENTITY,NONE,BSFC2CC,TRAINING,TARGET_DEVICE_FROZEN_BIAS_DIAGNOSTIC_ONLY,72520,18,0.00329346566674335,0.00301724631570699,0.00507273096191008,0.00602751329374138,0.00477563400137864,0.00476234489866656,0.00329346566674335,0.0,0,0,0.0,1.0,0.0,0.0,0.0
IDENTITY,NONE,BSFC2CC,ORIGINAL_HELDOUT,TARGET_DEVICE_FROZEN_BIAS_DIAGNOSTIC_ONLY,16120,4,0.00370232381282411,0.00297638667703404,0.00562198451430418,0.00636488319768325,0.00500094598667643,0.00487972291676697,0.00370232381282411,0.0,0,0,0.0,1.0,0.0,0.0,0.0
IDENTITY,NONE,BSFC2CC,SIX_POSE_REVALIDATION,TARGET_DEVICE_FROZEN_BIAS_DIAGNOSTIC_ONLY,38530,6,0.00342806842260441,0.00300447444146168,0.00506637561551404,0.00601764104193836,0.00471627931536223,0.00458144154157392,0.00342806842260441,0.0,0,0,0.0,1.0,0.0,0.0,0.0
IDENTITY,NONE,BSF31CC,TRAINING,TARGET_DEVICE_FROZEN_BIAS_DIAGNOSTIC_ONLY,72091,18,0.00452226038134168,0.00380991317057822,0.00582891112091333,0.00683029528047752,0.00808856382154956,0.0053079137143468,0.00452226038134168,0.0,0,0,0.0,1.0,0.0,0.0,0.0
IDENTITY,NONE,BSF31CC,ORIGINAL_HELDOUT,TARGET_DEVICE_FROZEN_BIAS_DIAGNOSTIC_ONLY,16030,4,0.00604445145913198,0.00556826158006873,0.00703186388247357,0.00761007228204003,0.00751936939312739,0.00613634648145922,0.00604445145913198,0.0,0,0,0.0,1.0,0.0,0.0,0.0
IDENTITY,NONE,COMBINED_DESCRIPTIVE,COMBINED_TRAINING,EACH_TARGET_DEVICE_FROZEN_BIAS_DIAGNOSTIC_ONLY,144611,36,0.00395406526601815,0.00339105956283281,0.00557237266823662,0.00655363411670384,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,0.00395406526601815,0.0,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,1.0,0.0,0.0,0.0
IDENTITY,NONE,COMBINED_DESCRIPTIVE,COMBINED_ORIGINAL_HELDOUT,EACH_TARGET_DEVICE_FROZEN_BIAS_DIAGNOSTIC_ONLY,32150,8,0.00500892654771182,0.00481784162357224,0.00680752853473754,0.00749365561256843,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,0.00500892654771182,0.0,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,1.0,0.0,0.0,0.0
IDENTITY,NONE,COMBINED_DESCRIPTIVE,COMBINED_ALL_NONTRAINING,EACH_TARGET_DEVICE_FROZEN_BIAS_DIAGNOSTIC_ONLY,70680,14,0.00422119996718212,0.00357884518419693,0.00637821978375225,0.00719660124463761,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,0.00422119996718212,0.0,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,1.0,0.0,0.0,0.0
C2CC_FROZEN_DIAGONAL,BSFC2CC,BSFC2CC,TRAINING,TARGET_DEVICE_FROZEN_BIAS_DIAGNOSTIC_ONLY,72520,18,0.00155013338734312,0.000944561093529916,0.00270338780554947,0.00373874049410584,0.00244611674729061,0.00218853884072479,0.00329346566674335,0.00174333227940023,15,2,0.00182254962461315,1.00135874303336,0.00495719848276236,0.0,0.0
C2CC_FROZEN_DIAGONAL,BSFC2CC,BSFC2CC,ORIGINAL_HELDOUT,TARGET_DEVICE_FROZEN_BIAS_DIAGNOSTIC_ONLY,16120,4,0.0025071447254138,0.00195232247355093,0.00336633043570567,0.00417932601772067,0.00345060727110015,0.0023537619217292,0.00370232381282411,0.00119517908741031,3,1,0.00229016090849898,1.00135874303336,0.00495719848276236,0.0,0.0
C2CC_FROZEN_DIAGONAL,BSFC2CC,BSFC2CC,SIX_POSE_REVALIDATION,TARGET_DEVICE_FROZEN_BIAS_DIAGNOSTIC_ONLY,38530,6,0.0014440086331927,0.000736313869306837,0.00211961782760461,0.0026721963223636,0.00195750285961026,0.00119157598278385,0.00342806842260441,0.00198405978941171,6,0,-0.00103881629676561,1.00135874303336,0.00495719848276236,0.0,0.0
C2CC_FROZEN_DIAGONAL,BSFC2CC,BSF31CC,TRAINING,TARGET_DEVICE_FROZEN_BIAS_DIAGNOSTIC_ONLY,72091,18,0.00282897678416757,0.00129205854324166,0.00333626361509864,0.00462046226923895,0.00714824828683883,0.0030183032902551,0.00452226038134168,0.00169328359717411,16,0,7.35920965050374e-05,1.00135874303336,0.00495719848276236,0.0,0.0
C2CC_FROZEN_DIAGONAL,BSFC2CC,BSF31CC,ORIGINAL_HELDOUT,TARGET_DEVICE_FROZEN_BIAS_DIAGNOSTIC_ONLY,16030,4,0.00363738678730949,0.00282983521780089,0.0043451589764365,0.00497499520447708,0.0055150977459286,0.00352178432724415,0.00604445145913198,0.00240706467182249,4,0,-0.00261456215421507,1.00135874303336,0.00495719848276236,0.0,0.0
C2CC_FROZEN_DIAGONAL,BSFC2CC,COMBINED_DESCRIPTIVE,COMBINED_TRAINING,EACH_TARGET_DEVICE_FROZEN_BIAS_DIAGNOSTIC_ONLY,144611,36,0.00227918952019972,0.0011057978616007,0.00308347816296883,0.00427067191328476,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,0.00395406526601815,0.00167487574581843,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,1.00135874303336,0.00495719848276236,0.0,0.0
C2CC_FROZEN_DIAGONAL,BSFC2CC,COMBINED_DESCRIPTIVE,COMBINED_ORIGINAL_HELDOUT,EACH_TARGET_DEVICE_FROZEN_BIAS_DIAGNOSTIC_ONLY,32150,8,0.00312225208564363,0.00234801216012737,0.00415827935693325,0.00488303320417294,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,0.00500892654771182,0.00188667446206819,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,SEE_DEVICE_ROWS,1.00135874303336,0.00495719848276236,0.0,0.0
