policy,device,dataset,matrix_shared,per_device_accel_bias_used,bias_kind,samples,pose_count,rmse_g,median_abs_g,p95_abs_g,p99_abs_g,worst_pose_rmse_g,maximum_systematic_per_pose_abs_g,oracle_rmse_g,gap_to_device_oracle_rmse_g,production_eligible
IDENTITY_ZERO_ACCEL_BIAS,BSFC2CC,ORIGINAL_HELDOUT,False,False,ZERO_ACCEL_BIAS,16120,4,0.00698168276143059,0.00519570983444817,0.0113597807455164,0.011998082781095,0.0107860230156126,0.0107338135598161,0.0025071447254138,0.00447453803601679,True
IDENTITY_ZERO_ACCEL_BIAS,BSFC2CC,SIX_POSE_REVALIDATION,False,False,ZERO_ACCEL_BIAS,38530,6,0.00740273872312993,0.00450051378585403,0.0151302599827601,0.0156528175652579,0.0146583294882925,0.0146556042591577,0.0014440086331927,0.00595873008993723,True
IDENTITY_ZERO_ACCEL_BIAS,BSF31CC,ORIGINAL_HELDOUT,False,False,ZERO_ACCEL_BIAS,16030,4,0.00653696770042781,0.0057939526661146,0.00877582729701132,0.00945709650507109,0.00824097122547284,0.00826921390506619,0.0021472395854155,0.00438972811501231,True
IDENTITY_POOLED_BIAS_DIAGNOSTIC,BSFC2CC,ORIGINAL_HELDOUT,False,False,POOLED_BIAS_DIAGNOSTIC,16120,4,0.0054304985418072,0.00500705532283252,0.00773504296979843,0.00837236895455494,0.00695120321942819,0.00688593144477756,0.0025071447254138,0.0029233538163934,False
IDENTITY_POOLED_BIAS_DIAGNOSTIC,BSFC2CC,SIX_POSE_REVALIDATION,False,False,POOLED_BIAS_DIAGNOSTIC,38530,6,0.00501294717656251,0.00308545656637715,0.0103990339856224,0.0109199666371411,0.00993405089347527,0.00992415003115199,0.0014440086331927,0.00356893854336981,False
IDENTITY_POOLED_BIAS_DIAGNOSTIC,BSF31CC,ORIGINAL_HELDOUT,False,False,POOLED_BIAS_DIAGNOSTIC,16030,4,0.00908516231418752,0.0086044597329582,0.0118339517139812,0.0124920226924616,0.0111946626865801,0.0111865073664197,0.0021472395854155,0.00693792272877202,False
POOLED_DIAGONAL_ZERO_ACCEL_BIAS,BSFC2CC,ORIGINAL_HELDOUT,True,False,ZERO_ACCEL_BIAS,16120,4,0.00440133575897252,0.00210087287902039,0.0083095795038064,0.00893383468284226,0.00773389927465327,0.00767270110804108,0.0025071447254138,0.00189419103355871,True
POOLED_DIAGONAL_ZERO_ACCEL_BIAS,BSFC2CC,SIX_POSE_REVALIDATION,True,False,ZERO_ACCEL_BIAS,38530,6,0.00671942898259972,0.00231894013264811,0.0118244047904146,0.0125247657250083,0.0113217599453978,0.0113144156655633,0.0014440086331927,0.00527542034940702,True
POOLED_DIAGONAL_ZERO_ACCEL_BIAS,BSF31CC,ORIGINAL_HELDOUT,True,False,ZERO_ACCEL_BIAS,16030,4,0.00376563743510829,0.0025780888459408,0.00546922310567877,0.00614860333628055,0.00495429879795149,0.00496508717909316,0.0021472395854155,0.00161839784969279,True
POOLED_DIAGONAL_POOLED_BIAS_DIAGNOSTIC,BSFC2CC,ORIGINAL_HELDOUT,True,False,POOLED_BIAS_DIAGNOSTIC,16120,4,0.00299585197115334,0.00212468307024505,0.00461615583530994,0.00527334107696853,0.00392944794301967,0.00383706862153232,0.0025071447254138,0.00048870724573954,False
POOLED_DIAGONAL_POOLED_BIAS_DIAGNOSTIC,BSFC2CC,SIX_POSE_REVALIDATION,True,False,POOLED_BIAS_DIAGNOSTIC,38530,6,0.00395258140529858,0.00111945518929235,0.00710757547092733,0.00783973311958386,0.00662001540560923,0.00659844995348546,0.0014440086331927,0.00250857277210588,False
POOLED_DIAGONAL_POOLED_BIAS_DIAGNOSTIC,BSF31CC,ORIGINAL_HELDOUT,True,False,POOLED_BIAS_DIAGNOSTIC,16030,4,0.00613131859180421,0.00546692820336914,0.00848588788426752,0.00912639248519653,0.00782912915584721,0.00781190600623893,0.0021472395854155,0.00398407900638871,False
PER_DEVICE_ORACLE_REFERENCE,BSFC2CC,ORIGINAL_HELDOUT,False,True,DEVICE_FROZEN_ORACLE,16120,4,0.0025071447254138,0.00195232247355093,0.00336633043570567,0.00417932601772067,0.00345060727110015,0.0023537619217292,0.0025071447254138,0.0,False
PER_DEVICE_ORACLE_REFERENCE,BSFC2CC,SIX_POSE_REVALIDATION,False,True,DEVICE_FROZEN_ORACLE,38530,6,0.0014440086331927,0.000736313869306837,0.00211961782760461,0.0026721963223636,0.00195750285961026,0.00119157598278385,0.0014440086331927,0.0,False
PER_DEVICE_ORACLE_REFERENCE,BSF31CC,ORIGINAL_HELDOUT,False,True,DEVICE_FROZEN_ORACLE,16030,4,0.0021472395854155,0.000464050923412118,0.00143266959300714,0.00208426872015055,0.00409478925412291,4.01333903332635e-05,0.0021472395854155,0.0,False
