candidate,target_device,dataset,pose,samples,rmse_g,median_abs_g,p95_abs_g,p99_abs_g,median_signed_g,identity_rmse_g,rmse_gain_vs_identity_g
IDENTITY,BSFC2CC,TRAINING,1,4040,0.00288063700321579,0.00270381245330409,0.00371786365565848,0.00458103004983382,0.00270381245330409,0.00288063700321579,0.0
IDENTITY,BSFC2CC,TRAINING,2,4040,0.00368263348400159,0.00358600973275536,0.00462259455709613,0.00559506646223618,0.00358600973275536,0.00368263348400159,0.0
IDENTITY,BSFC2CC,TRAINING,3,4030,0.00381211794865822,0.00378807306281992,0.00532878343051935,0.00633308442670999,0.00378807306281992,0.00381211794865822,0.0
IDENTITY,BSFC2CC,TRAINING,4,4040,0.00364410612141672,0.00340041415768177,0.00534929125644656,0.0068252334486512,0.00340041415768177,0.00364410612141672,0.0
IDENTITY,BSFC2CC,TRAINING,5,4040,0.00274615314610626,0.00272647669643189,0.00376160458812791,0.00426280385103411,0.00272647669643189,0.00274615314610626,0.0
IDENTITY,BSFC2CC,TRAINING,6,4010,0.0025592301518193,0.00252951243705879,0.00357637728069959,0.00450472422287351,0.00252951243705879,0.0025592301518193,0.0
IDENTITY,BSFC2CC,TRAINING,7,4030,0.0041683654990681,0.00398690786272127,0.00532972381350172,0.00601222901418726,0.00398690786272127,0.0041683654990681,0.0
IDENTITY,BSFC2CC,TRAINING,8,4010,0.00207248820151342,0.0019099627606356,0.00324159195884177,0.00384285904948634,0.00190164823069849,0.00207248820151342,0.0
IDENTITY,BSFC2CC,TRAINING,9,4010,0.00398103614473769,0.00348852182201975,0.00548792382410701,0.00856566445041219,0.00348852182201975,0.00398103614473769,0.0
IDENTITY,BSFC2CC,TRAINING,10,4000,0.00235596566202652,0.00182661939510154,0.00333810799344306,0.00634627814073143,0.00182661939510154,0.00235596566202652,0.0
IDENTITY,BSFC2CC,TRAINING,11,4010,0.00405544627845358,0.00389668039807689,0.00530550625584403,0.00613649486683728,0.00389668039807689,0.00405544627845358,0.0
IDENTITY,BSFC2CC,TRAINING,12,4040,0.00336756101762217,0.00324633823932685,0.00453891977119181,0.00494084316380966,0.00324633823932685,0.00336756101762217,0.0
IDENTITY,BSFC2CC,TRAINING,13,4050,0.00145662540603109,0.00113314688658361,0.00246687968699399,0.00343995626343487,0.00113314688658361,0.00145662540603109,0.0
IDENTITY,BSFC2CC,TRAINING,14,4030,0.00334175559940677,0.0032537864914739,0.00456837979571767,0.00524061370925022,0.0032537864914739,0.00334175559940677,0.0
IDENTITY,BSFC2CC,TRAINING,15,4040,0.00462755324096323,0.00410926023147296,0.00577665885398382,0.0114159321218071,0.00402159819837167,0.00462755324096323,0.0
IDENTITY,BSFC2CC,TRAINING,16,4050,0.00477563400137864,0.00476234489866656,0.00591084475652703,0.00645099549343902,0.00476234489866656,0.00477563400137864,0.0
IDENTITY,BSFC2CC,TRAINING,17,4030,0.000870522328011562,0.00060445276032306,0.00175272928165882,0.00230719504824264,0.00036598921611164,0.000870522328011562,0.0
IDENTITY,BSFC2CC,TRAINING,18,4020,0.0015011659507978,0.00133056726557235,0.00252745987778091,0.00303622752422217,0.00133056726557235,0.0015011659507978,0.0
IDENTITY,BSFC2CC,ORIGINAL_HELDOUT,1,4040,0.00500094598667643,0.00487972291676697,0.00615803684692229,0.00719899491869089,0.00487972291676697,0.00500094598667643,0.0
IDENTITY,BSFC2CC,ORIGINAL_HELDOUT,2,4010,0.00449171404620249,0.00440629942694826,0.00557059455341657,0.00598122818687541,0.00440629942694826,0.00449171404620249,0.0
IDENTITY,BSFC2CC,ORIGINAL_HELDOUT,3,4040,0.00179085498245017,0.00136956026970059,0.00281823719572238,0.00491079488944575,0.00135408823160188,0.00179085498245017,0.0
IDENTITY,BSFC2CC,ORIGINAL_HELDOUT,4,4030,0.00254299019879732,0.000566968974837323,0.00155629442989749,0.00199729463287091,-6.36010132302189e-05,0.00254299019879732,0.0
IDENTITY,BSFC2CC,SIX_POSE_REVALIDATION,1,6430,0.00231993261955335,0.00223039227954946,0.00322857864485493,0.00372512663165137,0.00223039227954946,0.00231993261955335,0.0
IDENTITY,BSFC2CC,SIX_POSE_REVALIDATION,2,6430,0.00471627931536223,0.00458144154157392,0.00601764104193836,0.00655577145777136,0.00458144154157392,0.00471627931536223,0.0
IDENTITY,BSFC2CC,SIX_POSE_REVALIDATION,3,6430,0.00341625150480263,0.00329336636890565,0.0043102378949853,0.00480449463222699,0.00329336636890565,0.00341625150480263,0.0
IDENTITY,BSFC2CC,SIX_POSE_REVALIDATION,4,6390,0.0034420774666949,0.00321550452062302,0.00464500739000706,0.00515040062680937,0.00321550452062302,0.0034420774666949,0.0
IDENTITY,BSFC2CC,SIX_POSE_REVALIDATION,5,6410,0.00313057334187118,0.0025175829844335,0.00394835793088477,0.0054411834121213,0.0025175829844335,0.00313057334187118,0.0
IDENTITY,BSFC2CC,SIX_POSE_REVALIDATION,6,6440,0.00309246063046156,0.0025164383449201,0.00350732990265978,0.00399065333868388,0.0025164383449201,0.00309246063046156,0.0
IDENTITY,BSF31CC,TRAINING,1,4000,0.00808856382154956,0.00379486815110952,0.00525895907222029,0.00770894980124888,0.00379486815110952,0.00808856382154956,0.0
IDENTITY,BSF31CC,TRAINING,2,4010,0.00369105531679565,0.00368320855145754,0.00466149174584674,0.00514976697605696,0.00368320855145754,0.00369105531679565,0.0
IDENTITY,BSF31CC,TRAINING,3,4010,0.00332022514971749,0.00341094681150111,0.00439861586782664,0.00487869035830174,0.00341094681150111,0.00332022514971749,0.0
IDENTITY,BSF31CC,TRAINING,4,4010,0.00430665769253283,0.00335493729150693,0.0043403315168602,0.00482742989077822,0.00335493729150693,0.00430665769253283,0.0
