row_spec,stage,wall_time_s,gpu_warmup,repeat_count,wall_time_min_s,wall_time_max_s
R4:L3:I7:T6,simulate_imu_prior,0.5559239229914965,,,,
R4:L3:I7:T6,cpu_golden,20.477791280005476,,,,
R4:L3:I7:T6,torch_gpu,2.251312213993515,0,1,2.251312213993515,2.251312213993515
R4:L3:I7:T8,simulate_imu_prior,0.5614104649866931,,,,
R4:L3:I7:T8,cpu_golden,20.100110061001033,,,,
R4:L3:I7:T8,torch_gpu,2.0636609600041993,0,1,2.0636609600041993,2.0636609600041993
R4:L3:I8:T6,simulate_imu_prior,0.5477117319969693,,,,
R4:L3:I8:T6,cpu_golden,19.726876624001306,,,,
R4:L3:I8:T6,torch_gpu,2.0317250240041176,0,1,2.0317250240041176,2.0317250240041176
R4:L3:I8:T8,simulate_imu_prior,0.6044519409915665,,,,
R4:L3:I8:T8,cpu_golden,20.284070563997375,,,,
R4:L3:I8:T8,torch_gpu,2.1265988039958756,0,1,2.1265988039958756,2.1265988039958756
