config,height_tier,n_positions,d_tag_min_median_mm,median_at_min,d_tag_min_rmse_mm,rmse_at_min,d_tag_zero_slope_mm,zero_slope_found,slope_value_at_zero_choice
V4+C_V4,HIGH,8,20.0,62.11133411563354,48.0,67.28180326757459,120.0,False,859.4802853848086
V4+C_V4,LOW,8,54.0,56.34441352501797,74.0,81.67782989522233,64.0,False,1653.3085841262666
V4+C_V4,MID,8,52.0,57.32078445738746,24.0,57.62758642903278,0.0,False,-227.50392117559562
V5+C_V5,HIGH,8,86.0,53.36726991238875,76.0,64.66360857890689,120.0,False,956.6394911298843
V5+C_V5,LOW,8,70.0,48.45652774291281,88.0,83.04213774650059,20.0,False,1432.203941725876
V5+C_V5,MID,8,80.0,59.27575066852191,46.0,62.374940358420794,27.063030343922367,True,0.0
Vicon+C_Vicon_cm,HIGH,8,88.0,59.66984345820238,72.0,62.94499581031071,120.0,False,690.4549292406799
Vicon+C_Vicon_cm,LOW,8,72.0,49.622324767400514,92.0,85.27221096490797,28.0,False,1635.2572084955048
Vicon+C_Vicon_cm,MID,8,72.0,55.08044787937547,44.0,59.52819101049594,73.3667661750235,True,0.0
