config,height_tier,d_tag_mm,n_positions,median_3d_mm,rmse_3d_mm,p95_3d_mm,signed_vertical_slope
V4+C_V4,LOW,0.0,8,128.45338892103683,146.414367474417,238.5272075013401,1844.012897735211
V4+C_V4,LOW,2.0,8,125.12972494152116,143.52145513095456,234.64732526927807,1832.7403639387076
V4+C_V4,LOW,4.0,8,121.8247972615737,140.65970624364058,230.75476659320526,1821.299314752776
V4+C_V4,LOW,6.0,8,118.5315848120473,137.83399301040345,226.86222338111804,1810.0073482307278
V4+C_V4,LOW,8.0,8,115.25305347594642,135.04613433111277,222.9715158972307,1798.9439247346977
V4+C_V4,LOW,10.0,8,111.98584027272418,132.2922508698415,219.07892566822866,1788.0983816329656
V4+C_V4,LOW,12.0,8,108.72739127857832,129.5755154584899,215.19043541063132,1777.4382073506665
V4+C_V4,LOW,14.0,8,105.47843629473667,126.89933363547995,211.3081309721229,1767.0644009800055
V4+C_V4,LOW,16.0,8,102.23691813503505,124.2667986284527,207.43734763713735,1757.185975560202
V4+C_V4,LOW,18.0,8,99.00292217610028,121.68368846355813,203.58913822156404,1747.8367439713024
V4+C_V4,LOW,20.0,8,95.78147883078968,119.15030180853478,199.75787473800466,1738.931928269402
V4+C_V4,LOW,22.0,8,92.56956167517728,116.66871654132245,195.94843371160223,1730.554973682812
V4+C_V4,LOW,24.0,8,89.37107354094127,114.24523718551217,192.16577017444516,1722.707152895993
V4+C_V4,LOW,26.0,8,86.18196108673297,111.88393445410709,188.41886224257328,1715.4379457308687
V4+C_V4,LOW,28.0,8,82.99960353402332,109.58195187675068,184.69829830986745,1708.6177121138835
V4+C_V4,LOW,30.0,8,79.82653727512294,107.34606334879665,181.01749205123454,1702.114049900656
V4+C_V4,LOW,32.0,8,76.67214860201776,105.18547063165458,177.38389213636256,1696.195699422453
V4+C_V4,LOW,34.0,8,73.52929315296726,103.10327958256892,173.7983789470548,1690.8756235380217
V4+C_V4,LOW,36.0,8,70.3988427719896,101.10401105188424,170.26788714376684,1686.0772411035234
V4+C_V4,LOW,38.0,8,67.28779417013635,99.18777013357945,166.78561635183382,1681.5837350345707
V4+C_V4,LOW,40.0,8,64.19666559702819,97.35612965270518,163.34981884046516,1677.433816388028
V4+C_V4,LOW,42.0,8,61.13006749106593,95.61383598306344,159.97014580081995,1673.7780551996912
V4+C_V4,LOW,44.0,8,59.54253406440632,93.96375979006585,156.64683652423986,1670.4163949909305
V4+C_V4,LOW,46.0,8,58.77853114594902,92.40964683233636,153.38132476583914,1667.2769075187664
V4+C_V4,LOW,48.0,8,58.07895938682272,90.95377347546815,150.17484416449,1664.4864943852506
V4+C_V4,LOW,50.0,8,57.44306405021938,89.60253812087757,147.03281106405927,1662.0549741084903
V4+C_V4,LOW,52.0,8,56.86806955931738,88.35407806194557,144.14455607401896,1659.9090729566674
V4+C_V4,LOW,54.0,8,56.34441352501797,87.21068849255977,141.69390078378447,1658.1048393550304
V4+C_V4,LOW,56.0,8,56.58017310476471,86.17192840018437,139.31783376903985,1656.593639948218
V4+C_V4,LOW,58.0,8,58.545825648648915,85.23717423990449,137.01410042329778,1655.3050121851873
V4+C_V4,LOW,60.0,8,60.85541759981706,84.40948569337102,134.78567554501845,1654.3415831604782
V4+C_V4,LOW,62.0,8,63.189525323246144,83.69153981105868,132.6343678582095,1653.6932238892662
V4+C_V4,LOW,64.0,8,65.54580290960808,83.08208905664682,130.55567905256058,1653.3085841262666
V4+C_V4,LOW,66.0,8,67.91764097951187,82.58344897230872,128.5583441962774,1653.4440431182147
V4+C_V4,LOW,68.0,8,70.30350647373149,82.1940450251235,126.637137163865,1653.9166012862322
V4+C_V4,LOW,70.0,8,72.699603737964,81.91304399906147,124.79675092082633,1654.8246773448434
V4+C_V4,LOW,72.0,8,75.09890732532585,81.7407069731589,123.03777757241889,1656.1788140919523
V4+C_V4,LOW,74.0,8,77.50144496044614,81.67782989522233,121.36015661023264,1657.9844352685461
V4+C_V4,LOW,76.0,8,79.90763840890217,81.72259746654012,119.77052939812069,1660.3612087475526
V4+C_V4,LOW,78.0,8,81.15218113045535,81.87487131286774,118.27007047426716,1663.188181283282
V4+C_V4,LOW,80.0,8,81.85495004263326,82.13205982297353,116.85903678993803,1666.4613318940944
