layout_id,family,geometry,all8_vdop_p90,drop_worst_vdop_p90,drop_delta_vdop_p90,all8_gdop_p90,drop_worst_gdop_p90,drop_delta_gdop_p90,drop_worst_bad_ratio_sum
1,irregular,true,2.8446431159973145,3.3431053161621094,0.4984622001647949,2.934399127960205,3.440953493118286,0.506554365158081,0.1869126633105943
1,irregular,v1-old,2.843916893005371,3.3411831855773926,0.4972662925720215,2.9336180686950684,3.4391350746154785,0.5055170059204102,0.1864897905049678
1,irregular,v2,2.848299980163574,3.3415591716766357,0.4932591915130615,2.9378583431243896,3.439497232437134,0.5016388893127441,0.18675408600848437
1,irregular,v3-full,2.8445587158203125,3.339228391647339,0.49466967582702637,2.934307813644409,3.437094211578369,0.50278639793396,0.18610536068167097
1,irregular,v3-lite,2.8443281650543213,3.341055154800415,0.49672698974609375,2.933954954147339,3.4391489028930664,0.5051939487457275,0.18650036232510847
1,irregular,v4-io,2.8509466648101807,3.327317476272583,0.47637081146240234,2.9403300285339355,3.4244954586029053,0.4841654300689697,0.1827425608023819
18,irregular,true,2.863619327545166,3.35092830657959,0.48730897903442383,2.953684091567993,3.446268081665039,0.4925839900970459,0.1914556627474046
18,irregular,v1-old,2.8620212078094482,3.3465001583099365,0.4844789505004883,2.952129364013672,3.4418976306915283,0.48976826667785645,0.19038118139128998
18,irregular,v2,2.865112781524658,3.3466646671295166,0.4815518856048584,2.955174684524536,3.4420714378356934,0.4868967533111572,0.19018416110685035
18,irregular,v3-full,2.862147808074951,3.3460733890533447,0.48392558097839355,2.9522910118103027,3.441579580307007,0.4892885684967041,0.19024470880401959
18,irregular,v3-lite,2.8629848957061768,3.3476831912994385,0.4846982955932617,2.9531002044677734,3.4430980682373047,0.48999786376953125,0.19060318961424388
18,irregular,v4-io,2.868208646774292,3.3392844200134277,0.47107577323913574,2.958163261413574,3.4347879886627197,0.4766247272491455,0.18797465069745178
24,irregular,true,2.926302194595337,3.3402297496795654,0.4139275550842285,3.0129146575927734,3.4315199851989746,0.41860532760620117,0.18865509148468718
24,irregular,v1-old,2.9257702827453613,3.3376715183258057,0.41190123558044434,3.01239013671875,3.429084300994873,0.41669416427612305,0.18786316604869574
24,irregular,v2,2.9290311336517334,3.3377861976623535,0.4087550640106201,3.015517473220825,3.429265260696411,0.41374778747558594,0.18776129214552206
24,irregular,v3-full,2.9249813556671143,3.335228443145752,0.4102470874786377,3.0116090774536133,3.426753520965576,0.4151444435119629,0.18717311451587793
24,irregular,v3-lite,2.926530361175537,3.3374712467193604,0.41094088554382324,3.013129949569702,3.4289088249206543,0.41577887535095215,0.18780934587343417
24,irregular,v4-io,2.9298410415649414,3.3435771465301514,0.41373610496520996,3.0160880088806152,3.4369523525238037,0.4208643436431885,0.1895363968545952
30,irregular,true,2.77927827835083,3.2409467697143555,0.4616684913635254,2.870861768722534,3.340337038040161,0.46947526931762695,0.1613894062673594
30,irregular,v1-old,2.778750419616699,3.2390871047973633,0.46033668518066406,2.87032151222229,3.338524580001831,0.468203067779541,0.16091944080837903
30,irregular,v2,2.7821545600891113,3.240139961242676,0.45798540115356445,2.873596668243408,3.339301109313965,0.46570444107055664,0.16103573082992634
30,irregular,v3-full,2.778552293777466,3.2399606704711914,0.4614083766937256,2.870142698287964,3.3393263816833496,0.46918368339538574,0.1610924342288626
30,irregular,v3-lite,2.779334545135498,3.240013599395752,0.4606790542602539,2.870920181274414,3.339350461959839,0.4684302806854248,0.16109051207974612
30,irregular,v4-io,2.784172773361206,3.2385661602020264,0.4543933868408203,2.87558913230896,3.337667942047119,0.4620788097381592,0.16051578949391734
72,irregular,true,2.2769994735717773,2.785301685333252,0.5083022117614746,2.4054510593414307,2.9236786365509033,0.5182275772094727,0.05961833807143091
72,irregular,v1-old,2.2760260105133057,2.7836408615112305,0.5076148509979248,2.404531955718994,2.9220621585845947,0.5175302028656006,0.05919738741492087
72,irregular,v2,2.2794792652130127,2.7853384017944336,0.5058591365814209,2.407594919204712,2.9230778217315674,0.5154829025268555,0.05948859300606822
72,irregular,v3-full,2.2766456604003906,2.7810044288635254,0.5043587684631348,2.4048473834991455,2.919123649597168,0.5142762660980225,0.058474659347122836
72,irregular,v3-lite,2.2764599323272705,2.7840867042541504,0.5076267719268799,2.40494966506958,2.9223246574401855,0.5173749923706055,0.0592915727216286
72,irregular,v4-io,2.28316593170166,2.781769037246704,0.49860310554504395,2.410762071609497,2.918492555618286,0.5077304840087891,0.05849195868917119
104,irregular,true,2.3189244270324707,2.7383697032928467,0.419445276260376,2.43475341796875,2.866572856903076,0.43181943893432617,0.05169908371151617
104,irregular,v1-old,2.31874680519104,2.7394957542419434,0.4207489490509033,2.4346935749053955,2.8676960468292236,0.4330024719238281,0.05184036167157776
104,irregular,v2,2.321241617202759,2.7415173053741455,0.4202756881713867,2.437075614929199,2.869518280029297,0.43244266510009766,0.05220653107826799
104,irregular,v3-full,2.320127487182617,2.742144823074341,0.42201733589172363,2.435988664627075,2.8702268600463867,0.4342381954193115,0.052346847963771335
104,irregular,v3-lite,2.319580554962158,2.7418606281280518,0.42228007316589355,2.435439109802246,2.8698551654815674,0.4344160556793213,0.05228918349027681
104,irregular,v4-io,2.3231186866760254,2.749713897705078,0.42659521102905273,2.4387876987457275,2.877406358718872,0.43861865997314453,0.054297829317002756
