solver,policy,quality_thresh_mm,edge_margin_mm,area_m2,median_estimated_residual_mm,p90_estimated_residual_mm,grid_cells
V3,pure data-driven inside 8-anchor hull,70.0,0.0,14.485581631418004,43.888500000470614,57.12641760169983,61135
V4,pure data-driven inside 8-anchor hull,70.0,0.0,14.659698291607624,41.99146718620866,54.908552550098214,60469
