solver,vertex,x_mm,y_mm
V3,0,2540.257397079786,440.5230612095971
V3,1,2707.910531875864,4299.568964936371
V3,2,2795.451208774745,4246.276942560817
V3,3,277.97450672603054,4241.437655010161
V3,4,445.26768962236054,4367.54219443413
V3,5,449.7495202393657,231.40359128965974
V3,6,229.48269657905732,389.151141010177
V4,0,2390.639128208262,4318.082064325449
V4,1,197.23089499294974,4286.66889287094
V4,2,345.14771670410266,335.5050625107897
V4,3,2430.4828896791955,429.8926562306779
V4,4,2390.876372875365,4305.450542144514
