solver,quality_thresh_mm,anchor_exclusion_radius_mm,area_m2,median_estimated_residual_mm,p90_estimated_residual_mm,grid_cells
V3,70.0,500.0,13.349448258474483,44.15386769514824,57.744716406042635,64707
V3,70.0,700.0,12.444589741441254,44.38694473063844,57.68641639552962,60321
V3,70.0,1000.0,10.658185295706936,44.60747244553471,56.969445864324435,51662
V4,70.0,500.0,13.172575722172873,42.31708521911081,55.56703110904007,62404
V4,70.0,700.0,12.139312499301964,42.40337103605741,55.742573620464306,57509
V4,70.0,1000.0,10.126823925890065,42.60254352361992,55.77684192862927,47975
