solver,criterion,center_x_mm,center_y_mm,radius_mm,diameter_mm,area_m2
V3,largest approximate circle inside 8-anchor hull with estimated median abs residual <= 60 mm,473.1170038682196,4318.062461762584,373.7504520572319,747.5009041144638,0.4388471941217973
V4,largest approximate circle inside 8-anchor hull with estimated median abs residual <= 60 mm,139.48965135174495,4281.498057636394,370.7341146922813,741.4682293845626,0.43179238145720106
