version,location,height,facing,n,D3_median,D3_p75,D3_p95,D3_max
v4-io,center,high,ABEF,1,56.09605306252581,56.09605306252581,56.09605306252581,56.09605306252581
v4-io,center,high,ADHE,1,74.02287885940923,74.02287885940923,74.02287885940923,74.02287885940923
v4-io,center,high,BCGF,1,39.49121257008104,39.49121257008104,39.49121257008104,39.49121257008104
v4-io,center,high,CDHG,1,76.57844335897418,76.57844335897418,76.57844335897418,76.57844335897418
v4-io,center,low,ABEF,1,71.49775863704416,71.49775863704416,71.49775863704416,71.49775863704416
v4-io,center,low,ADHE,1,80.28276675371335,80.28276675371335,80.28276675371335,80.28276675371335
v4-io,center,low,BCGF,1,41.652785734453566,41.652785734453566,41.652785734453566,41.652785734453566
v4-io,center,low,CDHG,1,112.84026471277389,112.84026471277389,112.84026471277389,112.84026471277389
v4-io,center,mid,ABEF,1,77.36684450836701,77.36684450836701,77.36684450836701,77.36684450836701
v4-io,center,mid,ADHE,1,62.78184998758527,62.78184998758527,62.78184998758527,62.78184998758527
v4-io,center,mid,BCGF,1,47.250569759518704,47.250569759518704,47.250569759518704,47.250569759518704
v4-io,center,mid,CDHG,1,54.307713711916534,54.307713711916534,54.307713711916534,54.307713711916534
v4-io,edge,high,ABEF,1,88.50147784833875,88.50147784833875,88.50147784833875,88.50147784833875
v4-io,edge,high,ADHE,1,43.192888644556454,43.192888644556454,43.192888644556454,43.192888644556454
v4-io,edge,high,BCGF,1,71.99205829750441,71.99205829750441,71.99205829750441,71.99205829750441
v4-io,edge,high,CDHG,1,78.49674080324854,78.49674080324854,78.49674080324854,78.49674080324854
v4-io,edge,low,ABEF,1,59.81562847571179,59.81562847571179,59.81562847571179,59.81562847571179
v4-io,edge,low,ADHE,1,46.79558090924986,46.79558090924986,46.79558090924986,46.79558090924986
v4-io,edge,low,BCGF,1,56.28557241324083,56.28557241324083,56.28557241324083,56.28557241324083
v4-io,edge,low,CDHG,1,85.67001060317745,85.67001060317745,85.67001060317745,85.67001060317745
v4-io,edge,mid,ABEF,1,58.46449659218902,58.46449659218902,58.46449659218902,58.46449659218902
v4-io,edge,mid,ADHE,1,45.64542578761276,45.64542578761276,45.64542578761276,45.64542578761276
v4-io,edge,mid,BCGF,1,72.58588171743028,72.58588171743028,72.58588171743028,72.58588171743028
v4-io,edge,mid,CDHG,1,79.11666737382085,79.11666737382085,79.11666737382085,79.11666737382085
