version,eval_set,anchor,n_pairs,rms,p50_abs,p95_abs,max_abs
v4-io,all1000,A,7,19.558971987429516,20.20836682354343,27.341554595197838,28.092171397108814
v4-io,all1000,B,7,71.24547874166684,21.543088063549476,133.30575617874112,141.72779945142702
v4-io,all1000,C,7,56.74530538181087,19.563862565662475,108.62336275496375,141.72779945142702
v4-io,all1000,D,7,53.95057102507506,28.092171397108814,97.25323140570289,99.75186082097616
v4-io,all1000,E,7,43.41381252255679,22.42630285543737,79.24020571364818,99.75186082097616
v4-io,all1000,F,7,43.351831622472396,19.563862565662475,81.77167724309291,91.42309610339862
v4-io,all1000,G,7,47.048912090351,24.0469737811909,88.96054625238656,113.65432187580745
v4-io,all1000,H,7,31.54248937690977,25.5901153907389,53.0070508064029,59.25169990237964
v4-io,solve,A,7,19.558971987429516,20.20836682354343,27.341554595197838,28.092171397108814
v4-io,solve,B,7,71.24547874166684,21.543088063549476,133.30575617874112,141.72779945142702
v4-io,solve,C,7,56.74530538181087,19.563862565662475,108.62336275496375,141.72779945142702
v4-io,solve,D,7,53.95057102507506,28.092171397108814,97.25323140570289,99.75186082097616
v4-io,solve,E,7,43.41381252255679,22.42630285543737,79.24020571364818,99.75186082097616
v4-io,solve,F,7,43.351831622472396,19.563862565662475,81.77167724309291,91.42309610339862
v4-io,solve,G,7,47.048912090351,24.0469737811909,88.96054625238656,113.65432187580745
v4-io,solve,H,7,31.54248937690977,25.5901153907389,53.0070508064029,59.25169990237964
