version,ID,tilt,facing,inner_radius_mm,outer_radius_mm,deltaR_mm,deltaR_error_mm,abs_deltaR_error_mm,inner_radius_bias_mm,outer_radius_bias_mm,inner_outer_center_sep_mm,inner_turn_center_rms_3d_mm,outer_turn_center_rms_3d_mm,inner_turn_center_p95_3d_mm,outer_turn_center_p95_3d_mm,inner_turn_count,outer_turn_count,inner_circle_thickness_rms_diagnostic,outer_circle_thickness_rms_diagnostic
v4-io,ID25,planar,none,478.04985435859936,604.4942155152587,126.44436115665934,6.44436115665934,6.44436115665934,38.04985435859936,44.4942155152587,37.59282681715348,24.976439256056178,17.736925108380312,39.17814454215929,28.98968121579411,31,31,201.90566758420198,116.25573557930892
v4-io,ID26,small,BCGF,480.4797412038824,588.5305714031731,108.05083019929071,-11.949169800709285,11.949169800709285,40.479741203882384,28.5305714031731,49.58491226923479,22.1298024976399,11.552611059497693,36.499464016183296,20.29110901460975,28,28,155.4285451303066,96.5196588771609
v4-io,ID27,small,CDHG,517.0439759527773,596.2960997031048,79.25212375032754,-40.74787624967246,40.74787624967246,77.04397595277726,36.2960997031048,41.172408353590434,20.731419113226135,13.829240034216264,33.828717841159865,20.764499533275306,29,29,101.71167062603331,83.1011051210346
v4-io,ID28,small,ADHE,503.06779106768687,604.4371151898605,101.36932412217362,-18.630675877826377,18.630675877826377,63.06779106768687,44.43711518986049,43.66043663425095,20.706664153883164,13.676190699524751,33.407497065532084,21.291374031661988,28,28,123.49455778655049,95.00736684120871
v4-io,ID29,mid,ABEF,514.1458440559841,620.9896830335394,106.84383897755538,-13.156161022444621,13.156161022444621,74.14584405598407,60.98968303353945,53.468710348828054,25.369634005597376,12.947802572487076,44.18874470959341,19.846893492027302,29,29,134.12261351065328,70.08293515564453
v4-io,ID30,mid,BCGF,515.3376244470775,599.1511987841127,83.81357433703522,-36.18642566296478,36.18642566296478,75.33762444707747,39.151198784112694,29.037906624156705,20.375542796766073,13.592500433999977,38.62032793714714,22.490777284187278,24,24,110.10639398219162,85.78468169726912
v4-io,ID31,mid,CDHG,508.1528895207598,592.3426377683069,84.18974824754707,-35.81025175245293,35.81025175245293,68.1528895207598,32.34263776830687,46.22863578780585,14.445173629948979,10.933783793626882,22.685939720002366,17.169037943789995,23,23,89.73937396780764,67.02421639238817
v4-io,ID32,mid,ADHE,504.54824945770497,598.5753113105441,94.0270618528391,-25.972938147160903,25.972938147160903,64.54824945770497,38.575311310544066,51.9091940444537,16.545233328132706,12.771405817908764,27.107636783928022,25.17613108947703,24,24,111.3556012442659,78.20576790417437
v4-io,ID33,high,ABEF,529.7198813906155,622.2747289697475,92.554847579132,-27.445152420868,27.445152420868,89.71988139061546,62.27472896974746,63.243249812758606,16.43423420002638,12.777266366469242,24.023122311190477,24.063594260824864,24,24,132.97122656509268,86.12818078110706
v4-io,ID34,high,BCGF,504.0540481771632,591.4555628194536,87.40151464229035,-32.59848535770965,32.59848535770965,64.05404817716322,31.455562819453576,13.160624226449462,15.759343612938752,11.051799371310553,23.06508848104855,18.305604594755717,23,23,90.93031242065983,66.90513547250137
v4-io,ID35,high,CDHG,486.8119076181652,573.4562639695206,86.64435635135538,-33.355643648644616,33.355643648644616,46.81190761816521,13.456263969520592,25.251497297520864,13.805726143481605,11.091408239767862,25.152460571144502,17.344596564888203,23,23,74.74505249634525,57.4241395971119
v4-io,ID36,high,ADHE,482.55888633764073,595.0602011740204,112.50131483637972,-7.49868516362028,7.49868516362028,42.55888633764073,35.06020117402045,37.82895459133561,20.185947944405054,13.145974169740168,37.577457832447,21.106426807367342,23,23,91.00378222267426,74.31558665973773
v4-io,ID37,high-extra,suspect,496.87107094945765,588.2544262851317,91.38335533567403,-28.616644664325975,28.616644664325975,56.871070949457646,28.25442628513167,30.397280696148226,12.541832590696611,11.284175026402195,21.177966511947435,16.996582595114788,23,23,78.22709662348413,59.60239591131951
v4-io,ID38,vertical,ABEF,478.5822773929627,586.6880169517738,108.10573955881108,-11.89426044118892,11.89426044118892,38.58227739296268,26.68801695177376,17.66876369953661,24.564437673145754,12.123367727090162,43.6451845715602,21.607588264558128,23,23,77.23456308039998,56.648648719743065
v4-io,ID39,vertical,BCGF,457.63276245543926,563.5676688671663,105.93490641172701,-14.065093588272987,14.065093588272987,17.632762455439263,3.567668867166276,27.992677431308756,13.387914813151108,9.993257896894557,24.01795472439917,15.649786658577716,22,22,74.47290317315137,56.93923298155474
v4-io,ID40,vertical,CDHG,477.4580698463466,581.5230346040091,104.06496475766255,-15.935035242337449,15.935035242337449,37.458069846346575,21.523034604009126,28.03333607458541,21.389942863825713,12.885467899881958,33.56557912982456,24.03965640428734,23,23,81.077143367769,58.14579608371079
v4-io,ID41,vertical,ADHE,490.74360606684013,573.7127900468441,82.969183980004,-37.030816019995996,37.030816019995996,50.74360606684013,13.712790046844134,17.67108501547423,12.682570128101217,13.63147838782419,20.34829464121738,27.129788164714363,23,23,68.52647289177692,53.033611710970476
