group_by,group,n,D3_median,D3_p75,D3_p95,D3_max
location,center,12,67.13980431231471,76.77554364632239,94.93364083529056,112.84026471277389
location,edge,12,65.9038433866081,78.65172244589162,86.94417086350003,88.50147784833875
height,high,8,73.00746857845682,77.05801772004277,84.99981988255718,88.50147784833875
height,low,8,65.65669355637797,81.62957771607937,103.33067577441511,112.84026471277389
height,mid,8,60.62317328988715,73.78112241516446,78.504229370912,79.11666737382085
facing,ABEF,6,65.65669355637797,75.8995730405363,85.71781951334582,88.50147784833875
facing,ADHE,6,54.78871544841756,71.21262164145324,78.71779478013733,80.28276675371335
facing,BCGF,6,51.76807108637976,68.06543682643851,72.43742586244882,72.58588171743028
facing,CDHG,6,78.8067040885347,84.0316747958383,106.04770118537478,112.84026471277389
