version,ID,radius_BS2DCE,radius_BSDC91,delta_radius,delta_radius_bias_vs_120
v4-io,ID25,478.04985435859936,604.4942155152587,126.44436115665934,6.44436115665934
v4-io,ID26,480.4797412038824,588.5305714031731,108.05083019929071,-11.949169800709285
v4-io,ID27,517.0439759527773,596.2960997031048,79.25212375032754,-40.74787624967246
v4-io,ID28,503.06779106768687,604.4371151898605,101.36932412217362,-18.630675877826377
v4-io,ID29,514.1458440559841,620.9896830335394,106.84383897755538,-13.156161022444621
v4-io,ID30,515.3376244470775,599.1511987841127,83.81357433703522,-36.18642566296478
v4-io,ID31,508.1528895207598,592.3426377683069,84.18974824754707,-35.81025175245293
v4-io,ID32,504.54824945770497,598.5753113105441,94.0270618528391,-25.972938147160903
v4-io,ID33,529.7198813906155,622.2747289697475,92.554847579132,-27.445152420868
v4-io,ID34,504.0540481771632,591.4555628194536,87.40151464229035,-32.59848535770965
v4-io,ID35,486.8119076181652,573.4562639695206,86.64435635135538,-33.355643648644616
v4-io,ID36,482.55888633764073,595.0602011740204,112.50131483637972,-7.49868516362028
v4-io,ID37,496.87107094945765,588.2544262851317,91.38335533567403,-28.616644664325975
v4-io,ID38,478.5822773929627,586.6880169517738,108.10573955881108,-11.89426044118892
v4-io,ID39,457.63276245543926,563.5676688671663,105.93490641172701,-14.065093588272987
v4-io,ID40,477.4580698463466,581.5230346040091,104.06496475766255,-15.935035242337449
v4-io,ID41,490.74360606684013,573.7127900468441,82.969183980004,-37.030816019995996
