version,eval_set,anchor,n_pairs,rms,p50_abs,p95_abs,max_abs
v4-io,all1000,A,7,288.8680802448395,28.45830874106923,555.7119810835135,583.8876309638588
v4-io,all1000,B,7,17.63909221746804,10.216701181768485,27.492213804699347,28.45830874106923
v4-io,all1000,C,7,195.0342856546317,14.214171944822738,390.94735585899156,489.96879802937474
v4-io,all1000,D,7,81.64887052954123,20.807829403240248,155.68035867932736,211.90523193011632
v4-io,all1000,E,7,182.34596339692038,12.717441919409794,360.6491781687864,470.1934674117938
v4-io,all1000,F,7,148.90822774942131,25.865712551059914,282.2561569285109,312.4065533563944
v4-io,all1000,G,7,178.96591804604884,22.812106838512136,338.0289553096642,470.1934674117938
v4-io,all1000,H,7,257.78151917320315,22.352403297277306,502.4433076816193,583.8876309638588
v4-io,solve,A,7,288.8680802448395,28.45830874106923,555.7119810835135,583.8876309638588
v4-io,solve,B,7,17.63909221746804,10.216701181768485,27.492213804699347,28.45830874106923
v4-io,solve,C,7,195.0342856546317,14.214171944822738,390.94735585899156,489.96879802937474
v4-io,solve,D,7,81.64887052954123,20.807829403240248,155.68035867932736,211.90523193011632
v4-io,solve,E,7,182.34596339692038,12.717441919409794,360.6491781687864,470.1934674117938
v4-io,solve,F,7,148.90822774942131,25.865712551059914,282.2561569285109,312.4065533563944
v4-io,solve,G,7,178.96591804604884,22.812106838512136,338.0289553096642,470.1934674117938
v4-io,solve,H,7,257.78151917320315,22.352403297277306,502.4433076816193,583.8876309638588
