solver,N8,X8,Y8,Z8,D8,N6,D6
V1,601,17.648041107633045,23.959721464896724,41.853272362978366,51.35385102503791,601,44.66296927110159
V2,601,17.633763539307797,23.950424590724793,41.72413822030661,51.2394005123349,601,44.64132069087029
V3-lite,601,17.621627323339133,23.944181564734762,41.64963654491463,51.17165039991503,601,44.619684804324535
V3-full,601,17.81981043688353,26.501625936251497,44.37079926149668,54.668543499671685,601,45.810757030371356
V4-io,601,18.75905606487617,27.07062244702383,44.31404261225789,55.21281696087863,601,44.026421966813984
V4-roto,601,19.54938836220126,24.457927661014594,48.37029892495608,57.6199152107776,601,48.254943406572416
V4-all,601,20.461421629435353,26.516341768673932,48.974747995031116,59.33221803596635,601,48.118155750633676
