node,mode,status,coordinate_frame,position_rms_m,position_p95_m,velocity_rms_mps,velocity_p95_mps,stationary_occupancy,zupt_updates,zaru_updates,uwb_accepted,uwb_rejected,covariance_min_eigenvalue,covariance_max_asymmetry,reinitializations
BSF3C79,B0,OK_INPUT_BASELINE,V4_IO_RELATIVE,0.0699718841477,0.121907634527,,,,0,0,2034,0,,,0
BSF3C79,I0,LOCAL_FRAME_CONTROL_NOT_V4_COMPARABLE,LOCAL_INERTIAL_OR_BLOCKED,2334.0124396,4333.30984141,34.3759934871,48.8565848371,,0,0,0,0,7.4044155688e-08,0.0,0
BSF3C79,I1,LOCAL_FRAME_CONTROL_NOT_V4_COMPARABLE,LOCAL_INERTIAL_OR_BLOCKED,0.146675960745,0.240677453821,0.00262856041928,0.00422266433452,,33800,0,0,0,7.34061756192e-08,0.0,0
BSF3C79,H2,BLOCKED_FRAME_BINDING,LOCAL_INERTIAL_OR_BLOCKED,,,,,,0,0,0,0,,,0
BSF3C79,H3,BLOCKED_FRAME_BINDING,LOCAL_INERTIAL_OR_BLOCKED,,,,,,0,0,0,0,,,0
BSF3C79,H5,BLOCKED_FRAME_BINDING,LOCAL_INERTIAL_OR_BLOCKED,,,,,,0,0,0,0,,,0
BSF3C79,S1,OK_POSITION_VELOCITY_IMU_EVIDENCE,V4_IO_RELATIVE,0.0151344582483,0.0292953340728,0.000777073084532,0.00177936135334,1.0,11159,0,2027,7,1.81463552122e-05,0.0,0
BSFC2CC,B0,OK_INPUT_BASELINE,V4_IO_RELATIVE,0.0580413784742,0.101223449675,,,,0,0,2033,0,,,0
BSFC2CC,I0,LOCAL_FRAME_CONTROL_NOT_V4_COMPARABLE,LOCAL_INERTIAL_OR_BLOCKED,3752.55305442,6686.83721033,53.8011253935,69.2137506274,,0,0,0,0,7.40419567843e-08,0.0,0
BSFC2CC,I1,LOCAL_FRAME_CONTROL_NOT_V4_COMPARABLE,LOCAL_INERTIAL_OR_BLOCKED,0.240058890847,0.393877710689,0.00549884762217,0.00896202622314,,34222,0,0,0,7.34036703494e-08,0.0,0
BSFC2CC,H2,BLOCKED_FRAME_BINDING,LOCAL_INERTIAL_OR_BLOCKED,,,,,,0,0,0,0,,,0
BSFC2CC,H3,BLOCKED_FRAME_BINDING,LOCAL_INERTIAL_OR_BLOCKED,,,,,,0,0,0,0,,,0
BSFC2CC,H5,BLOCKED_FRAME_BINDING,LOCAL_INERTIAL_OR_BLOCKED,,,,,,0,0,0,0,,,0
BSFC2CC,S1,OK_POSITION_VELOCITY_IMU_EVIDENCE,V4_IO_RELATIVE,0.0203821503103,0.054556885653,0.000910377028491,0.00200576720619,1.0,9651,0,2011,22,1.84369494678e-05,0.0,0
BSF44AD,B0,OK_INPUT_BASELINE,V4_IO_RELATIVE,0.069386792296,0.125604361795,,,,0,0,2033,0,,,0
BSF44AD,I0,LOCAL_FRAME_CONTROL_NOT_V4_COMPARABLE,LOCAL_INERTIAL_OR_BLOCKED,1242.50930158,2312.80000945,18.2459745321,25.7687869791,,0,0,0,0,7.40457775355e-08,0.0,0
BSF44AD,I1,LOCAL_FRAME_CONTROL_NOT_V4_COMPARABLE,LOCAL_INERTIAL_OR_BLOCKED,0.0760138233415,0.124245913286,0.0023665387329,0.00299865767678,,32120,0,0,0,7.34086082818e-08,0.0,0
BSF44AD,H2,BLOCKED_FRAME_BINDING,LOCAL_INERTIAL_OR_BLOCKED,,,,,,0,0,0,0,,,0
BSF44AD,H3,BLOCKED_FRAME_BINDING,LOCAL_INERTIAL_OR_BLOCKED,,,,,,0,0,0,0,,,0
BSF44AD,H5,BLOCKED_FRAME_BINDING,LOCAL_INERTIAL_OR_BLOCKED,,,,,,0,0,0,0,,,0
BSF44AD,S1,OK_POSITION_VELOCITY_IMU_EVIDENCE,V4_IO_RELATIVE,0.0115658292538,0.0230862886897,0.000843789814848,0.00193914494032,1.0,28905,0,2008,25,1.40185494229e-05,0.0,0
BSF6C53,B0,OK_INPUT_BASELINE,V4_IO_RELATIVE,0.168378309639,0.304063876587,,,,0,0,2033,0,,,0
BSF6C53,I0,LOCAL_FRAME_CONTROL_NOT_V4_COMPARABLE,LOCAL_INERTIAL_OR_BLOCKED,1552.69407332,2873.62929622,22.5926676134,31.2644536967,,0,0,0,0,7.40494055825e-08,0.0,0
BSF6C53,I1,LOCAL_FRAME_CONTROL_NOT_V4_COMPARABLE,LOCAL_INERTIAL_OR_BLOCKED,0.0840208499982,0.138110538796,0.00280709666353,0.00310279750799,,29539,0,0,0,7.34136769589e-08,0.0,0
BSF6C53,H2,BLOCKED_FRAME_BINDING,LOCAL_INERTIAL_OR_BLOCKED,,,,,,0,0,0,0,,,0
BSF6C53,H3,BLOCKED_FRAME_BINDING,LOCAL_INERTIAL_OR_BLOCKED,,,,,,0,0,0,0,,,0
BSF6C53,H5,BLOCKED_FRAME_BINDING,LOCAL_INERTIAL_OR_BLOCKED,,,,,,0,0,0,0,,,0
BSF6C53,S1,OK_POSITION_VELOCITY_IMU_EVIDENCE,V4_IO_RELATIVE,0.0308523246864,0.0674187684185,0.000611625501335,0.00129305658635,1.0,28424,0,2029,4,2.23355460606e-05,0.0,0
BSF8BC4,B0,OK_INPUT_BASELINE,V4_IO_RELATIVE,0.0471192122762,0.0801438376788,,,,0,0,2033,0,,,0
BSF8BC4,I0,LOCAL_FRAME_CONTROL_NOT_V4_COMPARABLE,LOCAL_INERTIAL_OR_BLOCKED,2300.24692556,4115.55486399,33.1135827042,43.1358221598,,0,0,0,0,7.40439466901e-08,0.0,0
BSF8BC4,I1,LOCAL_FRAME_CONTROL_NOT_V4_COMPARABLE,LOCAL_INERTIAL_OR_BLOCKED,0.154447062449,0.253810384559,0.00428379649372,0.00583884814681,,32459,0,0,0,7.3406175457e-08,0.0,0
BSF8BC4,H2,BLOCKED_FRAME_BINDING,LOCAL_INERTIAL_OR_BLOCKED,,,,,,0,0,0,0,,,0
BSF8BC4,H3,BLOCKED_FRAME_BINDING,LOCAL_INERTIAL_OR_BLOCKED,,,,,,0,0,0,0,,,0
BSF8BC4,H5,BLOCKED_FRAME_BINDING,LOCAL_INERTIAL_OR_BLOCKED,,,,,,0,0,0,0,,,0
