node,mode,status,motion_start_s,motion_end_s,motion_onset_s,onset_latency_s,lock_released_in_window,new_platform_reach_s,new_platform_reach_latency_s,new_platform_tolerance_m,relock_s,relock_latency_s,t4_dx_m,t4_dy_m,t4_dz_m,t4_displacement_m,s1_displacement_m,displacement_ratio,overshoot_m,drift_5s_m,drift_30s_m,returned_old_platform
BSFC2CC,B0,INPUT_REFERENCE,492.0,498.0,,,,,,,,,0.300176591855,-0.690175155048,-0.382647212619,0.844314289982,,,,,,
BSFC2CC,I0,LOCAL_FRAME_NOT_V4_COMPARABLE,492.0,498.0,,,,,,,,,,,,,,,,,,
BSFC2CC,I1,LOCAL_FRAME_NOT_V4_COMPARABLE,492.0,498.0,,,,,,,,,,,,,,,,,,
BSFC2CC,H2,BLOCKED_FRAME_BINDING,492.0,498.0,,,,,,,,,,,,,,,,,,
BSFC2CC,H3,BLOCKED_FRAME_BINDING,492.0,498.0,,,,,,,,,,,,,,,,,,
BSFC2CC,H5,BLOCKED_FRAME_BINDING,492.0,498.0,,,,,,,,,,,,,,,,,,
BSFC2CC,S1,DETECTION_INCOMPLETE,492.0,498.0,497.986362986,5.98636298566,1,498.181912801,6.18191280064,0.316794122663,,,0.300176591855,-0.690175155048,-0.382647212619,0.844314289982,0.836681412908,0.990959673235,0.228269713661,0.159204088866,0.154756878321,0
BSFAA61,B0,INPUT_REFERENCE,494.0,500.0,,,,,,,,,-0.00817165331828,-0.265429353256,-0.49931694481,0.565541270698,,,,,,
BSFAA61,I0,LOCAL_FRAME_NOT_V4_COMPARABLE,494.0,500.0,,,,,,,,,,,,,,,,,,
BSFAA61,I1,LOCAL_FRAME_NOT_V4_COMPARABLE,494.0,500.0,,,,,,,,,,,,,,,,,,
BSFAA61,H2,BLOCKED_FRAME_BINDING,494.0,500.0,,,,,,,,,,,,,,,,,,
BSFAA61,H3,BLOCKED_FRAME_BINDING,494.0,500.0,,,,,,,,,,,,,,,,,,
BSFAA61,H5,BLOCKED_FRAME_BINDING,494.0,500.0,,,,,,,,,,,,,,,,,,
BSFAA61,S1,DETECTION_INCOMPLETE,494.0,500.0,,,0,502.77523897,8.77523897043,0.299663738115,,,-0.00817165331828,-0.265429353256,-0.49931694481,0.565541270698,0.559537823545,0.989384599384,0.0,0.131076477367,0.228336862284,0
