event_id,node,mode,status,onset_s,end_s,state_classification,lock_release,max_position_excursion_m,max_velocity_mps,recovery_settling_s,false_persistent_platform_transition,post_event_shift_m,reinitializations
E001,BSFAA61,H2,BLOCKED_FRAME_BINDING,485.0,487.0,,,,,,,,
E001,BSFAA61,H3,BLOCKED_FRAME_BINDING,485.0,487.0,,,,,,,,
E001,BSFAA61,H5,BLOCKED_FRAME_BINDING,485.0,487.0,,,,,,,,
E001,BSFAA61,S1,OK,485.0,487.0,STATIONARY_LOCK,0,0.00698463325317,4.62278290034e-05,0.0,0,0.10445063338,0
E001,BSFB165,B0,INPUT_RESPONSE,485.0,487.0,,,0.162458239929,,,,,
E001,BSFB165,I0,LOCAL_FRAME_CONTROL,485.0,487.0,,,,47.31330334,,,,
E001,BSFB165,I1,LOCAL_FRAME_CONTROL,485.0,487.0,,,,0.138465018027,,,,
E001,BSFB165,H2,BLOCKED_FRAME_BINDING,485.0,487.0,,,,,,,,
E001,BSFB165,H3,BLOCKED_FRAME_BINDING,485.0,487.0,,,,,,,,
E001,BSFB165,H5,BLOCKED_FRAME_BINDING,485.0,487.0,,,,,,,,
E001,BSFB165,S1,OK,485.0,487.0,STATIONARY_LOCK,0,0.00817675525265,0.000715384936328,0.0,0,0.00957817925668,0
E001,BSFEC35,B0,INPUT_RESPONSE,485.0,487.0,,,0.105815951825,,,,,
E001,BSFEC35,I0,LOCAL_FRAME_CONTROL,485.0,487.0,,,,113.743979358,,,,
E001,BSFEC35,I1,LOCAL_FRAME_CONTROL,485.0,487.0,,,,0.0415243831159,,,,
E001,BSFEC35,H2,BLOCKED_FRAME_BINDING,485.0,487.0,,,,,,,,
E001,BSFEC35,H3,BLOCKED_FRAME_BINDING,485.0,487.0,,,,,,,,
E001,BSFEC35,H5,BLOCKED_FRAME_BINDING,485.0,487.0,,,,,,,,
E001,BSFEC35,S1,OK,485.0,487.0,STATIONARY_LOCK,0,0.00723759231322,0.00239201623534,0.0,0,0.0146707562927,0
E005,BSF3C79,B0,INPUT_RESPONSE,518.0,519.0,,,0.153725562772,,,,,
E005,BSF3C79,I0,LOCAL_FRAME_CONTROL,518.0,519.0,,,,58.7100056582,,,,
E005,BSF3C79,I1,LOCAL_FRAME_CONTROL,518.0,519.0,,,,0.00297284995029,,,,
E005,BSF3C79,H2,BLOCKED_FRAME_BINDING,518.0,519.0,,,,,,,,
E005,BSF3C79,H3,BLOCKED_FRAME_BINDING,518.0,519.0,,,,,,,,
E005,BSF3C79,H5,BLOCKED_FRAME_BINDING,518.0,519.0,,,,,,,,
E005,BSF3C79,S1,OK,518.0,519.0,STATIONARY_LOCK,0,0.0857450026903,0.789316747602,0.0,0,0.0291060405144,0
