node,time_s,from_state,to_state,reason
BSF3C79,2.07525387962,INIT,STATIONARY,ROBUST_INITIAL_CONSENSUS
BSF3C79,499.576359181,STATIONARY,MOVING,IMU_ACTIVE_AND_PERSISTENT_T4_SHIFT
BSF3C79,539.725063878,MOVING,SETTLING,IMU_QUIET_AND_T4_STABLE
BSF3C79,539.875059039,SETTLING,MOVING,SETTLING_INTERRUPTED
BSF3C79,883.513972341,MOVING,SETTLING,IMU_QUIET_AND_T4_STABLE
BSF3C79,885.563906205,SETTLING,STATIONARY,SETTLED_ROBUST_CONSENSUS
BSF3C79,964.161370443,STATIONARY,MOVING,IMU_ACTIVE_AND_PERSISTENT_T4_SHIFT
BSF3C79,1008.80992996,MOVING,SETTLING,IMU_QUIET_AND_T4_STABLE
BSF3C79,1010.85986383,SETTLING,STATIONARY,SETTLED_ROBUST_CONSENSUS
BSF3C79,1036.00905245,STATIONARY,MOVING,IMU_ACTIVE_AND_PERSISTENT_T4_SHIFT
BSF3C79,1085.1074684,MOVING,SETTLING,IMU_QUIET_AND_T4_STABLE
BSF3C79,1086.95740872,SETTLING,MOVING,SETTLING_INTERRUPTED
BSF3C79,1123.50622956,MOVING,SETTLING,IMU_QUIET_AND_T4_STABLE
BSF3C79,1125.55616342,SETTLING,STATIONARY,SETTLED_ROBUST_CONSENSUS
BSF3C79,1146.20549722,STATIONARY,MOVING,IMU_ACTIVE_AND_PERSISTENT_T4_SHIFT
BSF3C79,1381.84789477,MOVING,SETTLING,IMU_QUIET_AND_T4_STABLE
BSF3C79,1382.24788187,SETTLING,MOVING,SETTLING_INTERRUPTED
BSF3C79,1658.23897767,MOVING,SETTLING,IMU_QUIET_AND_T4_STABLE
BSF3C79,1659.23894541,SETTLING,MOVING,SETTLING_INTERRUPTED
BSFC2CC,1.02241230227,INIT,STATIONARY,ROBUST_INITIAL_CONSENSUS
BSFC2CC,497.986362986,STATIONARY,MOVING,IMU_ACTIVE_AND_PERSISTENT_T4_SHIFT
BSFC2CC,653.375091228,MOVING,SETTLING,IMU_QUIET_AND_T4_STABLE
BSFC2CC,653.825058587,SETTLING,MOVING,SETTLING_INTERRUPTED
BSFC2CC,685.522759265,MOVING,SETTLING,IMU_QUIET_AND_T4_STABLE
BSFC2CC,686.022722998,SETTLING,MOVING,SETTLING_INTERRUPTED
BSFC2CC,771.216543115,MOVING,SETTLING,IMU_QUIET_AND_T4_STABLE
BSFC2CC,771.266539488,SETTLING,MOVING,SETTLING_INTERRUPTED
BSF44AD,1.01527949274,INIT,STATIONARY,ROBUST_INITIAL_CONSENSUS
BSF6C53,1.02139698569,INIT,STATIONARY,ROBUST_INITIAL_CONSENSUS
BSF8BC4,1.02620404154,INIT,STATIONARY,ROBUST_INITIAL_CONSENSUS
BSF1120,1.04589085066,INIT,STATIONARY,ROBUST_INITIAL_CONSENSUS
BSF31CC,1.02647216751,INIT,STATIONARY,ROBUST_INITIAL_CONSENSUS
BSF31CC,502.809482959,STATIONARY,MOVING,IMU_ACTIVE_AND_PERSISTENT_T4_SHIFT
BSF31CC,755.400930799,MOVING,SETTLING,IMU_QUIET_AND_T4_STABLE
BSF31CC,757.450861393,SETTLING,STATIONARY,SETTLED_ROBUST_CONSENSUS
BSF31CC,854.047590852,STATIONARY,MOVING,IMU_ACTIVE_AND_PERSISTENT_T4_SHIFT
BSF31CC,1000.94261733,MOVING,SETTLING,IMU_QUIET_AND_T4_STABLE
BSF31CC,1001.14261056,SETTLING,MOVING,SETTLING_INTERRUPTED
BSF31CC,1686.70298307,MOVING,SETTLING,IMU_QUIET_AND_T4_STABLE
BSF31CC,1688.75291367,SETTLING,STATIONARY,SETTLED_ROBUST_CONSENSUS
BSF31CC,1728.85155602,STATIONARY,MOVING,IMU_ACTIVE_AND_PERSISTENT_T4_SHIFT
BSFAA61,1.01563389561,INIT,STATIONARY,ROBUST_INITIAL_CONSENSUS
BSFAA61,1049.57354624,STATIONARY,MOVING,IMU_ACTIVE_AND_PERSISTENT_T4_SHIFT
BSFAA61,1092.62237651,MOVING,SETTLING,IMU_QUIET_AND_T4_STABLE
BSFAA61,1094.67232081,SETTLING,STATIONARY,SETTLED_ROBUST_CONSENSUS
BSFAA61,1427.14736472,STATIONARY,MOVING,IMU_ACTIVE_AND_PERSISTENT_T4_SHIFT
BSFAA61,1492.94557684,MOVING,SETTLING,IMU_QUIET_AND_T4_STABLE
BSFAA61,1494.99552114,SETTLING,STATIONARY,SETTLED_ROBUST_CONSENSUS
BSFB165,1.01990195924,INIT,STATIONARY,ROBUST_INITIAL_CONSENSUS
BSFB165,1187.16570486,STATIONARY,MOVING,IMU_ACTIVE_AND_PERSISTENT_T4_SHIFT
BSFB165,1254.16351561,MOVING,SETTLING,IMU_QUIET_AND_T4_STABLE
BSFB165,1255.86346006,SETTLING,MOVING,SETTLING_INTERRUPTED
BSFEC35,1.04208921519,INIT,STATIONARY,ROBUST_INITIAL_CONSENSUS
