row_spec,seed_id,stage,wall_time_s,gpu_warmup,repeat_count,wall_time_min_s,wall_time_max_s,chunk_id,gpu_device,child_run_id
R2:L0:I0:T6,S03,simulate_imu_prior,0.1497754789888858,,,,,agreement_0000,cuda:0,phase4_GPUCPU_FULLFACTORY_S03_2x1080ti_20260605T142014Z_agreement_0000_cuda0
R2:L0:I0:T6,S03,cpu_golden,0.302285090991063,,,,,agreement_0000,cuda:0,phase4_GPUCPU_FULLFACTORY_S03_2x1080ti_20260605T142014Z_agreement_0000_cuda0
R2:L0:I0:T6,S03,torch_gpu,0.5694488819863182,0.0,1.0,0.5694488819863182,0.5694488819863182,agreement_0000,cuda:0,phase4_GPUCPU_FULLFACTORY_S03_2x1080ti_20260605T142014Z_agreement_0000_cuda0
R2:L2:I3:T6,S03,simulate_imu_prior,0.7248734710155986,,,,,agreement_0000,cuda:0,phase4_GPUCPU_FULLFACTORY_S03_2x1080ti_20260605T142014Z_agreement_0000_cuda0
R2:L2:I3:T6,S03,cpu_golden,0.3080068849958479,,,,,agreement_0000,cuda:0,phase4_GPUCPU_FULLFACTORY_S03_2x1080ti_20260605T142014Z_agreement_0000_cuda0
R2:L2:I3:T6,S03,torch_gpu,0.4619721229828428,0.0,1.0,0.4619721229828428,0.4619721229828428,agreement_0000,cuda:0,phase4_GPUCPU_FULLFACTORY_S03_2x1080ti_20260605T142014Z_agreement_0000_cuda0
R4:L8:I1+I2+I3+I8:T8,S03,simulate_imu_prior,0.6863881089957431,,,,,agreement_0001,cuda:0,phase4_GPUCPU_FULLFACTORY_S03_2x1080ti_20260605T142014Z_agreement_0001_cuda0
R4:L8:I1+I2+I3+I8:T8,S03,cpu_golden,0.2183539149991702,,,,,agreement_0001,cuda:0,phase4_GPUCPU_FULLFACTORY_S03_2x1080ti_20260605T142014Z_agreement_0001_cuda0
R4:L8:I1+I2+I3+I8:T8,S03,torch_gpu,0.742105432000244,0.0,1.0,0.742105432000244,0.742105432000244,agreement_0001,cuda:0,phase4_GPUCPU_FULLFACTORY_S03_2x1080ti_20260605T142014Z_agreement_0001_cuda0
R4:L14:I1+I2+I3+I8:T8,S03,simulate_imu_prior,0.6790664650034159,,,,,agreement_0001,cuda:0,phase4_GPUCPU_FULLFACTORY_S03_2x1080ti_20260605T142014Z_agreement_0001_cuda0
