host_elapsed_s,host_epoch_s,sweep,peer_name,anchor_id,raw_mm,range_mm,quality_percent,valid,status
0.0,84852.0,84852,BS9336,0,2785,2785,50,1,O
0.0,84852.0,84852,BS9336,1,2182,2182,50,1,O
0.0,84852.0,84852,BS9336,2,3357,3357,50,1,O
0.0,84852.0,84852,BS9336,3,3721,3721,50,1,O
0.0,84852.0,84852,BS9336,4,2479,2479,50,1,O
0.0,84852.0,84852,BS9336,5,1974,1974,50,1,O
0.0,84852.0,84852,BS9336,6,3302,3302,50,1,O
0.0,84852.0,84852,BS9336,7,3263,3263,50,1,O
0.0,86165.0,86165,BS955A,0,3138,3138,100,1,O
0.0,86165.0,86165,BS955A,1,2146,2146,100,1,O
0.0,86165.0,86165,BS955A,2,2952,2952,100,1,O
0.0,86165.0,86165,BS955A,3,3110,3110,100,1,O
0.0,86165.0,86165,BS955A,4,2676,2676,100,1,O
0.0,86165.0,86165,BS955A,5,2410,2410,100,1,O
0.0,86165.0,86165,BS955A,6,2971,2971,100,1,O
0.0,86165.0,86165,BS955A,7,3072,3072,100,1,O
0.0,84803.0,84803,BSCCF4,0,2953,2953,100,1,O
0.0,84803.0,84803,BSCCF4,1,2441,2441,100,1,O
0.0,84803.0,84803,BSCCF4,2,2930,2930,100,1,O
0.0,84803.0,84803,BSCCF4,3,3120,3120,100,1,O
0.0,84803.0,84803,BSCCF4,4,2903,2903,100,1,O
0.0,84803.0,84803,BSCCF4,5,2224,2224,100,1,O
0.0,84803.0,84803,BSCCF4,6,2829,2829,100,1,O
0.0,84803.0,84803,BSCCF4,7,2923,2923,100,1,O
0.0,84856.0,84856,BSCCF4,0,2863,2863,100,1,O
0.0,84856.0,84856,BSCCF4,1,2406,2406,100,1,O
0.0,84856.0,84856,BSCCF4,2,2897,2897,100,1,O
0.0,84856.0,84856,BSCCF4,3,3163,3163,100,1,O
0.0,84856.0,84856,BSCCF4,4,2876,2876,100,1,O
0.0,84856.0,84856,BSCCF4,5,2186,2186,95,1,O
0.0,84856.0,84856,BSCCF4,6,2825,2825,100,1,O
0.0,84856.0,84856,BSCCF4,7,2850,2850,100,1,O
0.0,84904.0,84904,BS9336,0,2800,2800,100,1,O
0.0,84904.0,84904,BS9336,1,2233,2233,100,1,O
0.0,84904.0,84904,BS9336,2,3347,3347,100,1,O
0.0,84904.0,84904,BS9336,3,3687,3687,95,1,O
0.0,84904.0,84904,BS9336,4,2560,2560,100,1,O
0.0,84904.0,84904,BS9336,5,1999,1999,100,1,O
0.0,84904.0,84904,BS9336,6,3313,3313,95,1,O
0.0,84904.0,84904,BS9336,7,3304,3304,100,1,O
0.0,84905.0,84905,BS9336,0,2767,2767,100,1,O
0.0,84905.0,84905,BS9336,1,2171,2171,100,1,O
0.0,84905.0,84905,BS9336,2,3379,3379,100,1,O
0.0,84905.0,84905,BS9336,3,3746,3746,95,1,O
0.0,84905.0,84905,BS9336,4,2527,2527,100,1,O
0.0,84905.0,84905,BS9336,5,2024,2024,100,1,O
0.0,84905.0,84905,BS9336,6,3353,3353,95,1,O
0.0,84905.0,84905,BS9336,7,3169,3169,100,1,O
0.0,86216.0,86216,BS955A,0,3118,3118,95,1,O
0.0,86216.0,86216,BS955A,1,2120,2120,95,1,O
0.0,86216.0,86216,BS955A,2,0,2953,85,0,T
0.0,86216.0,86216,BS955A,3,3143,3143,95,1,O
0.0,86216.0,86216,BS955A,4,2674,2674,95,1,O
