listener,src,dp_snr,cv_raw,cv_v1_rcph,cv_v2_fpfrac,v2_tighter_than_v1
LB,0xb15a,114.0,0.6016,0.9715,0.0524,True
L955A,0xb1f4,103.5,0.7366,1.0442,0.0482,True
LF,0xb136,95.6,0.5717,1.046,0.0602,True
LB,0xb1f4,94.2,0.4961,0.802,0.0806,True
L955A,0xb136,93.8,0.3728,0.838,0.0596,True
LB,0xb136,84.7,0.6549,1.082,0.0681,True
LE,0xb136,84.4,0.4797,0.7657,0.0856,True
LF,0xb1f4,82.1,0.525,1.0067,0.0714,True
L9336,0xb136,81.3,0.5363,1.0776,0.0464,True
L9336,0xb1f4,81.1,0.6173,1.208,0.0687,True
LF,0xb15a,74.4,0.6242,1.2174,0.0766,True
L955A,0xb15a,69.2,0.5403,1.1265,0.0576,True
LE,0xb1f4,67.4,0.49,0.7683,0.0911,True
L9336,0xb15a,51.8,0.5577,1.1835,0.0698,True
LE,0xb15a,35.4,0.4616,0.7448,0.1215,True
