listener,src,n,fp_tap_med,fp_frac_med,fp_amp,dp_snr,cv_raw,cv_v1_rcph,cv_v2_fpfrac,std_raw,std_v1_rcph,std_v2_fpfrac,v2_tighter_than_v1
L9336,0xb136,16114,750,0.406,32.617,81.3,0.5363,1.0776,0.0464,8.5798,6.4042,1.515,True
L9336,0xb15a,17081,747,0.422,32.21,51.8,0.5577,1.1835,0.0698,8.0446,6.6344,2.2555,True
L9336,0xb1f4,16209,747,0.469,31.699,81.1,0.6173,1.208,0.0687,7.7255,6.9593,2.1775,True
L955A,0xb136,16324,747,0.516,30.792,93.8,0.3728,0.838,0.0596,6.0821,6.1177,1.8513,True
L955A,0xb15a,17022,747,0.422,31.584,69.2,0.5403,1.1265,0.0576,7.2949,6.6116,1.8263,True
L955A,0xb1f4,16448,747,0.469,30.752,103.5,0.7366,1.0442,0.0482,7.5613,5.67,1.4769,True
LB,0xb136,16432,747,0.453,29.348,84.7,0.6549,1.082,0.0681,7.7556,6.0219,2.0032,True
LB,0xb15a,17107,747,0.484,30.946,114.0,0.6016,0.9715,0.0524,8.3686,6.038,1.6248,True
LB,0xb1f4,16189,747,0.578,27.275,94.2,0.4961,0.802,0.0806,6.9809,5.5842,2.2245,True
LE,0xb136,16277,747,0.516,30.025,84.4,0.4797,0.7657,0.0856,7.2278,5.863,2.5674,True
LE,0xb15a,17000,747,0.266,17.071,35.4,0.4616,0.7448,0.1215,4.8322,4.4646,2.0536,True
LE,0xb1f4,16405,747,0.375,26.377,67.4,0.49,0.7683,0.0911,7.127,5.764,2.3977,True
LF,0xb136,16105,747,0.453,30.762,95.6,0.5717,1.046,0.0602,7.5085,4.8015,1.8625,True
LF,0xb15a,17036,747,0.422,31.47,74.4,0.6242,1.2174,0.0766,8.2332,6.4124,2.4047,True
LF,0xb1f4,16203,747,0.438,32.661,82.1,0.525,1.0067,0.0714,7.2621,6.0231,2.3253,True
