method_or_split,coordinate_sd_median_mm,pairwise_distance_sd_median_mm,delay_sd_mm,worst_anchor_sd_mm,status,note
OptiTrack anchor truth repeated static files,0.28396206735023544,0.23821827078257224,nan,1.453767433256205,measured,"OptiTrack anchor marker repeatability across static truth files, not AutoPos solver repeatability"
AutoPos solver anchor sigma prior,24.462899999999998,nan,nan,25.2042,proxy_only,solver sigma prior/weighting input; repeated AutoPos split coordinate SD is not present in current FULL outputs
Raw-pair bootstrap original_selfcal,1.0241004012684147,0.7612639059834918,0.5580247158069332,1.1307829336253288,bootstrap_diagnostic,raw inter-anchor range bootstrap for 4xFULL; not an independent repeated deployment
Raw-pair bootstrap vicon_truth_delaycal,1.149247963727426e-11,9.565650427142189e-12,0.4476995502200139,1.5991480578102655e-11,bootstrap_diagnostic,raw inter-anchor range bootstrap for 4xFULL; not an independent repeated deployment
Raw-pair bootstrap scale_to_vicon_delaycal,0.9677967647545992,0.6983588591998044,0.531859729122427,1.0751267050219948,bootstrap_diagnostic,raw inter-anchor range bootstrap for 4xFULL; not an independent repeated deployment
Raw-pair bootstrap one_baseline_EH_delaycal,1.195621527695499,1.2351575623856466,0.5438982323609529,1.285731927214233,bootstrap_diagnostic,raw inter-anchor range bootstrap for 4xFULL; not an independent repeated deployment
AutoPos v4-io residual delay structure,nan,nan,19.33532017101341,nan,structure_not_repeatability,std of fitted layout-level residual delay corrections; not a repeated-run delay SD
Independent repeated AutoPos layout runs,nan,nan,nan,nan,not_measured,"bootstrap diagnostic exists, but no physically independent repeated AutoPos deployment/split table is present"
