layout_delay_config,layout,delay_mode,tag_solver,n_positions,repeatability_3d_sd_median_mm,absolute_3d_rmse_mm,absolute_3d_median_mm,absolute_3d_p95_mm,x_rmse_mm,y_rmse_mm,z_rmse_mm,note
Original FULL production v4-io,AutoPos v4-io rigid no-scale,solver residual corrections,production,24,nan,139.55059600371152,73.96289045329976,282.12949495641834,38.48072371984941,130.53817547349016,30.876973476039016,current exported production output
Original FULL raw replay v4-io/T4,AutoPos v4-io rigid no-scale,solver residual corrections,T4,24,67.43706618523899,108.90907731948187,69.69166345867296,173.9256534240159,37.52512466868194,97.96544920166043,29.254451010019814,static raw replay deployment-capable estimator
Original FULL filtered static v4-io/T4+F5,AutoPos v4-io rigid no-scale,solver residual corrections,T4+F5 stationary smoother,24,18.671991624356203,109.53050845990366,64.85025689774389,175.72585618058247,36.991326286578115,98.93107086453251,29.003745976025048,offline stationary/static-lock diagnostic; reduces per-capture jitter but uses full static dwell
Original FULL filtered static v4-io/T3+F5,AutoPos v4-io rigid no-scale,solver residual corrections,T3+F5 stationary smoother,24,20.976683163787115,105.35922561112142,65.18373636867231,169.92555806125898,43.56586493598986,89.77383435067084,33.811839638395696,best combined filtered static deployment row; static-lock/stationary smoother diagnostic
Vicon truth anchors + delaycal/T4,OptiTrack/Vicon truth anchors,vicon_inter_anchor_delaycal,T4,24,59.78332300936975,77.67175013600712,64.09048082988876,128.3843598352106,40.23822646229013,60.979254496444156,26.368853244266624,known-anchor lower-bound control with re-estimated residual delay corrections
Full Sim(3) scale-to-Vicon + delaycal/T4,AutoPos v4-io similarity-scaled to Vicon,scaled_layout_inter_anchor_delaycal,T4,24,63.29954812839607,81.61088129796764,67.05420723538964,132.61209744798188,41.30039199049239,65.18845091835496,26.55333189126862,"global scale removed, residual delay corrections re-estimated"
One-baseline E-H + delaycal/T4,AutoPos v4-io one-baseline E-H scale,one_baseline_layout_inter_anchor_delaycal,T4,24,63.52592856743303,78.41099137601653,58.11815566026716,130.2241090849534,37.623904050671506,64.63353012710131,23.563365546217923,pre-registered one-baseline engineering control
