a,b,master,dist_mm,quality_percent,raw_mm,ok,fail
A,B,A,4517,100,4517,1,0
A,C,A,5355,100,5355,1,0
A,D,A,3005,100,3005,1,0
A,E,A,1526,100,1526,1,0
A,F,A,4890,100,4890,1,0
A,G,A,5550,100,5550,1,0
A,H,A,3277,100,3277,1,0
A,B,A,4569,100,4569,1,0
A,C,A,5350,100,5350,1,0
A,D,A,3031,100,3031,1,0
A,E,A,1502,100,1502,1,0
A,F,A,4879,100,4879,1,0
A,G,A,5500,100,5500,1,0
A,H,A,3260,100,3260,1,0
A,B,A,4516,100,4516,1,0
A,C,A,5341,100,5341,1,0
A,D,A,3024,100,3024,1,0
A,E,A,1506,100,1506,1,0
A,F,A,4949,100,4949,1,0
A,G,A,5547,100,5547,1,0
A,H,A,3244,100,3244,1,0
A,B,A,4535,100,4535,1,0
A,C,A,5320,100,5320,1,0
A,D,A,3015,100,3015,1,0
A,E,A,1523,100,1523,1,0
A,F,A,4873,100,4873,1,0
A,G,A,5553,100,5553,1,0
A,H,A,3251,100,3251,1,0
A,B,A,4507,100,4507,1,0
A,C,A,5366,100,5366,1,0
A,D,A,3003,100,3003,1,0
A,E,A,1494,100,1494,1,0
A,F,A,4933,100,4933,1,0
A,G,A,5501,100,5501,1,0
A,H,A,3283,100,3283,1,0
A,B,A,4565,100,4565,1,0
A,C,A,5410,100,5410,1,0
A,D,A,3030,100,3030,1,0
A,E,A,1490,100,1490,1,0
A,F,A,4885,100,4885,1,0
A,G,A,5554,100,5554,1,0
A,H,A,3274,100,3274,1,0
A,B,A,4553,100,4553,1,0
A,C,A,5372,100,5372,1,0
A,D,A,3031,100,3031,1,0
A,E,A,1523,100,1523,1,0
A,F,A,4891,100,4891,1,0
A,G,A,5523,100,5523,1,0
A,H,A,3297,100,3297,1,0
A,B,A,4554,100,4554,1,0
A,C,A,5380,100,5380,1,0
A,D,A,3051,100,3051,1,0
A,E,A,1497,100,1497,1,0
A,F,A,4961,100,4961,1,0
A,G,A,5549,100,5549,1,0
A,H,A,3276,100,3276,1,0
A,B,A,4561,100,4561,1,0
A,C,A,5378,100,5378,1,0
A,D,A,3056,100,3056,1,0
A,E,A,1494,100,1494,1,0
A,F,A,4915,100,4915,1,0
A,G,A,5516,100,5516,1,0
A,H,A,3252,100,3252,1,0
A,B,A,4578,100,4578,1,0
A,C,A,5358,100,5358,1,0
A,D,A,2981,100,2981,1,0
A,E,A,1518,100,1518,1,0
A,F,A,4947,100,4947,1,0
A,G,A,5503,100,5503,1,0
A,H,A,3229,100,3229,1,0
A,B,A,4562,100,4562,1,0
A,C,A,5366,100,5366,1,0
A,D,A,2995,100,2995,1,0
A,E,A,1493,100,1493,1,0
A,F,A,4905,100,4905,1,0
A,G,A,5566,100,5566,1,0
A,H,A,3207,100,3207,1,0
A,B,A,4547,100,4547,1,0
A,C,A,5391,100,5391,1,0
A,D,A,3015,100,3015,1,0
A,E,A,1514,100,1514,1,0
A,F,A,4914,100,4914,1,0
A,G,A,5579,100,5579,1,0
A,H,A,3263,100,3263,1,0
A,B,A,4532,100,4532,1,0
A,C,A,5376,100,5376,1,0
A,D,A,3035,100,3035,1,0
A,E,A,1517,100,1517,1,0
A,F,A,4961,100,4961,1,0
A,G,A,5525,100,5525,1,0
A,H,A,3235,100,3235,1,0
A,B,A,4550,100,4550,1,0
A,C,A,5354,100,5354,1,0
A,D,A,3036,100,3036,1,0
A,E,A,1519,100,1519,1,0
A,F,A,4890,100,4890,1,0
A,G,A,5545,100,5545,1,0
A,H,A,3283,100,3283,1,0
A,B,A,4533,100,4533,1,0
A,C,A,5375,100,5375,1,0
A,D,A,3033,100,3033,1,0
A,E,A,1507,100,1507,1,0
A,F,A,4923,100,4923,1,0
A,G,A,5575,100,5575,1,0
A,H,A,3169,100,3169,1,0
A,B,A,4569,100,4569,1,0
A,C,A,5358,100,5358,1,0
A,D,A,2996,100,2996,1,0
A,E,A,1516,100,1516,1,0
A,F,A,4942,100,4942,1,0
A,G,A,5512,100,5512,1,0
A,H,A,3304,100,3304,1,0
A,B,A,4539,100,4539,1,0
A,C,A,5404,100,5404,1,0
A,D,A,3035,100,3035,1,0
A,E,A,1494,100,1494,1,0
A,F,A,4926,100,4926,1,0
A,G,A,5513,100,5513,1,0
A,H,A,3293,100,3293,1,0
A,B,A,4540,100,4540,1,0
A,C,A,5363,100,5363,1,0
A,D,A,3047,100,3047,1,0
A,E,A,1555,100,1555,1,0
A,F,A,4908,100,4908,1,0
A,G,A,5508,100,5508,1,0
A,H,A,3259,100,3259,1,0
A,B,A,4576,100,4576,1,0
A,C,A,5326,100,5326,1,0
A,D,A,3040,100,3040,1,0
A,E,A,1503,100,1503,1,0
A,F,A,4920,100,4920,1,0
A,G,A,5544,100,5544,1,0
A,H,A,3285,100,3285,1,0
A,B,A,4543,100,4543,1,0
A,C,A,5396,100,5396,1,0
A,D,A,3006,100,3006,1,0
A,E,A,1541,100,1541,1,0
A,F,A,4963,100,4963,1,0
A,G,A,5513,100,5513,1,0
A,H,A,3261,100,3261,1,0
A,B,A,4553,100,4553,1,0
A,C,A,5374,100,5374,1,0
A,D,A,3013,100,3013,1,0
A,E,A,1502,100,1502,1,0
A,F,A,4944,100,4944,1,0
A,G,A,5532,100,5532,1,0
A,H,A,3290,100,3290,1,0
A,B,A,4534,100,4534,1,0
A,C,A,5411,100,5411,1,0
A,D,A,3045,100,3045,1,0
A,E,A,1484,100,1484,1,0
A,F,A,4876,100,4876,1,0
A,G,A,5521,100,5521,1,0
A,H,A,3254,100,3254,1,0
A,B,A,4529,100,4529,1,0
A,C,A,5427,100,5427,1,0
A,D,A,3033,100,3033,1,0
A,E,A,1481,100,1481,1,0
A,F,A,4936,100,4936,1,0
A,G,A,5531,100,5531,1,0
A,H,A,3231,100,3231,1,0
A,B,A,4544,100,4544,1,0
A,C,A,5298,100,5298,1,0
A,D,A,3051,100,3051,1,0
A,E,A,1474,100,1474,1,0
A,F,A,4846,100,4846,1,0
A,G,A,5531,100,5531,1,0
A,H,A,3253,100,3253,1,0
A,B,A,4537,100,4537,1,0
A,C,A,5333,100,5333,1,0
A,D,A,3034,100,3034,1,0
A,E,A,1488,100,1488,1,0
A,F,A,4927,100,4927,1,0
A,G,A,5559,100,5559,1,0
A,H,A,3268,100,3268,1,0
A,B,A,4499,100,4499,1,0
A,C,A,5332,100,5332,1,0
A,D,A,3062,100,3062,1,0
A,E,A,1501,100,1501,1,0
A,F,A,4921,100,4921,1,0
A,G,A,5526,100,5526,1,0
A,H,A,3255,100,3255,1,0
A,B,A,4525,100,4525,1,0
A,C,A,5376,100,5376,1,0
A,D,A,3041,100,3041,1,0
A,E,A,1483,100,1483,1,0
A,F,A,4919,100,4919,1,0
A,G,A,5518,100,5518,1,0
A,H,A,3269,100,3269,1,0
A,B,A,4554,100,4554,1,0
A,C,A,5376,100,5376,1,0
A,D,A,3034,100,3034,1,0
A,E,A,1547,100,1547,1,0
A,F,A,4909,100,4909,1,0
A,G,A,5555,100,5555,1,0
A,H,A,3278,100,3278,1,0
A,B,A,4541,100,4541,1,0
A,C,A,5376,100,5376,1,0
A,D,A,3032,100,3032,1,0
A,E,A,1488,100,1488,1,0
A,F,A,4947,100,4947,1,0
A,G,A,5528,100,5528,1,0
A,H,A,3295,100,3295,1,0
A,B,A,4573,100,4573,1,0
A,C,A,5377,100,5377,1,0
A,D,A,3060,100,3060,1,0
A,E,A,1494,100,1494,1,0
A,F,A,4842,100,4842,1,0
A,G,A,5522,100,5522,1,0
A,H,A,3289,100,3289,1,0
A,B,A,4544,100,4544,1,0
A,C,A,5385,100,5385,1,0
A,D,A,3043,100,3043,1,0
A,E,A,1498,100,1498,1,0
A,F,A,4889,100,4889,1,0
A,G,A,5519,100,5519,1,0
A,H,A,3222,100,3222,1,0
A,B,A,4539,100,4539,1,0
A,C,A,5359,100,5359,1,0
A,D,A,3050,100,3050,1,0
A,E,A,1537,100,1537,1,0
A,F,A,4927,100,4927,1,0
A,G,A,5492,100,5492,1,0
A,H,A,3276,100,3276,1,0
A,B,A,4501,100,4501,1,0
A,C,A,5365,100,5365,1,0
A,D,A,3026,100,3026,1,0
A,E,A,1507,100,1507,1,0
A,F,A,4902,100,4902,1,0
A,G,A,5523,100,5523,1,0
A,H,A,3262,100,3262,1,0
A,B,A,4570,100,4570,1,0
A,C,A,5364,100,5364,1,0
A,D,A,3026,100,3026,1,0
A,E,A,1490,100,1490,1,0
A,F,A,4910,100,4910,1,0
A,G,A,5526,100,5526,1,0
A,H,A,3287,100,3287,1,0
A,B,A,4537,100,4537,1,0
A,C,A,5410,100,5410,1,0
A,D,A,3015,100,3015,1,0
A,E,A,1485,100,1485,1,0
A,F,A,4891,100,4891,1,0
A,G,A,5534,100,5534,1,0
A,H,A,3273,100,3273,1,0
A,B,A,4558,100,4558,1,0
