host_time_iso,target,sweep,anchor_id,anchor,raw_distance_mm,rx_timestamp,carrier_integrator,first_path,fp_amp_sum,max_growth_cir,std_noise,acc_len,bin_path
2026-06-02T01:35:11.813+02:00,BSF66F,4566,3,D,2666,482295659,6572,47951,12572,757,28,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004566_D.bin
2026-06-02T01:35:12.772+02:00,BSF66F,4568,0,A,2743,2701653190,5529,47786,17325,2082,40,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004568_A.bin
2026-06-02T01:35:13.732+02:00,BSF66F,4570,1,B,3229,3527408888,6015,47836,9853,530,24,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004570_B.bin
2026-06-02T01:35:14.653+02:00,BSF66F,4571,5,F,2948,1862028282,291,48102,19197,1937,56,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004571_F.bin
2026-06-02T01:35:15.586+02:00,BSF66F,4572,2,C,2596,1209039816,6637,48036,11131,723,44,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004572_C.bin
2026-06-02T01:35:16.558+02:00,BSF66F,4574,3,D,2617,2957673239,6675,47867,11067,770,28,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004574_D.bin
2026-06-02T01:35:17.500+02:00,BSF66F,4575,7,H,2258,2229284688,7535,47916,18749,1737,64,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004575_H.bin
2026-06-02T01:35:18.409+02:00,BSF66F,4576,0,A,2771,2158745762,5529,47742,15572,1872,44,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004576_A.bin
2026-06-02T01:35:19.369+02:00,BSF66F,4578,1,B,3225,2977439688,5901,48052,8801,482,28,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004578_B.bin
2026-06-02T01:35:20.336+02:00,BSF66F,4580,2,C,2601,4266824064,6711,47964,11157,665,36,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004580_C.bin
2026-06-02T01:35:21.272+02:00,BSF66F,4581,6,G,2461,3079418397,11689,48113,17009,2175,52,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004581_G.bin
2026-06-02T01:35:22.203+02:00,BSF66F,4582,3,D,2624,2916211068,6592,47968,12058,744,28,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004582_D.bin
2026-06-02T01:35:23.157+02:00,BSF66F,4584,0,A,2727,577005509,5478,48033,12996,1789,40,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004584_A.bin
2026-06-02T01:35:24.122+02:00,BSF66F,4586,1,B,3227,1722917868,5977,48088,9970,495,24,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004586_B.bin
2026-06-02T01:35:25.043+02:00,BSF66F,4587,5,F,2941,82405793,282,48021,20727,1872,60,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004587_F.bin
2026-06-02T01:35:25.973+02:00,BSF66F,4588,2,C,2661,3708506884,6491,47840,10853,643,44,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004588_C.bin
2026-06-02T01:35:26.948+02:00,BSF66F,4590,3,D,2584,1165416251,6699,47895,11278,656,32,4064,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/CIR_home_livingroom_01062026/captures/erlangen_20260528_optitrack/CIRRAW_BSF66F_20260602_013453/accumulator_bin/sweep_00004590_D.bin
