host_elapsed_s,host_epoch_s,sweep,conn_id,peer_name,tag_id,plan,pmode,solve_reason,quality_flag_percent,active_anchor_count,valid_anchor_count,rms_mm,max_mm,step_mm,first_to_last_us,frame_us,poll_count
2.934571,1777241400.122299,22,,BSDC91,,cal_roto,5,success,98,4,4,23,25,0,8087,19134,4
3.118426,1777241400.306154,23,,BSDC91,,cal_roto,5,success,98,4,4,43,46,0,8270,19378,4
3.300642,1777241400.48837,24,,BSDC91,,cal_roto,5,success,98,4,4,34,38,0,8026,19104,4
3.527068,1777241400.714796,25,,BSDC91,,cal_roto,5,success,98,4,4,131,144,0,8239,19287,4
3.73376,1777241400.921488,26,,BSDC91,,cal_roto,5,success,98,4,4,47,54,0,8056,19165,4
3.962197,1777241401.149925,27,,BSDC91,,cal_roto,5,success,98,4,4,22,25,0,8026,19104,4
4.120158,1777241401.307886,28,,BSDC91,,cal_roto,5,success,98,4,4,1,2,0,8270,19317,4
4.358186,1777241401.545914,29,,BSDC91,,cal_roto,5,success,98,4,4,8,9,0,8056,19165,4
4.554657,1777241401.742385,30,,BSDC91,,cal_roto,5,success,98,4,4,49,58,0,8178,19256,4
4.734754,1777241401.922482,31,,BSDC91,,cal_roto,5,success,98,4,4,29,32,0,8178,19226,4
4.914385,1777241402.102113,32,,BSDC91,,cal_roto,5,success,98,4,4,1,1,0,8026,19134,4
5.120182,1777241402.30791,33,,BSDC91,,cal_roto,5,success,99,4,4,5,6,0,8026,19104,4
5.327097,1777241402.514825,34,,BSDC91,,cal_roto,5,success,99,4,4,88,101,0,8270,19317,4
5.533315,1777241402.721043,35,,BSDC91,,cal_roto,5,success,99,4,4,12,14,0,8056,19226,4
5.761901,1777241402.949629,36,,BSDC91,,cal_roto,5,success,99,4,4,132,160,0,8087,19165,4
5.919389,1777241403.107117,37,,BSDC91,,cal_roto,5,success,99,4,4,14,17,0,8148,19226,4
6.155609,1777241403.343337,38,,BSDC91,,cal_roto,5,success,99,4,4,53,62,0,8056,19165,4
6.331973,1777241403.519701,39,,BSDC91,,cal_roto,5,success,99,4,4,12,14,0,8026,19104,4
6.517963,1777241403.705691,40,,BSDC91,,cal_roto,5,success,99,4,4,17,19,0,8270,19317,4
