host_elapsed_s,sweep,conn_id,peer_name,tag_id,plan,pmode,anchor_label,status,reason,raw_mm,filt_mm,pred_mm,resid_mm,tracker_quality_percent,solve_quality_percent
0.002293,1409,,BSF66F,,cal_static,4,A,ok,ok,3255,3255,0,0,100,100
0.002386,1409,,BSF66F,,cal_static,4,B,ok,ok,2695,2695,0,0,100,100
0.027054,1409,,BSF66F,,cal_static,4,C,ok,ok,2442,2442,0,0,100,100
0.029689,1409,,BSF66F,,cal_static,4,D,ok,ok,3131,3131,0,0,100,100
0.060244,62896,,BSDC91,,cal_roto,5,A,ok,ok,2415,2415,0,0,100,100
0.060296,62896,,BSDC91,,cal_roto,5,B,ok,ok,2452,2452,0,0,100,100
0.061929,62896,,BSDC91,,cal_roto,5,C,timeout,rx_timeout,0,3022,0,0,66,66
0.109024,62896,,BSDC91,,cal_roto,5,D,ok,ok,3202,3202,0,0,100,100
0.111618,62896,,BSDC91,,cal_roto,5,E,ok,ok,2688,2688,0,0,100,100
0.111663,62896,,BSDC91,,cal_roto,5,F,ok,ok,2435,2435,0,0,100,100
0.11717,62896,,BSDC91,,cal_roto,5,G,ok,ok,3210,3210,0,0,100,100
0.117275,62896,,BSDC91,,cal_roto,5,H,ok,ok,3456,3456,0,0,100,100
0.18045,1410,,BSF66F,,cal_static,4,E,ok,ok,3300,3300,0,0,100,100
0.180682,1410,,BSF66F,,cal_static,4,F,ok,ok,2416,2416,0,0,100,100
0.182287,1410,,BSF66F,,cal_static,4,G,ok,ok,2481,2481,0,0,100,100
0.207144,1410,,BSF66F,,cal_static,4,H,ok,ok,3225,3225,0,0,100,100
0.412388,1411,,BSF66F,,cal_static,4,A,ok,ok,3313,3313,0,0,100,100
0.412959,1411,,BSF66F,,cal_static,4,B,ok,ok,2671,2671,0,0,100,100
0.414306,1411,,BSF66F,,cal_static,4,C,ok,ok,2433,2433,0,0,100,100
0.416282,62897,,BSDC91,,cal_roto,5,A,ok,ok,2434,2434,0,0,100,100
0.418053,62897,,BSDC91,,cal_roto,5,B,ok,ok,2663,2663,0,0,100,100
0.420227,62897,,BSDC91,,cal_roto,5,C,ok,ok,3093,3093,0,0,75,75
0.420362,62897,,BSDC91,,cal_roto,5,D,ok,ok,2821,2821,0,0,100,100
0.422113,62897,,BSDC91,,cal_roto,5,E,ok,ok,2487,2487,0,0,100,100
0.446695,62897,,BSDC91,,cal_roto,5,F,timeout,rx_timeout,0,2435,0,0,75,75
0.448713,62897,,BSDC91,,cal_roto,5,G,ok,ok,3259,3259,0,0,100,100
0.462261,1411,,BSF66F,,cal_static,4,D,ok,ok,3145,3145,0,0,100,100
0.571484,1412,,BSF66F,,cal_static,4,E,ok,ok,3332,3332,0,0,100,100
0.573034,1412,,BSF66F,,cal_static,4,F,ok,ok,2448,2448,0,0,100,100
0.589633,1412,,BSF66F,,cal_static,4,G,ok,ok,2456,2456,0,0,100,100
0.591934,1412,,BSF66F,,cal_static,4,H,ok,ok,3221,3221,0,0,100,100
0.80264,1413,,BSF66F,,cal_static,4,A,ok,ok,3225,3225,0,0,100,100
0.80272,1413,,BSF66F,,cal_static,4,B,ok,ok,2664,2664,0,0,100,100
0.804521,1413,,BSF66F,,cal_static,4,C,ok,ok,2443,2443,0,0,100,100
0.822208,1413,,BSF66F,,cal_static,4,D,ok,ok,3151,3151,0,0,100,100
0.894911,59474,,BS2DCE,,cal_roto,5,A,ok,ok,3216,3216,0,0,100,100
0.894988,59474,,BS2DCE,,cal_roto,5,B,ok,ok,2624,2624,0,0,66,66
0.903496,62898,,BSDC91,,cal_roto,5,A,ok,ok,2702,2702,0,0,100,100
0.904904,62898,,BSDC91,,cal_roto,5,B,ok,ok,2764,2764,0,0,100,100
0.907524,62898,,BSDC91,,cal_roto,5,C,ok,ok,2942,2942,0,0,80,80
