host_elapsed_s,sweep,conn_id,peer_name,tag_id,plan,pmode,quality_flag_percent,targets,statuses,qualities
0.031432,1409,,BSF66F,,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
0.209308,1410,,BSF66F,,cal_static,4,100,"E,F,G,H","ok,ok,ok,ok","100,100,100,100"
0.4643,1411,,BSF66F,,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
0.593838,1412,,BSF66F,,cal_static,4,100,"E,F,G,H","ok,ok,ok,ok","100,100,100,100"
0.824379,1413,,BSF66F,,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
1.004324,1414,,BSF66F,,cal_static,4,100,"E,F,G,H","ok,ok,ok,ok","100,100,100,100"
1.261406,1415,,BSF66F,,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
1.386822,1416,,BSF66F,,cal_static,4,100,"E,F,G,H","ok,ok,ok,ok","100,100,100,100"
1.64978,1417,,BSF66F,,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
1.801455,1418,,BSF66F,,cal_static,4,100,"E,F,G,H","ok,ok,ok,ok","100,100,100,100"
2.032368,1419,,BSF66F,,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
2.21192,1420,,BSF66F,,cal_static,4,100,"E,F,G,H","ok,ok,ok,ok","100,100,100,100"
2.446303,1421,,BSF66F,,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
2.601987,1422,,BSF66F,,cal_static,4,100,"E,F,G,H","ok,ok,ok,ok","100,100,100,100"
2.827022,1423,,BSF66F,,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
2.986168,1424,,BSF66F,,cal_static,4,100,"E,F,G,H","ok,ok,ok,ok","100,100,100,100"
3.096799,62905,,BSDC91,,cal_roto,5,95,"A,D,E,G","ok,ok,ok,ok","100,91,100,91"
3.239978,1425,,BSF66F,,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
3.300022,62906,,BSDC91,,cal_roto,5,96,"D,A,E,G","ok,ok,ok,ok","92,100,100,92"
3.420265,1426,,BSF66F,,cal_static,4,100,"E,F,G,H","ok,ok,ok,ok","100,100,100,100"
3.4811,62907,,BSDC91,,cal_roto,5,96,"D,A,E,G","ok,ok,ok,ok","92,100,100,92"
3.631246,1427,,BSF66F,,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
3.689533,62908,,BSDC91,,cal_roto,5,96,"D,A,E,G","ok,ok,ok,ok","93,100,100,93"
3.7204,59483,,BS2DCE,,cal_roto,5,97,"A,C,F,H","ok,ok,ok,ok","100,100,100,91"
3.809577,1428,,BSF66F,,cal_static,4,100,"E,F,G,H","ok,ok,ok,ok","100,100,100,100"
3.824506,59484,,BS2DCE,,cal_roto,5,98,"C,A,F,H","ok,ok,ok,ok","100,100,100,92"
3.891876,62909,,BSDC91,,cal_roto,5,96,"A,D,E,G","ok,ok,ok,ok","100,93,100,93"
4.028915,59485,,BS2DCE,,cal_roto,5,98,"C,A,F,H","ok,ok,ok,ok","100,100,100,92"
4.041959,1429,,BSF66F,,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
4.147822,62910,,BSDC91,,cal_roto,5,97,"A,D,G,E","ok,ok,ok,ok","100,94,94,100"
4.193959,1430,,BSF66F,,cal_static,4,100,"E,F,G,H","ok,ok,ok,ok","100,100,100,100"
4.2371,59486,,BS2DCE,,cal_roto,5,98,"A,C,F,H","ok,ok,ok,ok","100,100,100,93"
