host_elapsed_s,sweep,conn_id,peer_name,tag_id,anchor_id,status,raw_mm,filt_mm,quality_percent,ok_count,fail_count
0.005557,62895,,BSDC91,,0,ok,2415,2415,100,3,0
0.005557,62895,,BSDC91,,1,ok,2452,2452,100,3,0
0.005557,62895,,BSDC91,,2,timeout,0,3022,66,2,1
0.058039,62895,,BSDC91,,3,ok,3202,3202,100,3,0
0.058039,62895,,BSDC91,,4,ok,2688,2688,100,3,0
0.058039,62895,,BSDC91,,5,ok,2435,2435,100,3,0
0.177953,1409,,BSF66F,,4,ok,3300,3300,100,4,0
0.177953,1409,,BSF66F,,5,ok,2416,2416,100,4,0
0.177953,1409,,BSF66F,,6,ok,2481,2481,100,4,0
0.395061,62896,,BSDC91,,0,ok,2434,2434,100,4,0
0.398108,62896,,BSDC91,,1,ok,2663,2663,100,4,0
0.398108,62896,,BSDC91,,2,ok,3093,3093,75,3,1
0.398108,62896,,BSDC91,,3,ok,2821,2821,100,4,0
0.399438,62896,,BSDC91,,4,ok,2487,2487,100,4,0
0.399438,62896,,BSDC91,,5,timeout,0,2435,75,3,1
0.399438,62896,,BSDC91,,6,ok,3259,3259,100,4,0
0.410573,1410,,BSF66F,,0,ok,3313,3313,100,4,0
0.410573,1410,,BSF66F,,1,ok,2671,2671,100,4,0
0.567776,1411,,BSF66F,,4,ok,3332,3332,100,5,0
0.570047,1411,,BSF66F,,5,ok,2448,2448,100,5,0
0.570047,1411,,BSF66F,,6,ok,2456,2456,100,5,0
0.570047,1411,,BSF66F,,7,ok,3221,3221,100,5,0
0.800463,1412,,BSF66F,,0,ok,3225,3225,100,5,0
0.800463,1412,,BSF66F,,1,ok,2664,2664,100,5,0
0.800463,1412,,BSF66F,,2,ok,2443,2443,100,5,0
0.882756,62897,,BSDC91,,0,ok,2702,2702,100,5,0
0.882756,62897,,BSDC91,,1,ok,2764,2764,100,5,0
0.885319,62897,,BSDC91,,2,ok,2942,2942,80,4,1
0.885319,62897,,BSDC91,,3,ok,2680,2680,100,5,0
0.885319,62897,,BSDC91,,4,ok,2637,2637,100,5,0
0.887289,62897,,BSDC91,,5,ok,2750,2750,80,4,1
0.887289,62897,,BSDC91,,6,ok,3023,3023,100,5,0
0.887289,62897,,BSDC91,,7,reject,2606,3456,60,3,2
0.890687,59473,,BS2DCE,,0,ok,3216,3216,100,3,0
0.890687,59473,,BS2DCE,,1,ok,2624,2624,66,2,1
0.890687,59473,,BS2DCE,,2,ok,2676,2676,100,3,0
0.892772,59473,,BS2DCE,,3,ok,3356,3356,100,3,0
0.892772,59473,,BS2DCE,,4,ok,3134,3134,100,3,0
0.892772,59473,,BS2DCE,,5,ok,2385,2385,100,3,0
0.980352,1413,,BSF66F,,4,ok,3305,3305,100,6,0
0.980352,1413,,BSF66F,,5,ok,2434,2434,100,6,0
1.115675,62898,,BSDC91,,0,ok,2838,2838,100,6,0
1.115675,62898,,BSDC91,,1,reject,3584,2764,83,5,1
1.115675,62898,,BSDC91,,2,ok,2887,2887,83,5,1
1.117763,62898,,BSDC91,,3,timeout,0,2680,83,5,1
1.117763,62898,,BSDC91,,4,ok,2909,2909,100,6,0
1.117763,62898,,BSDC91,,5,reject,3499,2750,66,4,2
1.125145,59474,,BS2DCE,,0,ok,2951,2951,100,4,0
1.125278,59474,,BS2DCE,,1,ok,2073,2073,75,3,1
1.125278,59474,,BS2DCE,,2,ok,2985,2985,100,4,0
1.125278,59474,,BS2DCE,,3,ok,3563,3563,100,4,0
1.126991,59474,,BS2DCE,,4,ok,2969,2969,100,4,0
1.126991,59474,,BS2DCE,,5,ok,2683,2683,100,4,0
1.126991,59474,,BS2DCE,,6,reject,3083,2525,75,3,1
1.205132,1414,,BSF66F,,0,ok,3236,3236,100,6,0
1.207396,1414,,BSF66F,,1,ok,2683,2683,100,6,0
1.207396,1414,,BSF66F,,2,ok,2411,2411,100,6,0
1.207396,1414,,BSF66F,,3,ok,3143,3143,100,6,0
1.317779,62899,,BSDC91,,0,ok,3052,3052,100,7,0
1.32013,62899,,BSDC91,,1,reject,3781,2764,71,5,2
1.32013,62899,,BSDC91,,2,ok,2751,2751,85,6,1
1.32013,62899,,BSDC91,,3,ok,2745,2745,85,6,1
1.322098,62899,,BSDC91,,4,ok,2873,2873,100,7,0
1.322098,62899,,BSDC91,,5,reject,3464,2750,57,4,3
1.322098,62899,,BSDC91,,6,ok,2490,2490,100,7,0
1.363006,1415,,BSF66F,,4,ok,3311,3311,100,7,0
1.363006,1415,,BSF66F,,5,ok,2464,2464,100,7,0
1.363006,1415,,BSF66F,,6,ok,2449,2449,100,7,0
1.610379,59475,,BS2DCE,,0,ok,2838,2838,100,5,0
1.610379,59475,,BS2DCE,,1,ok,2195,2195,80,4,1
1.612821,59475,,BS2DCE,,2,ok,3030,3030,100,5,0
1.612821,59475,,BS2DCE,,3,ok,3571,3571,100,5,0
1.612821,59475,,BS2DCE,,4,ok,3193,3193,100,5,0
1.615059,59475,,BS2DCE,,5,ok,2416,2416,100,5,0
1.615059,59475,,BS2DCE,,6,reject,3177,2525,60,3,2
1.615059,59475,,BS2DCE,,7,ok,3522,3522,80,4,1
1.61835,1416,,BSF66F,,0,ok,3265,3265,100,7,0
1.61835,1416,,BSF66F,,1,ok,2689,2689,100,7,0
1.73038,62900,,BSDC91,,0,ok,3044,3044,100,8,0
1.73038,62900,,BSDC91,,1,ok,2998,2998,75,6,2
1.73322,62900,,BSDC91,,2,ok,2843,2843,87,7,1
1.73322,62900,,BSDC91,,3,ok,2864,2864,87,7,1
1.73322,62900,,BSDC91,,4,ok,2869,2869,100,8,0
1.734608,62900,,BSDC91,,5,ok,2753,2753,62,5,3
1.734608,62900,,BSDC91,,6,ok,2424,2424,100,8,0
1.734608,62900,,BSDC91,,7,reject,2770,3514,50,4,4
1.775145,1417,,BSF66F,,4,ok,3226,3226,100,8,0
1.777507,1417,,BSF66F,,5,ok,2398,2398,100,8,0
1.777507,1417,,BSF66F,,6,ok,2449,2449,100,8,0
1.777507,1417,,BSF66F,,7,ok,3162,3162,100,8,0
1.97049,59476,,BS2DCE,,0,ok,2511,2511,100,6,0
1.97049,59476,,BS2DCE,,1,ok,2544,2544,83,5,1
1.97049,59476,,BS2DCE,,2,ok,3110,3110,100,6,0
1.999273,59476,,BS2DCE,,3,timeout,0,3571,83,5,1
1.999273,59476,,BS2DCE,,4,ok,2755,2755,100,6,0
1.999273,59476,,BS2DCE,,5,ok,2355,2355,100,6,0
2.008002,1418,,BSF66F,,0,ok,3241,3241,100,8,0
2.008002,1418,,BSF66F,,1,ok,2707,2707,100,8,0
2.008002,1418,,BSF66F,,2,ok,2420,2420,100,8,0
2.187814,1419,,BSF66F,,4,ok,3306,3306,100,9,0
2.187814,1419,,BSF66F,,5,ok,2417,2417,100,9,0
2.195442,62901,,BSDC91,,0,ok,3228,3228,100,9,0
2.195442,62901,,BSDC91,,1,ok,2673,2673,77,7,2
2.195442,62901,,BSDC91,,2,ok,2610,2610,88,8,1
2.198122,62901,,BSDC91,,3,ok,3176,3176,88,8,1
2.198122,62901,,BSDC91,,4,ok,3077,3077,100,9,0
2.198122,62901,,BSDC91,,5,ok,2704,2704,66,6,3
2.202823,59477,,BS2DCE,,0,ok,2723,2723,100,7,0
2.205041,59477,,BS2DCE,,1,ok,2609,2609,85,6,1
2.205041,59477,,BS2DCE,,2,ok,3074,3074,100,7,0
2.205041,59477,,BS2DCE,,3,reject,2957,3571,71,5,2
2.207164,59477,,BS2DCE,,4,ok,2560,2560,100,7,0
2.207164,59477,,BS2DCE,,5,ok,2511,2511,100,7,0
2.207164,59477,,BS2DCE,,6,reject,3204,2525,42,3,4
2.420233,1420,,BSF66F,,0,ok,3276,3276,100,9,0
2.427208,1420,,BSF66F,,1,ok,2662,2662,100,9,0
2.427208,1420,,BSF66F,,2,ok,2431,2431,100,9,0
2.427208,1420,,BSF66F,,3,ok,3152,3152,100,9,0
2.45067,62902,,BSDC91,,0,ok,3626,3626,100,10,0
2.452755,62902,,BSDC91,,1,ok,2262,2262,80,8,2
2.452755,62902,,BSDC91,,2,ok,2765,2765,90,9,1
2.452755,62902,,BSDC91,,3,ok,3521,3521,90,9,1
2.45459,62902,,BSDC91,,4,ok,3424,3424,100,10,0
2.45459,62902,,BSDC91,,5,reject,1948,2704,60,6,4
2.45459,62902,,BSDC91,,6,timeout,0,2380,90,9,1
