a,b,master,dist_mm,quality_percent,raw_mm,ok,fail
A,B,A,4782,100,4782,1,0
A,C,A,5184,100,5184,1,0
A,D,A,2837,100,2837,1,0
A,E,A,1627,100,1627,1,0
A,G,A,5309,100,5309,1,0
A,H,A,3212,100,3212,1,0
A,B,A,4768,100,4768,1,0
A,C,A,5201,100,5201,1,0
A,D,A,2847,100,2847,1,0
A,E,A,1691,100,1691,1,0
A,G,A,5307,100,5307,1,0
A,H,A,3175,100,3175,1,0
A,B,A,4832,100,4832,1,0
A,C,A,5173,100,5173,1,0
A,D,A,2847,100,2847,1,0
A,E,A,1638,100,1638,1,0
A,F,A,4614,100,4614,1,0
A,G,A,5307,100,5307,1,0
A,H,A,3197,100,3197,1,0
A,B,A,4734,100,4734,1,0
A,C,A,5173,100,5173,1,0
A,D,A,2847,100,2847,1,0
A,E,A,1660,100,1660,1,0
A,F,A,4640,100,4640,1,0
A,G,A,5316,75,5316,1,0
A,H,A,3158,100,3158,1,0
A,B,A,4795,100,4795,1,0
A,C,A,5170,80,5170,1,0
A,D,A,2847,100,2847,1,0
A,E,A,1728,100,1728,1,0
A,F,A,4640,100,4640,1,0
A,G,A,5316,75,5316,1,0
A,H,A,3169,100,3169,1,0
A,B,A,2540,100,2540,1,0
A,C,A,5170,80,5170,1,0
A,D,A,2814,50,2814,1,0
A,E,A,1691,100,1691,1,0
A,F,A,4651,100,4651,1,0
A,G,A,5316,75,5316,1,0
A,H,A,3144,100,3144,1,0
A,B,A,4806,100,4806,1,0
A,C,A,5170,80,5170,1,0
A,D,A,2776,57,2776,1,0
A,E,A,1691,100,1691,1,0
A,F,A,4566,100,4566,1,0
A,G,A,5316,75,5316,1,0
A,H,A,3147,100,3147,1,0
A,B,A,4806,100,4806,1,0
A,C,A,5252,62,5252,1,0
A,D,A,2759,62,2759,1,0
A,E,A,1613,87,1613,1,0
A,F,A,4640,100,4640,1,0
A,G,A,5352,50,5352,1,0
A,H,A,3164,100,3164,1,0
A,B,A,4801,88,4801,1,0
A,C,A,5228,66,5228,1,0
A,D,A,2769,66,2769,1,0
A,E,A,1651,88,1651,1,0
A,F,A,4640,100,4640,1,0
A,G,A,5312,55,5312,1,0
A,H,A,3186,100,3186,1,0
A,B,A,4801,90,4801,1,0
A,C,A,5243,70,5243,1,0
A,D,A,2848,70,2848,1,0
A,E,A,1700,90,1700,1,0
A,F,A,4640,100,4640,1,0
A,G,A,5338,60,5338,1,0
A,H,A,3203,100,3203,1,0
A,B,B,4662,100,4662,1,0
B,C,B,3395,100,3395,1,0
B,D,B,5657,100,5657,1,0
B,E,B,4508,100,4508,1,0
B,G,B,3691,100,3691,1,0
B,H,B,5498,100,5498,1,0
A,B,B,4791,100,4791,1,0
B,C,B,3412,100,3412,1,0
B,D,B,5662,100,5662,1,0
B,E,B,4592,100,4592,1,0
B,G,B,3740,100,3740,1,0
B,H,B,5465,100,5465,1,0
A,B,B,4730,100,4730,1,0
B,C,B,3376,100,3376,1,0
B,D,B,5671,100,5671,1,0
B,E,B,4491,100,4491,1,0
B,G,B,3674,100,3674,1,0
B,H,B,5427,100,5427,1,0
A,B,B,4696,100,4696,1,0
B,C,B,3315,100,3315,1,0
B,D,B,5685,100,5685,1,0
B,E,B,4491,100,4491,1,0
B,F,B,1540,100,1540,1,0
B,G,B,3698,100,3698,1,0
B,H,B,5454,100,5454,1,0
A,B,B,4756,100,4756,1,0
B,C,B,3324,100,3324,1,0
B,D,B,5628,100,5628,1,0
B,E,B,4491,100,4491,1,0
B,F,B,1550,100,1550,1,0
B,G,B,3675,100,3675,1,0
B,H,B,5511,100,5511,1,0
A,B,B,4768,100,4768,1,0
B,C,B,3310,100,3310,1,0
B,D,B,5669,100,5669,1,0
B,E,B,4603,66,4603,1,0
B,F,B,1550,100,1550,1,0
B,G,B,3634,100,3634,1,0
B,H,B,5462,100,5462,1,0
A,B,B,4750,100,4750,1,0
B,C,B,3361,100,3361,1,0
B,D,B,5648,100,5648,1,0
B,E,B,4603,66,4603,1,0
B,F,B,1600,75,1600,1,0
B,G,B,3685,100,3685,1,0
B,H,B,5413,100,5413,1,0
A,B,B,4754,100,4754,1,0
B,C,B,3339,100,3339,1,0
B,D,B,5648,100,5648,1,0
B,E,B,4489,62,4489,1,0
B,F,B,1569,80,1569,1,0
B,G,B,3724,100,3724,1,0
B,H,B,5413,100,5413,1,0
A,B,B,4703,100,4703,1,0
B,C,B,3463,100,3463,1,0
B,D,B,5648,100,5648,1,0
B,E,B,4539,66,4539,1,0
B,F,B,1573,83,1573,1,0
B,G,B,3691,100,3691,1,0
B,H,B,5413,100,5413,1,0
A,B,B,4734,100,4734,1,0
B,C,B,3412,100,3412,1,0
B,D,B,5648,100,5648,1,0
B,E,B,4591,70,4591,1,0
B,F,B,1575,85,1575,1,0
B,G,B,3732,100,3732,1,0
B,H,B,5482,80,5482,1,0
A,C,C,5148,100,5148,1,0
B,C,C,3481,100,3481,1,0
C,D,C,3977,100,3977,1,0
C,E,C,5025,100,5025,1,0
C,G,C,1664,100,1664,1,0
C,H,C,4055,100,4055,1,0
A,C,C,5148,100,5148,1,0
B,C,C,3446,100,3446,1,0
C,D,C,4014,100,4014,1,0
C,E,C,5089,100,5089,1,0
C,F,C,3551,100,3551,1,0
C,G,C,1664,100,1664,1,0
C,H,C,4055,100,4055,1,0
A,C,C,5162,66,5162,1,0
B,C,C,3446,100,3446,1,0
C,D,C,4006,100,4006,1,0
C,E,C,5061,100,5061,1,0
C,F,C,3574,100,3574,1,0
C,G,C,1664,100,1664,1,0
C,H,C,4019,66,4019,1,0
