method,version,n_anchors,se3_rmse_mm,se3_median_mm,se3_p95_mm,x_rmse_mm,y_rmse_mm,z_rmse_mm,scale_factor_sim3,scale_bias_pct,sim3_rmse_mm,shape_rms_mm,worst_anchor,worst_anchor_error_mm,alignment_note,pairwise_distance_mae_mm,pairwise_distance_rmse_mm,pairwise_distance_relative_mae_pct,horizontal_pair_distance_rmse_mm,vertical_sensitive_pair_distance_rmse_mm
AutoPos v1-old,v1-old,8,101.27420364979388,84.5703591505928,154.09005800647546,48.5439605394666,38.14320373678825,80.2810328081079,0.9549735987772424,-4.502640122275759,50.06554740371965,140.63734061089306,A,176.78022498373082,reflection-normalized rigid alignment; proper-rotation-only is not used because the exported OptiTrack frame has a handedness convention difference,125.85697333578337,140.63734061089454,4.537509075019954,146.36973889821178,136.1797797245807
AutoPos v2,v2,8,136.45445890161056,127.78980435787778,183.98159482057352,64.78037544788403,82.06976180801517,87.68053665288647,0.9384686781209736,-6.153132187902644,60.31811978232067,192.03159280262284,A,194.55370771029308,reflection-normalized rigid alignment; proper-rotation-only is not used because the exported OptiTrack frame has a handedness convention difference,181.8437038067513,192.03159280262253,6.996247125180198,173.98615170732234,204.52346166296883
AutoPos v3-full,v3-full,8,143.44671872661849,118.91404009012953,211.72543392943297,91.30989482088846,65.81974880373342,88.92257805892335,0.9638652944615091,-3.613470553849085,125.28325436315949,151.6226375352381,D,224.34784082222777,reflection-normalized rigid alignment; proper-rotation-only is not used because the exported OptiTrack frame has a handedness convention difference,125.61659525783475,151.62263753523916,5.072730324752648,170.18697512444098,136.04700473179886
AutoPos v3-lite,v3-lite,8,136.60069612738366,127.94844526086945,184.18386934893707,64.66069471703814,82.58381476260922,87.51376052056527,0.9385188444188904,-6.1481155581109554,60.86467317763309,191.96997038195465,A,194.68344305675788,reflection-normalized rigid alignment; proper-rotation-only is not used because the exported OptiTrack frame has a handedness convention difference,181.73878094131592,191.96997038195602,6.997976293041236,173.54186646165766,204.70524447004038
AutoPos v4-io,v4-io,8,105.41990950811795,92.77084899701545,156.8864917039047,52.8892165816985,59.765164251833596,68.87824933914422,0.9582672713308588,-4.1732728669141235,67.12130071807093,136.3068174543411,A,185.3559282712514,reflection-normalized rigid alignment; proper-rotation-only is not used because the exported OptiTrack frame has a handedness convention difference,121.30491928340199,136.3068174543423,4.74008426836758,122.92291981964487,145.53926166223948
