version,tag_method,eval_set,ID,capture,location,height,facing,point_estimator,frames_input,frames_solved,solve_fraction,status,x_mm,y_mm,z_mm,mean_x_mm,mean_y_mm,mean_z_mm,median_x_mm,median_y_mm,median_z_mm,x_std_mm,y_std_mm,z_std_mm,d3_std_mm,radial_p50_mm,radial_p95_mm,anchors_used_median,anchors_input_median,pct_solved_ge7,pct_solved_ge8,residual_rms_median_mm,residual_rms_p95_mm,rejected_frames,rejected_anchor_counts,aligned_x_mm,aligned_y_vertical_mm,aligned_z_mm,truth_x_mm,truth_y_vertical_mm,truth_z_mm,err_x_mm,err_y_vertical_mm,err_z_mm,err_horizontal_mm,err_vertical_mm,err_3d_mm,anchor_fit_det,anchor_fit_scale,anchor_similarity_scale_diagnostic,distance_to_array_centroid_mm,scale_bias_expected_mm,source_tr_all,layout_json
v1-old,T1,all8,ID01,static_ID01_BSF66F_120s_20260528_110629,edge,low,ABEF,median,1201,1201,1.0,ok,1317.5810871619954,778.4413837964706,203.0724061638031,1318.2790664682336,775.4355737682667,208.57071338168922,1317.5810871619954,778.4413837964706,203.0724061638031,19.768026410725817,33.4129326723817,50.992124444241036,64.398362902958,46.82298513219857,121.50461720134501,8.0,8.0,99.75020815986679,91.75686927560366,85.94227243856004,160.08238910386987,0,{},-474.7178033983065,-0.5907412371907412,-382.4264722787873,-503.61191,144.63268,-381.98318,28.894106601693522,-145.22342123719073,-0.4432922787872826,28.89750688821549,145.22342123719073,148.07061822045927,-1.000000000000001,1.0,0.9569413681749183,917.0807080231075,39.48824056065227,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID01_BSF66F_120s_20260528_110629/tag_capture_20260528_110630/tr_all.csv,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v1-old/layout.json
v1-old,T1,all8,ID02,static_ID02_BSF66F_120s_20260528_111027,edge,mid,ABEF,median,1201,1201,1.0,ok,1494.5492408137575,702.7887381260764,-854.4483203047691,1494.3756558188818,702.7558377745147,-854.7442305847709,1494.5492408137575,702.7887381260764,-854.4483203047691,25.03723105287011,32.542038241775195,46.022091763058285,61.67656685523854,49.01590153587933,108.07459352144627,8.0,8.0,99.91673605328893,95.67027477102414,89.24682611233604,152.63051485172832,0,{},-527.2223501054895,1065.0489017859732,-251.86399333863392,-543.22998,1105.589,-259.92136,16.0076298945105,-40.540098214026784,8.057366661366075,17.921087365316865,40.540098214026784,44.324541007868966,-1.000000000000001,1.0,0.9569413681749183,458.00703043841764,19.72115609694683,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID02_BSF66F_120s_20260528_111027/tag_capture_20260528_111027/tr_all.csv,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v1-old/layout.json
v1-old,T1,all8,ID03,static_ID03_BSF66F_120s_20260528_111354,edge,high,ABEF,median,1201,1201,1.0,ok,1513.8952660975456,622.5322859579984,-1834.1249661588604,1511.7823004898785,618.2800928060204,-1828.8467116308154,1513.8952660975456,622.5322859579984,-1834.1249661588604,25.222636067364018,38.430764541169665,52.804051473118406,70.3688754102621,50.54816580243645,139.13299560914407,8.0,8.0,100.0,92.2564529558701,156.4310687706387,203.38120420731843,0,{},-576.1835301905514,2046.6871101233855,-275.75809339707416,-554.00287,1625.5614500000001,-256.2951,-22.180660190551407,421.1256601233854,-19.46299339707417,29.509147708181352,421.1256601233854,422.15827767890613,-1.000000000000001,1.0,0.9569413681749183,802.5103248421706,34.55499661320577,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID03_BSF66F_120s_20260528_111354/tag_capture_20260528_111355/tr_all.csv,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v1-old/layout.json
v1-old,T1,all8,ID04,static_ID04_BSF66F_120s_20260528_111732,edge,low,BCGF,median,1201,1201,1.0,ok,2178.291239080268,1073.0878967724288,354.84473585366266,2179.4993551966727,1070.452056963988,355.9950986782449,2178.291239080268,1073.0878967724288,354.84473585366266,20.383253074631,25.249692921143044,50.03479794259356,59.71796659588552,37.26102711485681,120.14560610817786,8.0,8.0,100.0,93.83846794338052,84.18360075275565,118.26527210817547,0,{},-244.39560004694874,-126.17587784095087,501.7982895273649,-321.178815,182.16379,479.93381999999997,76.78321495305124,-308.3396678409509,21.864469527364918,79.83556304203998,308.3396678409509,318.5075633175882,-1.000000000000001,1.0,0.9569413681749183,1059.5971493236866,45.62480353563478,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID04_BSF66F_120s_20260528_111732/tag_capture_20260528_111732/tr_all.csv,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v1-old/layout.json
v1-old,T1,all8,ID05,static_ID05_BSF66F_120s_20260528_112057,edge,mid,BCGF,median,1200,1200,1.0,ok,2268.0654372394347,1116.2589393827175,-988.5048398930172,2268.3722095058283,1117.5055457490305,-988.6113135896132,2268.0654372394347,1116.2589393827175,-988.5048398930172,20.706201212808402,30.71581414664138,44.66579531536844,58.042232484758365,47.06615975916573,101.41437717901965,8.0,8.0,99.75,91.5,152.8532760108369,238.97679715540133,0,{},-163.04594067101198,1217.7816860623325,542.6826090219656,-186.852955,1103.67405,472.76739499999996,23.807014328988032,114.1076360623324,69.91521402196565,73.85736986244436,114.1076360623324,135.92447789390843,-1.000000000000001,1.0,0.9569413681749183,704.6826366249487,30.34267020396153,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID05_BSF66F_120s_20260528_112057/tag_capture_20260528_112057/tr_all.csv,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v1-old/layout.json
v1-old,T1,all8,ID06,static_ID06_BSF66F_120s_20260528_112429,edge,high,BCGF,median,1201,1201,1.0,ok,2222.4605360982755,1042.3969126429008,-1715.590463860732,2223.502959491577,1046.244262241239,-1713.496545919197,2222.4605360982755,1042.3969126429008,-1715.590463860732,26.029766129561107,36.19312444850471,36.201529402135634,57.60481708127285,41.00332976501457,95.8382786204457,8.0,8.0,99.83347210657784,92.83930058284763,85.96919721888443,173.16850446095202,0,{},-209.56758959728586,1944.3233457787105,464.18507109573284,-193.231255,1684.95255,476.52297999999996,-16.336334597285855,259.37079577871054,-12.337908904267124,20.47192771100154,259.37079577871054,260.17745776120967,-1.000000000000001,1.0,0.9569413681749183,1005.7123587372721,43.30459817680273,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID06_BSF66F_120s_20260528_112429/tag_capture_20260528_112429/tr_all.csv,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v1-old/layout.json
v1-old,T1,all8,ID07,static_ID07_BSF66F_120s_20260528_112810,edge,low,CDHG,median,1201,1201,1.0,ok,1747.1845916127452,1628.519187961598,213.3905502850297,1747.2641764817322,1630.2555444373581,206.4519947371614,1747.1845916127452,1628.519187961598,213.3905502850297,17.228331752593206,25.689525438800043,70.00972921776918,76.87193335702355,58.11202062354522,134.71109829621562,8.0,8.0,100.0,90.84096586178185,79.42566486316257,184.7946929277488,0,{},343.40800437932876,-19.25104397420324,105.03620733743924,352.14755,211.565355,53.795866000000004,-8.739545620671265,-230.81639897420325,51.24034133743923,51.98030625182078,230.81639897420325,236.59704620610052,-1.000000000000001,1.0,0.9569413681749183,917.719389776331,39.51574132311772,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID07_BSF66F_120s_20260528_112810/tag_capture_20260528_112810/tr_all.csv,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v1-old/layout.json
v1-old,T1,all8,ID08,static_ID08_BSF66F_120s_20260528_113136,edge,mid,CDHG,median,1201,1201,1.0,ok,1575.3030202039733,1708.6361333795428,-952.9146667425515,1573.3087837176686,1714.3929358181695,-952.076244670175,1575.3030202039733,1708.6361333795428,-952.9146667425515,34.875847202121605,47.50284263993776,58.471893895047224,83.24438634326172,60.99960014782826,144.8510345697688,8.0,8.0,100.0,90.25811823480433,143.41433568494568,183.6328063989997,0,{},473.52003230339096,1136.1494927638075,-105.55894620083313,391.90054,1132.2804,-71.53192899999999,81.61949230339098,3.86909276380743,-34.02701720083314,88.42838584667875,3.86909276380743,88.51298945501752,-1.000000000000001,1.0,0.9569413681749183,552.5401877883373,23.791624514539542,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID08_BSF66F_120s_20260528_113136/tag_capture_20260528_113136/tr_all.csv,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v1-old/layout.json
v1-old,T1,all8,ID09,static_ID09_BSF66F_120s_20260528_113816,edge,high,CDHG,median,1201,1201,1.0,ok,1610.2242411523205,1691.6511081106903,-1449.577366434919,1610.9886521564088,1690.1075465289205,-1451.6031034436041,1610.2242411523205,1691.6511081106903,-1449.577366434919,34.01397075970088,35.71091105437554,46.45314380999246,67.80254023246765,51.08423896411814,120.5810077552332,8.0,8.0,99.91673605328893,93.42214820982515,150.83816874170816,229.17836295668297,0,{},470.62701993968994,1634.1067485918943,-90.99797544876287,408.80994,1568.1853500000002,-62.425788499999996,61.81707993968996,65.9213985918941,-28.572186948762877,68.1008167300883,65.9213985918941,94.7805466940155,-1.000000000000001,1.0,0.9569413681749183,817.5408558801957,35.20219071530756,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID09_BSF66F_120s_20260528_113816/tag_capture_20260528_113816/tr_all.csv,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v1-old/layout.json
v1-old,T1,all8,ID10,static_ID10_BSF66F_120s_20260528_114216,edge,low,ADHE,median,1201,1201,1.0,ok,665.1222372522975,1311.2338147663172,76.5694571953214,663.6871011518675,1308.575149670871,77.63676622230153,665.1222372522975,1311.2338147663172,76.5694571953214,24.185723785530204,24.132741034306687,37.709420176043324,50.98633208172392,36.42765107519606,94.53104800152758,8.0,8.0,99.91673605328893,90.75770191507078,76.15364570926553,124.01712165217342,0,{},105.05340489027503,83.10541941755588,-1000.8386488675258,65.499245,238.64973,-938.19342,39.55415989027503,-155.54431058244413,-62.645228867525816,74.08749060732272,155.54431058244413,172.28751788524312,-1.000000000000001,1.0,0.9569413681749183,1036.3981733342628,44.625887369787264,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/captures/erlangen_20260528_optitrack/static_ID10_BSF66F_120s_20260528_114216/tag_capture_20260528_114216/tr_all.csv,/home/zekaixiao/Documents/nRF_dev/BioSpur_UWB_before_start/autopos_pipeline/28052026_Erlangen_Official/solver/outputs/v1_to_v4_io_field_check/v1-old/layout.json
