version,tag_method,eval_set,n_sessions,frames_solved_total,frames_input_total,err_3d_median_mm,err_3d_p75_mm,err_3d_p95_mm,err_3d_rms_mm,err_horizontal_median_mm,err_vertical_median_mm,d3_std_median_mm,radial_p95_median_mm,residual_rms_median_mm,pct_solved_ge8_median,median_scale_bias_expected_mm
v1-old,T1,all8,24,28818,28818,157.76394540101444,221.64970379333647,316.4688053772768,192.41118203372423,51.32822207909061,139.82687959228056,63.037464879098266,117.50529380764591,88.65564042376843,91.88176519567027,32.5974983494774
v1-old,T2,all8,24,28818,28818,157.52697920891364,219.89160378959207,316.3487611324706,192.30281416701345,51.91531091765253,140.6958821782186,62.85817666612623,118.4857736049253,88.67017000425598,91.88176519567027,32.5974983494774
v1-old,T3,all8,24,28818,28818,119.88151612419722,174.50372276995378,312.376926294218,166.21592017824736,53.816489984154586,111.86840900542205,64.45682832770855,115.05873572875397,92.88965388054051,91.88176519567027,32.5974983494774
v1-old,T4,all8,24,28818,28818,134.54230743497027,189.8803658401005,253.55717041199375,158.4898181366063,49.20526911401902,128.35761891726997,68.00019629367785,124.94892715785556,89.47006206162368,91.88176519567027,32.5974983494774
v2,T1,all8,24,28818,28818,79.67501457970067,136.74987413003797,232.66749316200168,131.16891839065482,39.60636423199418,68.08307034712993,61.88953842442238,112.86189478598925,86.1888769600641,91.88176519567027,45.00191646471829
v2,T2,all8,24,28818,28818,78.62380129924982,136.95814130081226,231.6187139003014,130.83813167060006,40.36597345626548,67.70737153117364,61.77174039600267,113.30662243833542,86.17937672196726,91.88176519567027,45.00191646471829
v2,T3,all8,24,28818,28818,71.2664229537187,102.81295057410372,190.09625136561604,97.97330574461367,38.21506642615759,53.10453543039489,63.25918576507351,108.63894686531556,87.46925845396942,91.88176519567027,45.00191646471829
v2,T4,all8,24,28818,28818,74.98445175313647,109.58284795366745,166.03293415389163,99.55839495580665,41.47014031068026,58.637947709538594,62.73922750446413,115.80100050069376,86.73068579015987,91.88176519567027,45.00191646471829
v3-lite,T1,all8,24,28818,28818,79.80424035053099,137.63752789733064,233.108816773229,131.33150383134398,39.77442083332768,68.6638129648685,62.09870861840126,113.21491896636475,86.0651864856452,91.88176519567027,44.96198738811104
v3-lite,T2,all8,24,28818,28818,78.88453340315547,137.53075857211087,232.18930329760587,131.02350102159946,40.52594109709868,68.42956829074103,61.987853201847315,113.36720058737123,86.08062218037091,91.88176519567027,44.96198738811104
v3-lite,T3,all8,24,28818,28818,72.3660042011679,103.11234273888773,190.24070262657602,98.1006913365969,38.691407288919265,52.65386355853778,63.146798924587955,108.79661971860031,87.44535939984192,91.88176519567027,44.96198738811104
v3-lite,T4,all8,24,28818,28818,75.19788033496235,109.56668592062697,164.6357169382673,99.5407222811359,42.04416636537462,58.65891737459151,62.69909376366209,116.07497312910638,86.71866977698079,91.88176519567027,44.96198738811104
v3-full,T1,all8,24,28818,28818,117.24628409790554,177.7938889585974,278.34667198531747,158.7330281402784,49.21216856855821,95.939591405126,64.49394894570466,116.35738815531042,92.3134415353276,91.88176519567027,25.740620928287015
v3-full,T2,all8,24,28818,28818,119.01442279921483,177.72483777671602,278.63814148604456,158.32071427182876,49.161267345600336,95.53043408292488,65.34747323398756,117.91185306516488,91.94620975964995,91.88176519567027,25.740620928287015
