link_id,position_id,anchor_id,anchor_label,estimator_id,estimator_name,extracted_range_mm,source
ID01_A,ID01,0,A,model_M4,model_M4,1510.7750582933897,mixture
ID01_B,ID01,1,B,model_M4,model_M4,1767.2978465613753,mixture
ID01_C,ID01,2,C,model_M4,model_M4,2176.127361099399,mixture
ID01_D,ID01,3,D,model_M4,model_M4,2109.7290894866364,mixture
ID01_E,ID01,4,E,model_M4,model_M4,2314.752047959973,mixture
ID01_F,ID01,5,F,model_M4,model_M4,2413.725633576091,mixture
ID01_G,ID01,6,G,model_M4,model_M4,2635.0,mixture
ID01_H,ID01,7,H,model_M4,model_M4,2401.628153694245,mixture
ID02_A,ID02,0,A,model_M4,model_M4,1872.7170197035648,mixture
ID02_B,ID02,1,B,model_M4,model_M4,1830.7732222306868,mixture
ID02_C,ID02,2,C,model_M4,model_M4,2246.577346178743,mixture
ID02_D,ID02,3,D,model_M4,model_M4,2447.882929709768,mixture
ID02_E,ID02,4,E,model_M4,model_M4,1697.850772617452,mixture
ID02_F,ID02,5,F,model_M4,model_M4,1748.8102076186824,mixture
ID02_G,ID02,6,G,model_M4,model_M4,2281.838437205225,mixture
ID02_H,ID02,7,H,model_M4,model_M4,2197.1089792943358,mixture
ID03_A,ID03,0,A,model_M4,model_M4,2201.261454824891,mixture
ID03_B,ID03,1,B,model_M4,model_M4,2435.1156670836513,mixture
ID03_C,ID03,2,C,model_M4,model_M4,2543.615851546473,mixture
ID03_D,ID03,3,D,model_M4,model_M4,2977.9140321404475,mixture
ID03_E,ID03,4,E,model_M4,model_M4,1553.766019588394,mixture
ID03_F,ID03,5,F,model_M4,model_M4,1605.914992618673,mixture
ID03_G,ID03,6,G,model_M4,model_M4,2260.8080605204186,mixture
ID03_H,ID03,7,H,model_M4,model_M4,2138.4419975786377,mixture
ID04_A,ID04,0,A,model_M4,model_M4,2461.8147835139953,mixture
ID04_B,ID04,1,B,model_M4,model_M4,1336.6784759883615,mixture
ID04_C,ID04,2,C,model_M4,model_M4,1450.5739330914757,mixture
ID04_D,ID04,3,D,model_M4,model_M4,2570.7275896791216,mixture
ID04_E,ID04,4,E,model_M4,model_M4,2808.4113653508093,mixture
ID04_F,ID04,5,F,model_M4,model_M4,2283.8513151815523,mixture
ID04_G,ID04,6,G,model_M4,model_M4,2224.681604651793,mixture
ID04_H,ID04,7,H,model_M4,model_M4,3092.9378576849513,mixture
ID05_A,ID05,0,A,model_M4,model_M4,2994.550728297257,mixture
ID05_B,ID05,1,B,model_M4,model_M4,1614.8997083319255,mixture
ID05_C,ID05,2,C,model_M4,model_M4,1740.8411621701052,mixture
ID05_D,ID05,3,D,model_M4,model_M4,2587.6175916112834,mixture
ID05_E,ID05,4,E,model_M4,model_M4,2478.463427347993,mixture
ID05_F,ID05,5,F,model_M4,model_M4,1499.790156209834,mixture
ID05_G,ID05,6,G,model_M4,model_M4,1599.6755208839193,mixture
ID05_H,ID05,7,H,model_M4,model_M4,2561.1888088493206,mixture
ID06_A,ID06,0,A,model_M4,model_M4,3014.7569497672866,mixture
ID06_B,ID06,1,B,model_M4,model_M4,1996.8807819566964,mixture
ID06_C,ID06,2,C,model_M4,model_M4,2237.9035037119343,mixture
ID06_D,ID06,3,D,model_M4,model_M4,2868.5704795354827,mixture
ID06_E,ID06,4,E,model_M4,model_M4,2491.781131992161,mixture
ID06_F,ID06,5,F,model_M4,model_M4,1380.6350889647576,mixture
ID06_G,ID06,6,G,model_M4,model_M4,1568.953219339632,mixture
ID06_H,ID06,7,H,model_M4,model_M4,2468.4987299470636,mixture
ID07_A,ID07,0,A,model_M4,model_M4,2361.6802391292704,mixture
ID07_B,ID07,1,B,model_M4,model_M4,1992.9969907092195,mixture
ID07_C,ID07,2,C,model_M4,model_M4,1284.3098298886175,mixture
ID07_D,ID07,3,D,model_M4,model_M4,1806.5228557077558,mixture
ID07_E,ID07,4,E,model_M4,model_M4,2954.8935513239653,mixture
ID07_F,ID07,5,F,model_M4,model_M4,2528.4573586581646,mixture
ID07_G,ID07,6,G,model_M4,model_M4,2258.199414154528,mixture
ID07_H,ID07,7,H,model_M4,model_M4,2392.9939759931,mixture
ID08_A,ID08,0,A,model_M4,model_M4,2502.3447342046334,mixture
ID08_B,ID08,1,B,model_M4,model_M4,2653.328652054765,mixture
ID08_C,ID08,2,C,model_M4,model_M4,1685.3498390209327,mixture
ID08_D,ID08,3,D,model_M4,model_M4,2000.6854439754973,mixture
ID08_E,ID08,4,E,model_M4,model_M4,2319.8922406984448,mixture
ID08_F,ID08,5,F,model_M4,model_M4,2227.828482327854,mixture
ID08_G,ID08,6,G,model_M4,model_M4,1654.999998128852,mixture
ID08_H,ID08,7,H,model_M4,model_M4,1737.990821331047,mixture
ID09_A,ID09,0,A,model_M4,model_M4,2671.4196219330756,mixture
ID09_B,ID09,1,B,model_M4,model_M4,2590.0562356097225,mixture
ID09_C,ID09,2,C,model_M4,model_M4,1986.0171433698902,mixture
ID09_D,ID09,3,D,model_M4,model_M4,2414.167417717595,mixture
ID09_E,ID09,4,E,model_M4,model_M4,2259.941076320597,mixture
ID09_F,ID09,5,F,model_M4,model_M4,2287.800887657063,mixture
