estimator,d_tag_mm,loss,geometry,median_3d_mm,p95_3d_mm,rmse_3d_mm
p10,25.0,huber50,V5,40.451277451609364,135.18777443794139,71.54824978036065
p10,24.0,huber50,V5,41.03450558730816,137.04240132216196,71.60892043080213
p10,26.0,huber50,V5,41.1659982425483,133.40130020441043,71.54674200547939
p15,31.0,huber50,V5,41.28888375526775,134.82025214403748,71.58091349972574
p15,32.0,huber50,V5,41.31211997031323,133.03706356810315,71.48452844076793
p07,21.0,huber50,V5,41.372136350453985,134.57863795501873,71.66994109011627
lower_trim_20,23.0,huber50,V5,41.49887179674577,133.94621096646316,71.98082839687324
p15,23.0,student5,V5,41.57892766419566,141.40921847852877,72.88571965630425
p10,23.0,huber50,V5,41.62777058261741,138.8511490976205,71.7124400282548
p15,22.0,student5,V5,41.77893679510669,143.38482545773437,73.16191285245395
p15,30.0,huber50,V5,41.837027032096756,136.5976187797401,71.75584357771551
p07,20.0,huber50,V5,41.95256524562643,136.42240538311037,71.6727463977662
p10,27.0,huber50,V5,42.00651226961399,131.62624365700853,71.59253945265019
p20,35.0,huber50,V5,42.008683906614756,136.44146005121794,72.40396888017423
lower_trim_20,22.0,huber50,V5,42.078410675081805,135.78776104968605,71.97035375056726
p07,22.0,huber50,V5,42.08831922401135,132.73846390793386,71.68297477348648
p15,24.0,student5,V5,42.11524021842379,139.44555949336376,72.64235687857344
p15,33.0,huber50,V5,42.166701510105845,131.26226331370435,71.46373185129754
p25,40.0,huber50,V5,42.2005819083391,134.3129783492849,72.68919503045386
lower_trim_20,24.0,huber50,V5,42.284162616041264,132.09817413371638,72.04032919634182
p20,34.0,huber50,V5,42.33650242843194,138.14930771530842,72.64156794625312
p25,41.0,huber50,V5,42.36153558398067,132.6192417298268,72.46099525452003
p10,22.0,huber50,V5,42.50486038915378,140.64788856159797,71.91041786649605
p07,19.0,huber50,V5,42.54341842357806,138.17110574613153,71.70521278902986
p20,36.0,huber50,V5,42.61595059570388,134.69434671673193,72.1817242385669
p20,38.0,huber50,V5,42.65870261833594,131.14136771254948,71.84463249213405
lower_trim_20,21.0,huber50,V5,42.66760261177496,137.57188737253122,71.99246527860684
p15,25.0,student5,V5,42.67484700205217,137.49384265236205,72.43145012427038
p30,49.0,huber50,V5,42.71406122566887,123.31253960577277,72.23101868997509
p15,29.0,huber50,V5,42.73675230587172,138.30963230106508,71.95625916809593
p20,39.0,huber50,V5,42.7833130518559,129.37675849891824,71.82549517330632
p10,28.0,huber50,V5,42.85539962298824,129.85978302380272,71.68314011744873
p20,37.0,huber50,V5,42.88113762153888,132.9138974772175,71.98067578324286
p07,3.0,student5,Vicon,42.90251060170705,159.3795772273258,75.4344263664346
p07,23.0,huber50,V5,42.923752333639506,130.96091701448117,71.74933573613525
p15,28.0,huber50,V5,42.98586354049324,140.05831814097775,72.20486982149065
p25,44.0,huber50,V5,43.00850248051214,126.58975557373292,71.96545088432252
lower_trim_15,19.0,huber50,V5,43.021169298133685,134.4210536026291,72.28381850569448
p15,34.0,huber50,V5,43.029009837354096,129.49545004599696,71.48715905256428
p05,17.0,huber50,V5,43.07470281219781,134.79623087715396,71.79037819135534
lower_trim_15,20.0,huber50,V5,43.113252241716566,132.0223281937301,72.28294813110847
lower_trim_20,25.0,huber50,V5,43.12931252450082,129.48418417312195,72.08212231644951
p30,48.0,huber50,V5,43.14210564537733,125.94377489670399,72.44978729334645
p07,18.0,huber50,V5,43.14435905626266,139.92471976560677,71.78138030935665
p07,2.0,student5,Vicon,43.14443451957574,160.1274519555453,75.98154691162611
p30,50.0,huber50,V5,43.14497346418612,120.71033283061205,72.12257522467313
p15,21.0,student5,V5,43.19815633665978,145.37238672512373,73.47123019644226
p25,43.0,huber50,V5,43.20885615256216,129.13633187680918,72.09151179327283
p25,39.0,huber50,V5,43.22548206890845,136.0140398464185,72.9533596859573
lower_trim_20,20.0,huber50,V5,43.23470017732794,139.32536310648817,72.05214918039955
