link_id,mu_half1,mu_half2,diff,stable
ID01_A,1515.0,1513.0,-2.0,True
ID01_B,1768.0,1767.5,-0.5,True
ID01_C,2180.0,2173.0,-7.0,True
ID01_D,2110.0,2112.0,2.0,True
ID01_E,2314.0,2314.0,0.0,True
ID01_F,2408.0,2407.0,-1.0,True
ID01_G,2769.5,2768.0,-1.5,True
ID01_H,2472.0,2472.0,0.0,True
ID02_A,1873.0,1875.0,2.0,True
ID02_B,1829.0,1831.0,2.0,True
ID02_C,2245.0,2245.0,0.0,True
ID02_D,2451.0,2449.0,-2.0,True
ID02_E,1699.0,1699.0,0.0,True
ID02_F,1733.0,1737.0,4.0,True
ID02_G,2268.0,2270.0,2.0,True
ID02_H,2199.0,2199.0,0.0,True
ID03_A,2208.5,2209.0,0.5,True
ID03_B,2435.0,2436.0,1.0,True
ID03_C,2542.0,2545.0,3.0,True
ID03_D,2976.0,2980.0,4.0,True
ID03_E,1554.0,1556.0,2.0,True
ID03_F,1594.5,1594.0,-0.5,True
ID03_G,2240.0,2240.0,0.0,True
ID03_H,2141.0,2140.0,-1.0,True
ID04_A,2465.0,2464.0,-1.0,True
ID04_B,1335.0,1338.0,3.0,True
ID04_C,1450.0,1451.0,1.0,True
ID04_D,2566.0,2570.0,4.0,True
ID04_E,2810.0,2811.0,1.0,True
ID04_F,2277.0,2276.0,-1.0,True
ID04_G,2205.0,2204.0,-1.0,True
ID04_H,3094.0,3090.0,-4.0,True
ID05_A,3071.0,3077.0,6.0,True
ID05_B,1617.0,1616.0,-1.0,True
ID05_C,1740.0,1742.5,2.5,True
ID05_D,2589.0,2587.0,-2.0,True
ID05_E,2479.0,2477.0,-2.0,True
ID05_F,1476.5,1484.0,7.5,True
ID05_G,1586.0,1585.0,-1.0,True
ID05_H,2564.0,2565.0,1.0,True
ID06_A,3015.0,3021.0,6.0,True
ID06_B,1994.0,1997.0,3.0,True
ID06_C,2243.0,2234.0,-9.0,True
ID06_D,2868.0,2871.0,3.0,True
ID06_E,2493.5,2493.0,-0.5,True
ID06_F,1371.0,1375.0,4.0,True
ID06_G,1553.0,1554.0,1.0,True
ID06_H,2468.0,2469.0,1.0,True
ID07_A,2366.0,2364.0,-2.0,True
ID07_B,1993.0,1992.0,-1.0,True
ID07_C,1283.0,1284.0,1.0,True
ID07_D,1806.0,1807.0,1.0,True
ID07_E,2956.0,2954.0,-2.0,True
ID07_F,2527.5,2525.0,-2.5,True
ID07_G,2234.0,2230.0,-4.0,True
ID07_H,2391.0,2391.0,0.0,True
ID08_A,2509.0,2510.0,1.0,True
ID08_B,2659.0,2656.0,-3.0,True
ID08_C,1685.0,1684.0,-1.0,True
ID08_D,1998.0,2002.0,4.0,True
ID08_E,2322.0,2320.0,-2.0,True
ID08_F,2217.0,2220.0,3.0,True
ID08_G,1640.0,1639.5,-0.5,True
ID08_H,1745.0,1748.0,3.0,True
ID09_A,2670.0,2673.0,3.0,True
ID09_B,2593.0,2587.0,-6.0,True
ID09_C,1986.0,1983.0,-3.0,True
ID09_D,2415.0,2414.0,-1.0,True
ID09_E,2262.0,2266.0,4.0,True
ID09_F,2308.0,2314.5,6.5,True
ID09_G,1479.0,1471.0,-8.0,True
ID09_H,1757.0,1754.0,-3.0,True
ID10_A,1514.0,1512.0,-2.0,True
ID10_B,2575.0,2574.0,-1.0,True
ID10_C,2463.0,2462.0,-1.0,True
ID10_D,1299.0,1300.5,1.5,True
ID10_E,2101.0,2103.0,2.0,True
ID10_F,3106.0,3108.0,2.0,True
ID10_G,2818.0,2822.0,4.0,True
ID10_H,1988.0,1989.0,1.0,True
ID11_A,1724.0,1724.0,0.0,True
ID11_B,2609.0,2611.0,2.0,True
ID11_C,2768.0,2767.0,-1.0,True
ID11_D,1735.0,1737.0,2.0,True
ID11_E,1531.0,1532.0,1.0,True
ID11_F,2574.0,2571.0,-3.0,True
ID11_G,2621.5,2619.0,-2.5,True
ID11_H,1474.0,1475.5,1.5,True
ID12_A,2117.0,2118.5,1.5,True
ID12_B,2818.0,2821.0,3.0,True
ID12_C,3010.0,3010.0,0.0,True
ID12_D,1967.0,1966.0,-1.0,True
ID12_E,1475.0,1472.0,-3.0,True
ID12_F,2540.0,2535.0,-5.0,True
ID12_G,2499.0,2495.0,-4.0,True
ID12_H,1268.0,1271.0,3.0,True
ID13_A,2081.0,2079.0,-2.0,True
ID13_B,2025.0,2023.0,-2.0,True
ID13_C,2018.0,2017.0,-1.0,True
ID13_D,2198.0,2197.0,-1.0,True
ID13_E,1916.0,1914.0,-2.0,True
ID13_F,1877.0,1876.0,-1.0,True
ID13_G,2055.0,2052.0,-3.0,True
ID13_H,1972.0,1976.0,4.0,True
ID14_A,2128.0,2131.0,3.0,True
ID14_B,1939.0,1941.0,2.0,True
ID14_C,2054.0,2054.0,0.0,True
ID14_D,2132.0,2126.5,-5.5,True
ID14_E,1859.0,1857.0,-2.0,True
ID14_F,1915.0,1917.0,2.0,True
ID14_G,1982.0,1978.0,-4.0,True
ID14_H,2014.0,2020.0,6.0,True
ID15_A,2033.0,2030.0,-3.0,True
ID15_B,2020.0,2018.5,-1.5,True
ID15_C,2028.0,2030.0,2.0,True
ID15_D,2198.0,2198.0,0.0,True
ID15_E,1864.0,1867.0,3.0,True
ID15_F,1903.0,1914.0,11.0,False
ID15_G,2021.0,2016.0,-5.0,True
ID15_H,1978.0,1982.0,4.0,True
ID16_A,2145.0,2144.0,-1.0,True
ID16_B,1974.0,1970.0,-4.0,True
ID16_C,2093.0,2094.0,1.0,True
ID16_D,2163.0,2163.0,0.0,True
ID16_E,1877.0,1877.0,0.0,True
